,along,with,canada,and,the,united,kingdom,",",what,country,generally,does,n't,refer,to,universities,as,private,schools,?
in,0.3603311777114868,0.4080928862094879,0.3175714612007141,0.4954058527946472,0.6662389636039734,0.3938477039337158,0.28265801072120667,0.5201468467712402,0.30808621644973755,0.3040012717247009,0.28190043568611145,0.214483380317688,-0.0012929976219311357,0.2523999810218811,0.45010748505592346,0.2965206503868103,0.3887844979763031,0.21135757863521576,0.2632134258747101,0.20430970191955566
the,0.39495137333869934,0.4223487675189972,0.2934837341308594,0.5171257257461548,1.0,0.34367692470550537,0.3143408000469208,0.4933079481124878,0.42745697498321533,0.30432501435279846,0.41466525197029114,0.35928019881248474,-0.11449059844017029,0.22268381714820862,0.535392165184021,0.2619408071041107,0.48381632566452026,0.18291357159614563,0.22905772924423218,0.22068053483963013
united,0.166204571723938,0.19869105517864227,0.4637351334095001,0.28213179111480713,0.34367692470550537,1.0000001192092896,0.5955035090446472,0.3053959608078003,0.20036718249320984,0.3808354437351227,0.22917670011520386,0.1650896966457367,-0.031545571982860565,0.18907853960990906,0.2715383470058441,0.3177574872970581,0.27979812026023865,0.29325538873672485,0.30707988142967224,0.17266890406608582
kingdom,0.17653121054172516,0.16312327980995178,0.3862634599208832,0.3048160970211029,0.3143408000469208,0.5955035090446472,1.0000001192092896,0.2585166394710541,0.17826133966445923,0.35060322284698486,0.20532739162445068,0.14080345630645752,0.0036942039150744677,0.14444276690483093,0.19473806023597717,0.20758217573165894,0.21772725880146027,0.23836451768875122,0.19974325597286224,0.12927088141441345
and,0.4213258922100067,0.5477725267410278,0.24275894463062286,1.0,0.5171257257461548,0.28213179111480713,0.3048160970211029,0.6633074283599854,0.31309178471565247,0.30884742736816406,0.4087323546409607,0.3461615741252899,-0.0602874718606472,0.22076335549354553,0.48971283435821533,0.3038506805896759,0.49487000703811646,0.2557651102542877,0.29319998621940613,0.20544172823429108
several,0.27631744742393494,0.3401424288749695,0.19713886082172394,0.4663935899734497,0.40559855103492737,0.24735265970230103,0.2313879132270813,0.3402247726917267,0.22446060180664062,0.21822777390480042,0.36611637473106384,0.2083442658185959,-0.04057580232620239,0.2165696620941162,0.36196985840797424,0.25607603788375854,0.355270117521286,0.23570138216018677,0.25758257508277893,0.15595775842666626
other,0.3091159760951996,0.44086363911628723,0.20418694615364075,0.5504306554794312,0.44152235984802246,0.2444620579481125,0.14748865365982056,0.4446498453617096,0.341873437166214,0.28020480275154114,0.4106457829475403,0.2947014272212982,-0.13205568492412567,0.3027113378047943,0.4193183183670044,0.32961708307266235,0.42805421352386475,0.2100534588098526,0.24327325820922852,0.24682199954986572
commonwealth,0.1610562950372696,0.17195314168930054,0.31291645765304565,0.2619958519935608,0.3297852873802185,0.38507336378097534,0.3527248203754425,0.2892886996269226,0.1751948744058609,0.2992890179157257,0.18982136249542236,0.15626052021980286,-0.01841314136981964,0.13512828946113586,0.27652594447135925,0.3067883253097534,0.18819403648376465,0.26872384548187256,0.23486223816871643,0.13252873718738556
countries,0.1920691579580307,0.33792537450790405,0.31252095103263855,0.37200918793678284,0.33290645480155945,0.38267436623573303,0.322317510843277,0.2966555655002594,0.22319257259368896,0.5439597368240356,0.3435975909233093,0.2621564269065857,-0.07301843166351318,0.2138596922159195,0.3111797273159027,0.4063441753387451,0.2406298965215683,0.241952583193779,0.3294385075569153,0.15128466486930847
including,0.34122973680496216,0.37174999713897705,0.2166045904159546,0.5144438743591309,0.3738902807235718,0.2665407657623291,0.22642314434051514,0.4127510190010071,0.18328791856765747,0.19958460330963135,0.2925087511539459,0.20252716541290283,-0.04054267331957817,0.2058376967906952,0.24006329476833344,0.26260221004486084,0.3863891661167145,0.15517660975456238,0.28791218996047974,0.1633303165435791
