,what,other,event,made,the,bbc,concerned,that,viewers,had,not,seen,the,premier,of,doctor,who,?
the,0.42745697498321533,0.44152235984802246,0.2960145175457001,0.3885267674922943,1.0,0.2735401690006256,0.2822320759296417,0.5473989248275757,0.24207380414009094,0.3875846862792969,0.4310511648654938,0.3442007005214691,1.0,0.22658593952655792,0.733189046382904,0.2820442318916321,0.3733934462070465,0.22068053483963013
bbc,0.20634698867797852,0.15187552571296692,0.23035018146038055,0.16275472939014435,0.2735401690006256,1.0000001192092896,0.12434762716293335,0.22032664716243744,0.34644749760627747,0.2117813676595688,0.17192764580249786,0.1632419228553772,0.2735401690006256,0.21698762476444244,0.1797877550125122,0.32370132207870483,0.2086644321680069,0.20556949079036713
believed,0.32626157999038696,0.23828965425491333,0.21619035303592682,0.25780797004699707,0.324635773897171,0.0738537386059761,0.2524096667766571,0.4644409120082855,0.18265722692012787,0.44026094675064087,0.338882714509964,0.369189590215683,0.324635773897171,0.1495518982410431,0.2945859134197235,0.14872193336486816,0.37975674867630005,0.17606885731220245
that,0.6297725439071655,0.5570666193962097,0.3453879952430725,0.3437977731227875,0.5473989248275757,0.22032664716243744,0.3909452557563782,1.0,0.2754804491996765,0.4407361149787903,0.6600887179374695,0.3623615801334381,0.5473989248275757,0.1926163136959076,0.41498205065727234,0.2390732765197754,0.45444270968437195,0.32716336846351624
many,0.36131182312965393,0.6324484348297119,0.17792239785194397,0.3638485074043274,0.4335206151008606,0.1944630742073059,0.29035651683807373,0.5391656160354614,0.263645738363266,0.40130746364593506,0.4369727373123169,0.34234827756881714,0.4335206151008606,0.11073308438062668,0.37253960967063904,0.18319568037986755,0.4149286150932312,0.2124512493610382
viewers,0.29856956005096436,0.23971174657344818,0.2679286003112793,0.18957239389419556,0.24207380414009094,0.34644749760627747,0.14724436402320862,0.2754804491996765,0.9999999403953552,0.21945330500602722,0.24014727771282196,0.3008585274219513,0.24207380414009094,0.23087692260742188,0.1391541063785553,0.15965759754180908,0.24101194739341736,0.2274174839258194
had,0.23849567770957947,0.30737367272377014,0.1993836760520935,0.3391602039337158,0.3875846862792969,0.2117813676595688,0.2666461169719696,0.4407361149787903,0.21945330500602722,0.9999999403953552,0.3714721202850342,0.3012228012084961,0.3875846862792969,0.15695028007030487,0.37755560874938965,0.19423192739486694,0.36173108220100403,0.20728366076946259
missed,0.2725275158882141,0.16178765892982483,0.24214661121368408,0.23464570939540863,0.24222715198993683,0.06967386603355408,0.38957536220550537,0.3491435945034027,0.1960199624300003,0.3516249656677246,0.3507442772388458,0.2927146255970001,0.24222715198993683,0.19613894820213318,0.18909388780593872,0.1658584028482437,0.2094825804233551,0.27329131960868835
this,0.5489566326141357,0.43044695258140564,0.32310792803764343,0.43620941042900085,0.6274310946464539,0.21239762008190155,0.3431657552719116,0.6909449696540833,0.24174727499485016,0.3222610056400299,0.557635486125946,0.3374632000923157,0.6274310946464539,0.15142634510993958,0.45148900151252747,0.16758373379707336,0.3345087468624115,0.3155723512172699
introduction,0.2245079129934311,0.20740704238414764,0.17697232961654663,0.17014385759830475,0.2808631956577301,0.22681152820587158,0.3194015324115753,0.27633512020111084,0.13129185140132904,0.21294893324375153,0.2168351113796234,0.19858556985855103,0.2808631956577301,0.11726496368646622,0.24229779839515686,0.13530297577381134,0.14318515360355377,0.27021539211273193
to,0.455847829580307,0.4193183183670044,0.2585321366786957,0.3377571105957031,0.535392165184021,0.19421324133872986,0.3205902576446533,0.5436353087425232,0.2661592364311218,0.37984350323677063,0.5149973034858704,0.2634880542755127,0.535392165184021,0.170038640499115,0.41548454761505127,0.22950075566768646,0.42656609416007996,0.29463258385658264
a,0.3320399522781372,0.2806335389614105,0.2635729908943176,0.3180864453315735,0.5829201340675354,0.199848011136055,0.2346540242433548,0.47537946701049805,0.17308323085308075,0.34897568821907043,0.3791346549987793,0.26090866327285767,0.5829201340675354,0.14475353062152863,0.5052502155303955,0.22883038222789764,0.36608949303627014,0.23916715383529663
new,0.2130378633737564,0.2957918047904968,0.1472334861755371,0.20649032294750214,0.3845241069793701,0.17134205996990204,0.159407377243042,0.29177987575531006,0.1999797523021698,0.28327175974845886,0.219951331615448,0.17923355102539062,0.3845241069793701,0.2495085448026657,0.343457967042923,0.12563565373420715,0.2378052920103073,0.14782847464084625
series,0.17328087985515594,0.2292959988117218,0.21869884431362152,0.22924946248531342,0.31376904249191284,0.31758952140808105,0.18913067877292633,0.24595457315444946,0.3164702355861664,0.17813511192798615,0.21816293895244598,0.22871477901935577,0.31376904249191284,0.1603700965642929,0.22268271446228027,0.2712797522544861,0.21484537422657013,0.1709602326154709
due,0.15204688906669617,0.2065928727388382,0.21263866126537323,0.1721457988023758,0.22577603161334991,0.13488031923770905,0.2905142903327942,0.2827286720275879,0.1564829796552658,0.24372361600399017,0.2680772840976715,0.25585049390792847,0.22577603161334991,0.11233438551425934,0.2533245384693146,0.07074899971485138,0.1198829784989357,0.10954997688531876
to,0.455847829580307,0.4193183183670044,0.2585321366786957,0.3377571105957031,0.535392165184021,0.19421324133872986,0.3205902576446533,0.5436353087425232,0.2661592364311218,0.37984350323677063,0.5149973034858704,0.2634880542755127,0.535392165184021,0.170038640499115,0.41548454761505127,0.22950075566768646,0.42656609416007996,0.29463258385658264
