,what,organization,did,iqbal,join,in,london,?
while,0.35511791706085205,0.19824106991291046,0.3330625295639038,0.18729950487613678,0.2285175770521164,0.3399278521537781,0.1810111105442047,0.21076419949531555
studying,0.3393959105014801,0.15898054838180542,0.25819528102874756,0.26532772183418274,0.16861599683761597,0.32655033469200134,0.20113252103328705,0.14438828825950623
law,0.2145031988620758,0.239692822098732,0.2238171398639679,0.24563677608966827,0.1379471719264984,0.24850773811340332,0.13741573691368103,0.1528988480567932
and,0.31309178471565247,0.21951423585414886,0.34479495882987976,0.26650312542915344,0.319981187582016,0.4954058527946472,0.2868692874908447,0.20544172823429108
philosophy,0.3238759934902191,0.19240079820156097,0.16591528058052063,0.3354117274284363,0.14024752378463745,0.27151891589164734,0.20663274824619293,0.17949430644512177
in,0.30808621644973755,0.2513086795806885,0.2593238651752472,0.2000269591808319,0.26958489418029785,1.0,0.2785358726978302,0.20430970191955566
england,0.21399550139904022,0.18126840889453888,0.22023706138134003,0.2243778258562088,0.15976892411708832,0.33311840891838074,0.4936862885951996,0.13436897099018097
and,0.31309178471565247,0.21951423585414886,0.34479495882987976,0.26650312542915344,0.319981187582016,0.4954058527946472,0.2868692874908447,0.20544172823429108
germany,0.21690446138381958,0.17679192125797272,0.2132834792137146,0.15274927020072937,0.22565890848636627,0.3642844259738922,0.2620079517364502,0.1388660967350006
",",0.3087472915649414,0.1819751113653183,0.3015086054801941,0.21315646171569824,0.23633374273777008,0.5201468467712402,0.2571207880973816,0.31091248989105225
iqbal,0.26565322279930115,0.17896412312984467,0.2316603809595108,1.0000001192092896,0.076654814183712,0.2000269591808319,0.28012916445732117,0.18507060408592224
became,0.1434093862771988,0.19845446944236755,0.3632316589355469,0.21433068811893463,0.22124359011650085,0.31047213077545166,0.21572422981262207,0.11374033987522125
a,0.3320399522781372,0.2565373480319977,0.2552328109741211,0.19544151425361633,0.19408884644508362,0.539380669593811,0.1934366375207901,0.23916715383529663
member,0.09932345896959305,0.30626919865608215,0.16698363423347473,0.08177398145198822,0.3446156680583954,0.20856694877147675,0.17301860451698303,0.06826172769069672
of,0.33290785551071167,0.25438958406448364,0.2513895630836487,0.17434294521808624,0.24810034036636353,0.5696388483047485,0.2159106284379959,0.1826142966747284
the,0.42745697498321533,0.311172217130661,0.34736719727516174,0.1828971952199936,0.3205963969230652,0.6662389636039734,0.27034124732017517,0.22068053483963013
london,0.15188734233379364,0.1917584240436554,0.25170615315437317,0.28012916445732117,0.10853514820337296,0.2785358726978302,1.0,0.11278104782104492
branch,0.1792319416999817,0.22613804042339325,0.14017178118228912,0.17286193370819092,0.19359944760799408,0.21656033396720886,0.21131056547164917,0.10474635660648346
of,0.33290785551071167,0.25438958406448364,0.2513895630836487,0.17434294521808624,0.24810034036636353,0.5696388483047485,0.2159106284379959,0.1826142966747284
the,0.42745697498321533,0.311172217130661,0.34736719727516174,0.1828971952199936,0.3205963969230652,0.6662389636039734,0.27034124732017517,0.22068053483963013
all,0.41981086134910583,0.2469886690378189,0.33943864703178406,0.1307486891746521,0.30926573276519775,0.3335905969142914,0.21470573544502258,0.29575422406196594
india,0.23203566670417786,0.17100737988948822,0.17981284856796265,0.38283511996269226,0.21211490035057068,0.27070173621177673,0.25477471947669983,0.10473668575286865
muslim,0.2631456255912781,0.29947444796562195,0.2098924219608307,0.4648188054561615,0.1853056252002716,0.2092999517917633,0.17292112112045288,0.17456822097301483
league,0.16616638004779816,0.26368290185928345,0.17557655274868011,0.24619193375110626,0.16829080879688263,0.22963495552539825,0.21455349028110504,0.15941482782363892
.,0.3567904531955719,0.20656518638134003,0.35288307070732117,0.2092389315366745,0.2342308759689331,0.5591574311256409,0.26322779059410095,0.4130953550338745
