,in,what,year,was,the,first,commercial,steam,powered,device,invented,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.49448907375335693,0.23051398992538452,0.23105813562870026,0.20832712948322296,0.2555081248283386,0.16009420156478882,0.22068053483963013
first,0.4127444326877594,0.28086137771606445,0.3099139928817749,0.5022147297859192,0.49448907375335693,1.0,0.27400627732276917,0.2210129350423813,0.29328346252441406,0.21607646346092224,0.3352304697036743,0.18701928853988647
commercial,0.2615188956260681,0.12070754915475845,0.12610527873039246,0.22333669662475586,0.23051398992538452,0.27400627732276917,1.0,0.23320558667182922,0.2227618545293808,0.25839629769325256,0.14936093986034393,0.04216946288943291
steam-powered,0.22638636827468872,0.17279094457626343,0.18740898370742798,0.26024293899536133,0.2755395174026489,0.32081615924835205,0.26818612217903137,0.7866420149803162,0.8731843829154968,0.4093407392501831,0.39030352234840393,0.1711118370294571
device,0.16225403547286987,0.2484142780303955,0.11163552850484848,0.18397735059261322,0.2555081248283386,0.21607646346092224,0.25839629769325256,0.37581905722618103,0.3949764370918274,1.0,0.3819883167743683,0.09819377958774567
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.22333669662475586,0.16913670301437378,0.2140408158302307,0.18397735059261322,0.2900676131248474,0.18412111699581146
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.4508470594882965,0.5829201340675354,0.4287874400615692,0.2696971893310547,0.2141898274421692,0.23536208271980286,0.3107774555683136,0.26715824007987976,0.23916715383529663
water,0.23966141045093536,0.17456887662410736,0.14500844478607178,0.18750394880771637,0.297396719455719,0.1719202995300293,0.24157500267028809,0.43059393763542175,0.30408236384391785,0.24608203768730164,0.2402602583169937,0.14731885492801666
pump,0.14753441512584686,0.2035713642835617,0.07374399900436401,0.1084531843662262,0.21872945129871368,0.1356024146080017,0.15990684926509857,0.47990959882736206,0.4246757924556732,0.33888372778892517,0.21943464875221252,0.24768272042274475
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.26546892523765564,0.2264556586742401,0.1860840618610382,0.13617408275604248,0.21420055627822876,0.31091248989105225
developed,0.2498214840888977,0.15555569529533386,0.142215296626091,0.3253139555454254,0.24490751326084137,0.2750127613544464,0.1677512228488922,0.1999523788690567,0.3488690257072449,0.21117675304412842,0.5221134424209595,0.10763012617826462
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.2615188956260681,0.19852672517299652,0.150293231010437,0.16225403547286987,0.21565213799476624,0.20430970191955566
1698,-0.044392529875040054,-0.009659199975430965,0.04189909249544144,-0.03344208747148514,-0.06543593108654022,0.026022233068943024,-0.04173329100012779,-0.05998658388853073,-0.035079989582300186,-0.07553371042013168,-0.072712242603302,-0.010501213371753693
by,0.370934396982193,0.2455483376979828,0.28805047273635864,0.4752357602119446,0.4408751428127289,0.3877052962779999,0.16044467687606812,0.18134352564811707,0.248033344745636,0.17883841693401337,0.24488699436187744,0.17966607213020325
thomas,0.21133768558502197,0.1806955188512802,0.1567562371492386,0.26629963517189026,0.23505409061908722,0.2396867871284485,0.12923265993595123,0.1875210702419281,0.08793886750936508,0.15981042385101318,0.21977731585502625,0.16133050620555878
savery,0.3151136636734009,0.3273344337940216,0.1923653483390808,0.3044261336326599,0.3600737154483795,0.2784835994243622,0.2224952131509781,0.21627888083457947,0.160548135638237,0.25002753734588623,0.11554233729839325,0.2684193551540375
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.2460125982761383,0.22855372726917267,0.23959338665008545,0.1592947095632553,0.2224365919828415,0.4130953550338745
