,what,is,the,height,of,the,section,that,turns,north,?
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.232341468334198,0.45148900151252747,0.6274310946464539,0.338134229183197,0.6909449696540833,0.25265830755233765,0.21515107154846191,0.3155723512172699
section,0.28602200746536255,0.22237545251846313,0.3365345895290375,0.232002392411232,0.21215301752090454,0.3365345895290375,0.9999998807907104,0.2808297276496887,0.1209884062409401,0.13405433297157288,0.2733710706233978
is,0.28837618231773376,1.0,0.5823672413825989,0.19831733405590057,0.4854315221309662,0.5823672413825989,0.22237545251846313,0.3995479643344879,0.3550080955028534,0.2993389368057251,0.22961433231830597
nearly,0.21304303407669067,0.268917441368103,0.3409946858882904,0.16499201953411102,0.3455437123775482,0.3409946858882904,0.15477250516414642,0.3343394100666046,0.19420699775218964,0.24373063445091248,0.11670064926147461
86,0.11274068057537079,0.036284711211919785,0.10089810192584991,-0.06370572000741959,0.17001870274543762,0.10089810192584991,0.12091575562953949,0.14635203778743744,-0.13403445482254028,-0.023283496499061584,0.10934870690107346
km,0.1805391013622284,0.24258680641651154,0.21376769244670868,0.2830233871936798,0.2376161366701126,0.21376769244670868,0.14644518494606018,0.1602332592010498,0.18864133954048157,0.3494616746902466,0.08180338144302368
long,0.28276848793029785,0.28473302721977234,0.3075225353240967,0.28678929805755615,0.2567519545555115,0.3075225353240967,0.22918614745140076,0.34424030780792236,0.2070438414812088,0.20966807007789612,0.19699987769126892
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18724600970745087,0.4946078956127167,0.4933079481124878,0.2615945339202881,0.4137537479400635,0.24742825329303741,0.31834840774536133,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24355359375476837,0.5116966962814331,0.5171257257461548,0.262373685836792,0.4731321930885315,0.3010953962802887,0.2776443064212799,0.20544172823429108
descends,0.1785305142402649,0.21271087229251862,0.30480852723121643,0.23496411740779877,0.2948897182941437,0.30480852723121643,0.12386327981948853,0.2528283894062042,0.22601273655891418,0.19627748429775238,0.1150875836610794
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.1738269180059433,0.4249346852302551,0.40150508284568787,0.19169776141643524,0.3477667272090912,0.21300633251667023,0.3180590271949768,0.19969791173934937
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.1969926655292511,0.5052502155303955,0.5829201340675354,0.29094603657722473,0.47537946701049805,0.30035504698753357,0.25008413195610046,0.23916715383529663
height,0.2337305247783661,0.19831733405590057,0.2694929540157318,1.0000001192092896,0.23672480881214142,0.2694929540157318,0.232002392411232,0.21551740169525146,0.13042423129081726,0.2165515273809433,0.1599798947572708
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23672480881214142,1.0,0.733189046382904,0.21215301752090454,0.41498205065727234,0.2735316753387451,0.3604778051376343,0.1826142966747284
599,0.2175392210483551,0.13035725057125092,0.15995720028877258,-0.02769480086863041,0.14903956651687622,0.15995720028877258,0.13664330542087555,0.303027868270874,0.04304680973291397,0.029822027310729027,0.198044091463089
m,0.23871465027332306,0.22669823467731476,0.15156042575836182,0.314020574092865,0.14254631102085114,0.15156042575836182,0.15298180282115936,0.19798317551612854,0.15544116497039795,0.16915392875671387,0.2618667185306549
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.18482448160648346,0.41548454761505127,0.535392165184021,0.28596532344818115,0.5436353087425232,0.2620235085487366,0.2743184268474579,0.29463258385658264
396,-0.04647032544016838,-0.09864754229784012,-0.028713300824165344,0.10880815237760544,-0.015376653522253036,-0.028713300824165344,0.06070723012089729,-0.11029846221208572,-0.1305723488330841,0.044012557715177536,-0.0029854411259293556
m.,-0.032949499785900116,-0.06526678055524826,0.11779511719942093,-0.04747390374541283,0.15378065407276154,0.11779511719942093,-0.04013506695628166,-0.06254849582910538,-0.1265031099319458,0.052163511514663696,-0.0002856669598259032
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.20494982600212097,0.38761502504348755,0.6251175999641418,0.3210811913013458,0.5921133160591125,0.2770182490348816,0.33463054895401,0.25732165575027466
flows,0.14294633269309998,0.3137552738189697,0.32405155897140503,0.1923401951789856,0.25574392080307007,0.32405155897140503,0.18790024518966675,0.1644459366798401,0.3443809747695923,0.36481401324272156,0.11636040359735489
through,0.23167094588279724,0.27805060148239136,0.44071322679519653,0.1619265079498291,0.3647414743900299,0.44071322679519653,0.24739643931388855,0.3152649402618408,0.27460092306137085,0.26369839906692505,0.16913433372974396
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.1969926655292511,0.5052502155303955,0.5829201340675354,0.29094603657722473,0.47537946701049805,0.30035504698753357,0.25008413195610046,0.23916715383529663
wide,0.22181174159049988,0.22456400096416473,0.28078147768974304,0.28892412781715393,0.23687250912189484,0.28078147768974304,0.1736477017402649,0.25266513228416443,0.21210910379886627,0.22849127650260925,0.12719376385211945
glacial,0.15804831683635712,0.18735899031162262,0.23225238919258118,0.24452677369117737,0.2019510567188263,0.23225238919258118,0.18290415406227112,0.20797422528266907,0.154649019241333,0.2893790304660797,0.09140896797180176
alpine,0.08638320118188858,0.1825626790523529,0.25914666056632996,0.23230193555355072,0.22056277096271515,0.25914666056632996,0.2007877677679062,0.10647699236869812,0.1603119671344757,0.2391785830259323,0.08546924591064453
valley,0.15729281306266785,0.21787452697753906,0.2923165559768677,0.18389800190925598,0.23914365470409393,0.2923165559768677,0.12257915735244751,0.2223651260137558,0.09469322860240936,0.34153690934181213,0.11486150324344635
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.14784251153469086,0.35814476013183594,0.3624623417854309,0.10096953809261322,0.20813259482383728,0.17086589336395264,0.1970449835062027,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.15213729441165924,0.3886612355709076,0.48381632566452026,0.21584227681159973,0.4735107421875,0.26661357283592224,0.22670356929302216,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.2694929540157318,0.733189046382904,1.0,0.3365345895290375,0.5473989248275757,0.3179035782814026,0.36298373341560364,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.20244354009628296,0.2548927664756775,0.30735138058662415,0.15145494043827057,0.16362759470939636,0.1488197147846222,0.3832572400569916,0.13754533231258392
valley,0.15729281306266785,0.21787452697753906,0.2923165559768677,0.18389800190925598,0.23914365470409393,0.2923165559768677,0.12257915735244751,0.2223651260137558,0.09469322860240936,0.34153690934181213,0.11486150324344635
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.15773867070674896,0.35032153129577637,0.33289089798927307,0.22324657440185547,0.2264307141304016,0.15674452483654022,0.20408999919891357,0.40561532974243164
german,0.1960553526878357,0.19231973588466644,0.256483793258667,0.06918670982122421,0.2122138887643814,0.256483793258667,0.15850061178207397,0.18284347653388977,0.12337904423475266,0.17934419214725494,0.13978645205497742
:,-0.12022944539785385,-0.07222653180360794,-0.03403344005346298,-0.017949996516108513,-0.08807745575904846,-0.03403344005346298,-0.023922888562083244,-0.12200210988521576,-0.09153126925230026,-0.08169304579496384,-0.07156077772378922
rheintal,0.2230210304260254,0.24463233351707458,0.3660815358161926,0.25174155831336975,0.35073333978652954,0.3660815358161926,0.19897937774658203,0.26984310150146484,0.16088378429412842,0.30729207396507263,0.2123950719833374
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.18131664395332336,0.3680361211299896,0.3456730246543884,0.23834258317947388,0.23478686809539795,0.16249176859855652,0.19693730771541595,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2575502097606659,0.5352458953857422,0.5934505462646484,0.26206159591674805,0.4460422694683075,0.26839587092399597,0.3171539604663849,0.4130953550338745
