,abc,bought,20,acres,of,land,in,hollwood,in,1949,that,would,become,what,studio,?
on,0.2862928807735443,0.19892416894435883,-0.025147348642349243,0.18655167520046234,0.3966929316520691,0.2075873464345932,0.46853652596473694,0.2275191843509674,0.46853652596473694,0.17852674424648285,0.42569106817245483,0.35589995980262756,0.17756444215774536,0.34226128458976746,0.2619023621082306,0.2714994251728058
may,0.11823318153619766,0.1635122299194336,-0.04237053915858269,0.18042245507240295,0.26447007060050964,0.15317511558532715,0.3424151837825775,0.2023916244506836,0.3424151837825775,0.11550401151180267,0.4234136641025543,0.4155452847480774,0.20094400644302368,0.25739946961402893,0.15887846052646637,0.2768254578113556
7,-0.025838254019618034,-0.07271327078342438,-0.03368615359067917,0.05783066526055336,-0.04983885586261749,-0.023625388741493225,-0.02604081481695175,0.14240403473377228,-0.02604081481695175,-0.11194828897714615,-0.24410472810268402,-0.1984405219554901,-0.06746353954076767,-0.1699475795030594,-0.15878170728683472,-0.15092156827449799
",",0.2097204476594925,0.24780677258968353,0.02128993533551693,0.21724975109100342,0.4946078956127167,0.22220008075237274,0.5201468467712402,0.4203580319881439,0.5201468467712402,0.1767846941947937,0.4137537479400635,0.32586824893951416,0.29676204919815063,0.3087472915649414,0.24372334778308868,0.31091248989105225
1949,0.1190110445022583,0.1940097212791443,-0.051817718893289566,0.020969239994883537,0.2565067410469055,0.09121286869049072,0.17519041895866394,0.023835306987166405,0.17519041895866394,0.9999999403953552,0.23670974373817444,0.2375362515449524,0.1497354805469513,0.18551473319530487,0.07439611852169037,0.16888584196567535
",",0.2097204476594925,0.24780677258968353,0.02128993533551693,0.21724975109100342,0.4946078956127167,0.22220008075237274,0.5201468467712402,0.4203580319881439,0.5201468467712402,0.1767846941947937,0.4137537479400635,0.32586824893951416,0.29676204919815063,0.3087472915649414,0.24372334778308868,0.31091248989105225
billboard,0.2834133207798004,0.14614297449588776,-0.00853013340383768,0.11989226937294006,0.13256455957889557,0.14015190303325653,0.17883889377117157,0.22132351994514465,0.17883889377117157,0.0812191367149353,0.22271183133125305,0.1652374267578125,0.1304042637348175,0.21693554520606995,0.3807641267776489,0.22478190064430237
revealed,0.14245356619358063,0.20638146996498108,0.01691335253417492,0.07123091071844101,0.2616097331047058,0.06301511079072952,0.23558005690574646,0.20646488666534424,0.23558005690574646,0.12696965038776398,0.36264127492904663,0.2982712388038635,0.1527252048254013,0.20127414166927338,0.2728569805622101,0.21034270524978638
that,0.17440107464790344,0.2217971831560135,-0.040625885128974915,0.19838938117027283,0.41498205065727234,0.256797194480896,0.435920387506485,0.1366630643606186,0.435920387506485,0.23670974373817444,1.0,0.5895259380340576,0.33698222041130066,0.6297725439071655,0.1915295422077179,0.32716336846351624
abc,1.0000001192092896,0.2109670788049698,-0.042933158576488495,0.3220082223415375,0.14607268571853638,0.11165688931941986,0.1697147786617279,0.31663355231285095,0.1697147786617279,0.1190110445022583,0.17440107464790344,0.13780725002288818,0.06849972158670425,0.1317344456911087,0.29244330525398254,0.19065172970294952
