,who,did,he,fire,?
tesla,0.1520961970090866,0.09757418930530548,0.12373391538858414,0.12768769264221191,0.10250775516033173
could,0.33540013432502747,0.6308382749557495,0.2828438878059387,0.22582493722438812,0.3411986827850342
be,0.3371641933917999,0.22657383978366852,0.3325980603694916,0.17843341827392578,0.3324260413646698
harsh,0.23290224373340607,0.25000086426734924,0.23984287679195404,0.1397603452205658,0.1875905692577362
at,0.22096660733222961,0.28390252590179443,0.3280475437641144,0.18688800930976868,0.21978627145290375
times,0.24510560929775238,0.23068773746490479,0.307947039604187,0.14273834228515625,0.18880689144134521
and,0.41279885172843933,0.34479495882987976,0.45427167415618896,0.2478165328502655,0.20544172823429108
openly,0.38552337884902954,0.20042093098163605,0.3878971338272095,0.10660742223262787,0.16308623552322388
expressed,0.20309218764305115,0.17606444656848907,0.1852729320526123,0.06721101701259613,0.17175263166427612
disgust,0.23773248493671417,0.2805315852165222,0.15522681176662445,0.16284245252609253,0.26008477807044983
for,0.37110671401023865,0.318512886762619,0.4540175199508667,0.17143790423870087,0.264628142118454
overweight,0.3019200563430786,0.19657889008522034,0.1872999668121338,0.08482660353183746,0.22407682240009308
people,0.3933800458908081,0.26765021681785583,0.324719101190567,0.17089955508708954,0.23739641904830933
",",0.3365725874900818,0.3015086054801941,0.40251094102859497,0.24915234744548798,0.31091248989105225
such,0.2594927251338959,0.24497397243976593,0.1682141274213791,0.1676037311553955,0.17851735651493073
as,0.3923053741455078,0.3596470057964325,0.33787044882774353,0.15623275935649872,0.27043893933296204
when,0.48282691836357117,0.3228907287120819,0.39115971326828003,0.24638736248016357,0.22841128706932068
he,0.5500732064247131,0.3292143940925598,1.0000001192092896,0.22742323577404022,0.2089974731206894
fired,0.24903936684131622,0.31079331040382385,0.27042481303215027,0.5032128691673279,0.17595404386520386
a,0.36608949303627014,0.2552328109741211,0.4393508732318878,0.2617572844028473,0.23916715383529663
secretary,0.2019355148077011,0.18588460981845856,0.26844891905784607,0.18883894383907318,0.10113837569952011
because,0.4398062229156494,0.45674043893814087,0.3656739592552185,0.18150149285793304,0.2528740465641022
of,0.2827862501144409,0.2513895630836487,0.38706058263778687,0.20259131491184235,0.1826142966747284
her,0.3824957311153412,0.3056010603904724,0.5474342107772827,0.1438121199607849,0.20310723781585693
weight,0.09811396896839142,0.15234823524951935,0.09508898854255676,0.10791803896427155,0.18111222982406616
.,0.3541337847709656,0.35288307070732117,0.38061028718948364,0.2511917054653168,0.4130953550338745
