,what,signer,of,the,articles,of,confederation,was,descended,from,huguenots,?
paul,0.11217030137777328,0.1647493988275528,0.14511796832084656,0.19191958010196686,0.13812829554080963,0.14511796832084656,0.10840246081352234,0.24299268424510956,0.12371665984392166,0.16599151492118835,0.27345752716064453,0.16611461341381073
revere,0.2159319370985031,0.24149470031261444,0.26967865228652954,0.2564077377319336,0.1158977746963501,0.26967865228652954,0.08870270103216171,0.2628856897354126,0.230093851685524,0.22397451102733612,0.28208667039871216,0.1960376799106598
was,0.22111038863658905,0.2640772759914398,0.4069072902202606,0.48711544275283813,0.1837339699268341,0.4069072902202606,0.254781037569046,1.0000001192092896,0.25650086998939514,0.31171464920043945,0.20650696754455566,0.18412111699581146
descended,0.20182840526103973,0.15777844190597534,0.3058927059173584,0.2755005657672882,0.1662755310535431,0.3058927059173584,0.1967240571975708,0.25650086998939514,1.0,0.25199803709983826,0.29426074028015137,0.1283303201198578
from,0.2737620174884796,0.10906367748975754,0.4249346852302551,0.40150508284568787,0.20194421708583832,0.4249346852302551,0.16147242486476898,0.31171464920043945,0.25199803709983826,1.0,0.17123448848724365,0.19969791173934937
huguenot,0.1912020891904831,0.2713201642036438,0.29061198234558105,0.29557526111602783,0.16561856865882874,0.29061198234558105,0.3346739411354065,0.24281072616577148,0.32218530774116516,0.1858682930469513,0.9459913372993469,0.1359742432832718
refugees,0.17684882879257202,0.21205702424049377,0.1848231703042984,0.2474880963563919,0.2018844485282898,0.1848231703042984,0.23096467554569244,0.17160305380821228,0.285587340593338,0.20087158679962158,0.3471110165119171,0.10817430168390274
",",0.3087472915649414,0.2683189809322357,0.4946078956127167,0.4933079481124878,0.2689467966556549,0.4946078956127167,0.23066601157188416,0.45456063747406006,0.23422162234783173,0.39760664105415344,0.23394492268562317,0.31091248989105225
as,0.31749409437179565,0.21308031678199768,0.3886612355709076,0.48381632566452026,0.23197151720523834,0.3886612355709076,0.19671228528022766,0.3677520453929901,0.23507565259933472,0.3251767158508301,0.14947842061519623,0.27043893933296204
was,0.22111038863658905,0.2640772759914398,0.4069072902202606,0.48711544275283813,0.1837339699268341,0.4069072902202606,0.254781037569046,1.0000001192092896,0.25650086998939514,0.31171464920043945,0.20650696754455566,0.18412111699581146
henry,0.1911626160144806,0.21182715892791748,0.2390729784965515,0.2542637586593628,0.15122108161449432,0.2390729784965515,0.29262202978134155,0.31945720314979553,0.14483357965946198,0.16907568275928497,0.3957919180393219,0.16836383938789368
laurens,0.1609194576740265,0.3074163496494293,0.21604353189468384,0.23710912466049194,0.12740497291088104,0.21604353189468384,0.15952658653259277,0.23766860365867615,0.05104006454348564,0.1301693171262741,0.2957073152065277,0.10672305524349213
",",0.3087472915649414,0.2683189809322357,0.4946078956127167,0.4933079481124878,0.2689467966556549,0.4946078956127167,0.23066601157188416,0.45456063747406006,0.23422162234783173,0.39760664105415344,0.23394492268562317,0.31091248989105225
who,0.40942975878715515,0.2607436180114746,0.2827862501144409,0.3733934462070465,0.2812257707118988,0.2827862501144409,0.21394218504428864,0.3318818509578705,0.2906462550163269,0.27839982509613037,0.30634063482284546,0.26220351457595825
signed,0.16368238627910614,0.6205853223800659,0.19593118131160736,0.20675969123840332,0.19294162094593048,0.19593118131160736,0.23093529045581818,0.2625274360179901,0.14898082613945007,0.1412472426891327,0.21489138901233673,0.14003296196460724
