,what,changes,the,mineral,content,of,a,rock,?
this,0.5489566326141357,0.4571877419948578,0.6274310946464539,0.23468053340911865,0.3799898326396942,0.45148900151252747,0.5422310829162598,0.21980036795139313,0.3155723512172699
rock,0.1923677921295166,0.11874402314424515,0.23786304891109467,0.34702637791633606,0.2189301699399948,0.2653365731239319,0.25165656208992004,1.0,0.13172835111618042
can,0.34502777457237244,0.3265712559223175,0.312528520822525,0.2655729353427887,0.3574576675891876,0.2603091299533844,0.3915780484676361,0.1506635546684265,0.3226337134838104
be,0.3929833769798279,0.4154367744922638,0.4248143136501312,0.24076826870441437,0.4012247323989868,0.33904364705085754,0.39883795380592346,0.24234087765216827,0.3324260413646698
weathered,0.25113871693611145,0.19203051924705505,0.3183887004852295,0.3119105100631714,0.16203634440898895,0.31839612126350403,0.2357281744480133,0.33995985984802246,0.15842652320861816
and,0.31309178471565247,0.27557092905044556,0.5171257257461548,0.20232945680618286,0.31410330533981323,0.5116966962814331,0.3739250600337982,0.2808155119419098,0.20544172823429108
eroded,0.23620808124542236,0.2282841056585312,0.27606603503227234,0.3902052044868469,0.22252923250198364,0.28028666973114014,0.179670050740242,0.4550938010215759,0.1318357139825821
",",0.3087472915649414,0.23045918345451355,0.4933079481124878,0.2550774812698364,0.2644120454788208,0.4946078956127167,0.427140474319458,0.2775712311267853,0.31091248989105225
and,0.31309178471565247,0.27557092905044556,0.5171257257461548,0.20232945680618286,0.31410330533981323,0.5116966962814331,0.3739250600337982,0.2808155119419098,0.20544172823429108
then,0.4072686731815338,0.20732608437538147,0.4297412931919098,0.19463452696800232,0.282539039850235,0.2937326431274414,0.3970017731189728,0.18938525021076202,0.2884598970413208
redeposited,0.23997674882411957,0.24003280699253082,0.35401785373687744,0.45550283789634705,0.2911343574523926,0.3154720366001129,0.3131696581840515,0.35674843192100525,0.16506193578243256
and,0.31309178471565247,0.27557092905044556,0.5171257257461548,0.20232945680618286,0.31410330533981323,0.5116966962814331,0.3739250600337982,0.2808155119419098,0.20544172823429108
lithified,0.25341561436653137,0.22644385695457458,0.3469866216182709,0.34817376732826233,0.27785298228263855,0.29669222235679626,0.2692807614803314,0.2719937562942505,0.27524104714393616
into,0.2180619090795517,0.23528817296028137,0.39493247866630554,0.17222321033477783,0.16186301410198212,0.32255905866622925,0.3461161255836487,0.2020813673734665,0.15662476420402527
a,0.3320399522781372,0.26482418179512024,0.5829201340675354,0.2646344006061554,0.20795699954032898,0.5052502155303955,1.0,0.25165656208992004,0.23916715383529663
sedimentary,0.2219204604625702,0.20548518002033234,0.2576860189437866,0.5369201898574829,0.24942198395729065,0.30878832936286926,0.22127015888690948,0.4918837249279022,0.1575118452310562
rock,0.1923677921295166,0.11874402314424515,0.23786304891109467,0.34702637791633606,0.2189301699399948,0.2653365731239319,0.25165656208992004,1.0,0.13172835111618042
",",0.3087472915649414,0.23045918345451355,0.4933079481124878,0.2550774812698364,0.2644120454788208,0.4946078956127167,0.427140474319458,0.2775712311267853,0.31091248989105225
or,0.33867141604423523,0.2474553883075714,0.4174870550632477,0.2509900629520416,0.37564611434936523,0.3792596757411957,0.48853766918182373,0.24017885327339172,0.32389625906944275
be,0.3929833769798279,0.4154367744922638,0.4248143136501312,0.24076826870441437,0.4012247323989868,0.33904364705085754,0.39883795380592346,0.24234087765216827,0.3324260413646698
turned,0.22427117824554443,0.20869553089141846,0.3414173722267151,0.13075783848762512,0.11899939924478531,0.27018553018569946,0.32632166147232056,0.12615546584129333,0.130948007106781
into,0.2180619090795517,0.23528817296028137,0.39493247866630554,0.17222321033477783,0.16186301410198212,0.32255905866622925,0.3461161255836487,0.2020813673734665,0.15662476420402527
a,0.3320399522781372,0.26482418179512024,0.5829201340675354,0.2646344006061554,0.20795699954032898,0.5052502155303955,1.0,0.25165656208992004,0.23916715383529663
metamorphic,0.22321857511997223,0.25358501076698303,0.19381749629974365,0.5134395360946655,0.25474122166633606,0.21258093416690826,0.22291909158229828,0.470113068819046,0.11114242672920227
rock,0.1923677921295166,0.11874402314424515,0.23786304891109467,0.34702637791633606,0.2189301699399948,0.2653365731239319,0.25165656208992004,1.0,0.13172835111618042
due,0.15204688906669617,0.282179057598114,0.22577603161334991,0.14483822882175446,0.24492380023002625,0.2533245384693146,0.2190696746110916,0.18637855350971222,0.10954997688531876
to,0.455847829580307,0.32918253540992737,0.535392165184021,0.22294564545154572,0.2765587866306305,0.41548454761505127,0.45503583550453186,0.22657817602157593,0.29463258385658264
heat,0.1933984011411667,0.18943370878696442,0.2556036710739136,0.29298487305641174,0.2340419739484787,0.19590096175670624,0.2243129312992096,0.2756347060203552,0.16343188285827637
and,0.31309178471565247,0.27557092905044556,0.5171257257461548,0.20232945680618286,0.31410330533981323,0.5116966962814331,0.3739250600337982,0.2808155119419098,0.20544172823429108
pressure,0.2625555694103241,0.19630692899227142,0.28285476565361023,0.1913156658411026,0.234450563788414,0.22627468407154083,0.23459996283054352,0.12735863029956818,0.142023503780365
that,0.6297725439071655,0.33237403631210327,0.5473989248275757,0.2340027391910553,0.3454494774341583,0.41498205065727234,0.47537946701049805,0.2285659909248352,0.32716336846351624
change,0.3690716028213501,0.7008803486824036,0.3641999065876007,0.23166005313396454,0.25624918937683105,0.2569013833999634,0.3047741651535034,0.15283161401748657,0.24115969240665436
the,0.42745697498321533,0.3427845537662506,1.0,0.229726642370224,0.21174471080303192,0.733189046382904,0.5829201340675354,0.23786304891109467,0.22068053483963013
mineral,0.20816034078598022,0.208894744515419,0.229726642370224,0.9999999403953552,0.26975491642951965,0.2677479386329651,0.2646344006061554,0.34702637791633606,0.1975122094154358
content,0.3614070415496826,0.29291045665740967,0.21174471080303192,0.26975491642951965,1.0,0.18281257152557373,0.20795699954032898,0.2189301699399948,0.37093979120254517
of,0.33290785551071167,0.25827232003211975,0.733189046382904,0.2677479386329651,0.18281257152557373,1.0,0.5052502155303955,0.2653365731239319,0.1826142966747284
the,0.42745697498321533,0.3427845537662506,1.0,0.229726642370224,0.21174471080303192,0.733189046382904,0.5829201340675354,0.23786304891109467,0.22068053483963013
rock,0.1923677921295166,0.11874402314424515,0.23786304891109467,0.34702637791633606,0.2189301699399948,0.2653365731239319,0.25165656208992004,1.0,0.13172835111618042
