,when,was,doctor,who,viewing,at,its,highest,level,?
during,0.46721696853637695,0.4470829963684082,0.19493472576141357,0.30551859736442566,0.19715124368667603,0.372769296169281,0.23688937723636627,0.26514118909835815,0.15863773226737976,0.1325719803571701
the,0.5091903209686279,0.48711544275283813,0.2820442318916321,0.3733934462070465,0.309763640165329,0.457212895154953,0.559237003326416,0.36945265531539917,0.31442487239837646,0.22068053483963013
itv,0.18672123551368713,0.17489363253116608,0.20184913277626038,0.15555207431316376,0.3018413782119751,0.13201159238815308,0.26818448305130005,0.14351698756217957,0.09855414181947708,0.16615986824035645
network,0.19011130928993225,0.1994880586862564,0.1731400340795517,0.16999904811382294,0.24196495115756989,0.20603609085083008,0.25264307856559753,0.13494063913822174,0.1850593239068985,0.17853789031505585
strike,0.24256987869739532,0.18155908584594727,0.018909649923443794,0.22965483367443085,0.1324465423822403,0.14776726067066193,0.19780229032039642,0.11698107421398163,0.15577711164951324,0.20633886754512787
of,0.3757161796092987,0.4069072902202606,0.16895952820777893,0.2827862501144409,0.22714020311832428,0.42558613419532776,0.48690423369407654,0.3223685622215271,0.23504668474197388,0.1826142966747284
1979,0.20640838146209717,0.1920030564069748,0.13568224012851715,0.215601846575737,0.11526118963956833,0.09286528825759888,0.2441880851984024,0.13674966990947723,0.13251395523548126,0.09159877151250839
",",0.36674630641937256,0.45456063747406006,0.20407600700855255,0.3365725874900818,0.20034630596637726,0.38314947485923767,0.33157986402511597,0.22094981372356415,0.23317520320415497,0.31091248989105225
viewership,0.1621217429637909,0.2425418645143509,0.13985763490200043,0.19972029328346252,0.43468034267425537,0.22966299951076508,0.3874112367630005,0.280079185962677,0.29725706577301025,0.23784568905830383
peaked,0.16453693807125092,0.3009093403816223,0.10010230541229248,0.06908885389566422,0.18880674242973328,0.2616417109966278,0.18676677346229553,0.3143537938594818,0.18440037965774536,0.17896412312984467
at,0.38876327872276306,0.36707764863967896,0.2165924310684204,0.22096660733222961,0.2567487061023712,1.0,0.2685394287109375,0.23256371915340424,0.24496568739414215,0.21978627145290375
16,0.035893313586711884,-0.008355183526873589,0.08900805562734604,0.08880186825990677,0.05005596950650215,0.004100513178855181,-0.08789095282554626,-0.09806401282548904,-0.059316202998161316,0.08446579426527023
million,0.17012886703014374,0.24203833937644958,0.13021644949913025,0.20240086317062378,0.1702136993408203,0.189541757106781,0.2865995168685913,0.24020400643348694,0.14670439064502716,0.23092924058437347
.,0.475719153881073,0.40146201848983765,0.22361043095588684,0.3541337847709656,0.2927800118923187,0.4549728035926819,0.3566088080406189,0.2254713773727417,0.26056769490242004,0.4130953550338745
