,who,listed,the,grainger,market,architecture,as,grade,1,in,1954,?
the,0.3733934462070465,0.31246060132980347,1.0,0.19754326343536377,0.2041238248348236,0.24488379061222076,0.48381632566452026,0.19111110270023346,-0.1554475575685501,0.6662389636039734,0.05573182925581932,0.22068053483963013
grainger,0.28636008501052856,0.0825575590133667,0.19754326343536377,0.9999999403953552,0.10789944231510162,0.16382776200771332,0.2690269649028778,0.23534038662910461,-0.19444537162780762,0.19917434453964233,0.0053114620968699455,0.14470532536506653
market,0.10590363293886185,0.22635768353939056,0.2041238248348236,0.10789944231510162,1.0000001192092896,0.24375008046627045,0.17538416385650635,0.16623032093048096,-0.08737728744745255,0.27003997564315796,0.05052059516310692,0.12805593013763428
architecture,0.12630945444107056,0.20207609236240387,0.24488379061222076,0.16382776200771332,0.24375008046627045,1.0,0.18870608508586884,0.20661649107933044,-0.049217842519283295,0.2624244689941406,0.059114981442689896,0.14343059062957764
",",0.3365725874900818,0.30069199204444885,0.4933079481124878,0.40289974212646484,0.2499394416809082,0.2120368629693985,0.48816442489624023,0.21147723495960236,-0.15742997825145721,0.5201468467712402,-0.019343923777341843,0.31091248989105225
like,0.34740978479385376,0.24658365547657013,0.32912567257881165,0.21486783027648926,0.14263516664505005,0.20247940719127655,0.4175155460834503,0.16228829324245453,-0.1994958519935608,0.31010183691978455,-0.010081724263727665,0.3268813192844391
most,0.35393568873405457,0.29674747586250305,0.47635307908058167,0.15737123787403107,0.15903998911380768,0.23562611639499664,0.3548237979412079,0.16786056756973267,-0.16115467250347137,0.41416558623313904,0.02170887216925621,0.2107497900724411
in,0.2792111933231354,0.2905867397785187,0.6662389636039734,0.19917434453964233,0.27003997564315796,0.2624244689941406,0.3887844979763031,0.18351052701473236,-0.10660158097743988,1.0,0.06289621442556381,0.20430970191955566
grainger,0.28636008501052856,0.0825575590133667,0.19754326343536377,0.9999999403953552,0.10789944231510162,0.16382776200771332,0.2690269649028778,0.23534038662910461,-0.19444537162780762,0.19917434453964233,0.0053114620968699455,0.14470532536506653
town,0.17440535128116608,0.13449259102344513,0.2974243760108948,0.11897199600934982,0.31134626269340515,0.16264377534389496,0.17528915405273438,0.0868065133690834,0.03471064195036888,0.34975525736808777,0.08092024177312851,0.09902279824018478
