,if,you,do,not,know,both,magnitude,and,direction,of,two,forces,on,an,object,",",what,would,you,call,that,situation,?
if,1.0,0.5704099535942078,0.4196736514568329,0.6100378632545471,0.48222869634628296,0.35924941301345825,0.2262124866247177,0.3498523235321045,0.2336757481098175,0.2557544410228729,0.24792033433914185,0.1562235802412033,0.24549968540668488,0.26347705721855164,0.3933050334453583,0.257730096578598,0.5277165174484253,0.5543612837791443,0.5704099535942078,0.30423030257225037,0.5634250640869141,0.3985370695590973,0.4441644251346588
both,0.35924941301345825,0.2976040542125702,0.24471816420555115,0.4334387183189392,0.28202584385871887,1.0,0.1747990995645523,0.5503310561180115,0.2499811053276062,0.3565710783004761,0.6091675162315369,0.21776126325130463,0.3685423731803894,0.24217435717582703,0.1303824931383133,0.38080528378486633,0.3361809551715851,0.3794318735599518,0.2976040542125702,0.23482340574264526,0.4532228112220764,0.34903374314308167,0.19455738365650177
of,0.2557544410228729,0.1774725764989853,0.26150479912757874,0.3307090103626251,0.24288669228553772,0.3565710783004761,0.22128774225711823,0.5116966962814331,0.18922415375709534,1.0,0.37726253271102905,0.3090144991874695,0.3966929316520691,0.32280945777893066,0.1993778944015503,0.4946078956127167,0.33290785551071167,0.3353942930698395,0.1774725764989853,0.2378445267677307,0.41498205065727234,0.22593308985233307,0.1826142966747284
these,0.3604618012905121,0.36201566457748413,0.4402875602245331,0.5041285753250122,0.37120047211647034,0.49278995394706726,0.1442709118127823,0.5314885973930359,0.17604775726795197,0.42684608697891235,0.5489652752876282,0.23580892384052277,0.32800400257110596,0.16632772982120514,0.20044326782226562,0.37613096833229065,0.4164220690727234,0.3925110399723053,0.36201566457748413,0.257748544216156,0.5512621402740479,0.2702561914920807,0.2571668326854706
pieces,0.28520670533180237,0.23555542528629303,0.1542116403579712,0.21073095500469208,0.2072765976190567,0.19525519013404846,0.13071401417255402,0.316224604845047,0.21700409054756165,0.2685854732990265,0.2780078053474426,0.23031917214393616,0.21964214742183685,0.15279603004455566,0.3014673888683319,0.2629237473011017,0.23248165845870972,0.2637649178504944,0.23555542528629303,0.13673578202724457,0.2854982614517212,0.11315548419952393,0.12758022546768188
of,0.2557544410228729,0.1774725764989853,0.26150479912757874,0.3307090103626251,0.24288669228553772,0.3565710783004761,0.22128774225711823,0.5116966962814331,0.18922415375709534,1.0,0.37726253271102905,0.3090144991874695,0.3966929316520691,0.32280945777893066,0.1993778944015503,0.4946078956127167,0.33290785551071167,0.3353942930698395,0.1774725764989853,0.2378445267677307,0.41498205065727234,0.22593308985233307,0.1826142966747284
information,0.36440086364746094,0.3523094952106476,0.26156288385391235,0.30015695095062256,0.372741162776947,0.2157355397939682,0.11751879751682281,0.28268665075302124,0.20244728028774261,0.2860049605369568,0.23649950325489044,0.1822427213191986,0.23195485770702362,0.21876345574855804,0.20666885375976562,0.297139048576355,0.35283446311950684,0.28031855821609497,0.3523094952106476,0.10384733974933624,0.3410947024822235,0.3314274251461029,0.24875912070274353
are,0.32547882199287415,0.3272087574005127,0.41111594438552856,0.46186959743499756,0.35463452339172363,0.4594642221927643,0.17340542376041412,0.48576638102531433,0.16355663537979126,0.39081433415412903,0.46276170015335083,0.22039441764354706,0.268924742937088,0.1556541919708252,0.2075730264186859,0.4062570035457611,0.29724663496017456,0.32024338841438293,0.3272087574005127,0.27999943494796753,0.45265161991119385,0.21725578606128693,0.24591213464736938
not,0.6100378632545471,0.49501559138298035,0.6619802713394165,0.9999999403953552,0.5477336645126343,0.4334387183189392,0.17243975400924683,0.39099299907684326,0.2050936371088028,0.3307090103626251,0.2686237692832947,0.17200443148612976,0.3516409695148468,0.3722182512283325,0.25356924533843994,0.3769696354866028,0.5449194312095642,0.5854519605636597,0.49501559138298035,0.3048311173915863,0.6600887179374695,0.3623059391975403,0.41942933201789856
known,0.091392382979393,0.12979857623577118,0.23082251846790314,0.22453871369361877,0.32153865694999695,0.24095475673675537,0.08724413067102432,0.3468935489654541,0.16355520486831665,0.35814476013183594,0.20766764879226685,0.1327875256538391,0.19541868567466736,0.3156754970550537,0.15021277964115143,0.3604377806186676,0.20381177961826324,0.23509551584720612,0.12979857623577118,0.240574911236763,0.20813259482383728,0.14656949043273926,0.18314571678638458
for,0.3609124422073364,0.31656414270401,0.29510271549224854,0.39280617237091064,0.3311142325401306,0.3887220323085785,0.09346471726894379,0.5064792633056641,0.2664225995540619,0.4185989499092102,0.34734001755714417,0.14048048853874207,0.36199691891670227,0.3236706852912903,0.23012496531009674,0.4464869201183319,0.3017193675041199,0.39877474308013916,0.31656414270401,0.272861123085022,0.4137635827064514,0.2939284145832062,0.264628142118454
each,0.44203662872314453,0.34295889735221863,0.2601187825202942,0.32419833540916443,0.2595018744468689,0.3931492269039154,0.22277967631816864,0.2984027564525604,0.28449854254722595,0.38460010290145874,0.524709939956665,0.18532252311706543,0.30782750248908997,0.20307137072086334,0.29949304461479187,0.207483172416687,0.3353266417980194,0.36680325865745544,0.34295889735221863,0.2000739723443985,0.46111494302749634,0.27293136715888977,0.21173812448978424
force,0.21601657569408417,0.1904318630695343,0.20164671540260315,0.17318668961524963,0.16045387089252472,0.2151227593421936,0.24111808836460114,0.24372100830078125,0.28222864866256714,0.27094775438308716,0.22581329941749573,0.6498695015907288,0.1764998733997345,0.21655116975307465,0.32587239146232605,0.22091743350028992,0.16915984451770782,0.2111431211233139,0.1904318630695343,0.12727190554141998,0.26810982823371887,0.2271081656217575,0.1650998443365097
",",0.257730096578598,0.3199685513973236,0.3283645510673523,0.3769696354866028,0.32349470257759094,0.38080528378486633,0.21719522774219513,0.6633074283599854,0.23287029564380646,0.4946078956127167,0.35859420895576477,0.2544684410095215,0.49057599902153015,0.3581022024154663,0.149229496717453,1.0000001192092896,0.3087472915649414,0.32586824893951416,0.3199685513973236,0.2670435905456543,0.4137537479400635,0.20005939900875092,0.31091248989105225
the,0.33724796772003174,0.30037742853164673,0.30239659547805786,0.4310511648654938,0.31593990325927734,0.4931981563568115,0.215829536318779,0.5171257257461548,0.28851455450057983,0.733189046382904,0.43858039379119873,0.3134811818599701,0.5107308030128479,0.4207492768764496,0.22418850660324097,0.4933079481124878,0.42745697498321533,0.4133751392364502,0.30037742853164673,0.26640447974205017,0.5473989248275757,0.29657405614852905,0.22068053483963013
situation,0.3985370695590973,0.3695991337299347,0.25660836696624756,0.3623059391975403,0.3900182545185089,0.34903374314308167,0.20637936890125275,0.25539255142211914,0.28700000047683716,0.22593308985233307,0.18835730850696564,0.31854307651519775,0.26678118109703064,0.291826069355011,0.25904032588005066,0.20005939900875092,0.4481324255466461,0.4142591059207916,0.3695991337299347,0.25797826051712036,0.38794219493865967,1.0000001192092896,0.2714049518108368
is,0.30927813053131104,0.27113574743270874,0.30895981192588806,0.3776007890701294,0.31726783514022827,0.31409940123558044,0.23793016374111176,0.3859752118587494,0.2159055918455124,0.4854315221309662,0.2315155267715454,0.18792390823364258,0.3635730445384979,0.4654068350791931,0.30146875977516174,0.4691906273365021,0.28837618231773376,0.33626067638397217,0.27113574743270874,0.2742006778717041,0.3995479643344879,0.2855897843837738,0.22961433231830597
ambiguous,0.3094676733016968,0.32682323455810547,0.2779609262943268,0.32400527596473694,0.32027512788772583,0.28646108508110046,0.20990897715091705,0.18726567924022675,0.2269272804260254,0.17774224281311035,0.2160375863313675,0.1014397144317627,0.16112098097801208,0.19943629205226898,0.3167147636413574,0.24578434228897095,0.3251691460609436,0.3304459750652313,0.32682323455810547,0.20351679623126984,0.3229699730873108,0.3761022388935089,0.29467540979385376
.,0.421799898147583,0.31283900141716003,0.3613996207714081,0.4824007451534271,0.3386111259460449,0.42281273007392883,0.2229142040014267,0.588965117931366,0.23911777138710022,0.5352458953857422,0.3524959683418274,0.21802116930484772,0.49257001280784607,0.3581749200820923,0.22102774679660797,0.6812511086463928,0.3567904531955719,0.35067233443260193,0.31283900141716003,0.2601918876171112,0.4460422694683075,0.23848983645439148,0.4130953550338745
