,who,departed,as,president,of,capital,cities/abc,in,1994,?
daniel,0.2651176154613495,0.18634752929210663,0.15492023527622223,0.17979766428470612,0.13703610002994537,0.14457380771636963,0.16933567821979523,0.1751832365989685,0.019808342680335045,0.1540297418832779
burke,0.24957938492298126,0.26276805996894836,0.12856978178024292,0.16731171309947968,0.1652795672416687,0.16382765769958496,0.24115629494190216,0.16090454161167145,-0.008366129361093044,0.12550751864910126
departed,0.20033155381679535,1.0000001192092896,0.2635022699832916,0.21095049381256104,0.23432166874408722,0.1359402984380722,0.171047180891037,0.20260515809059143,-0.028412260115146637,0.11029011756181717
from,0.27839982509613037,0.20642517507076263,0.3251767158508301,0.14635725319385529,0.4249346852302551,0.22938302159309387,0.21788151562213898,0.4274188280105591,0.04213053360581398,0.19969791173934937
capital,0.15628641843795776,0.1359402984380722,0.19028405845165253,0.24277032911777496,0.30823585391044617,0.9999999403953552,0.4365534782409668,0.3233928978443146,0.0036419101525098085,0.0907452180981636
cities/abc,0.1692102700471878,0.171047180891037,0.21087509393692017,0.2548964321613312,0.29075387120246887,0.4365534782409668,1.0000001192092896,0.3274103105068207,-0.026754217222332954,0.2519042491912842
in,0.2792111933231354,0.20260515809059143,0.3887844979763031,0.18811661005020142,0.5696388483047485,0.3233928978443146,0.3274103105068207,1.0,0.007567534223198891,0.20430970191955566
february,0.2668350636959076,0.13236498832702637,0.2597405016422272,0.27558761835098267,0.20366249978542328,0.2452402114868164,0.26563045382499695,0.2990526556968689,0.31729623675346375,0.29594847559928894
1994,0.19574828445911407,-0.028412260115146637,0.010747266933321953,0.16682320833206177,-0.07057395577430725,0.0036419101525098085,-0.026754217222332954,0.007567534223198891,1.0000001192092896,0.12888094782829285
",",0.3365725874900818,0.22988656163215637,0.48816442489624023,0.26552814245224,0.4946078956127167,0.28033894300460815,0.35105860233306885,0.5201468467712402,0.14125534892082214,0.31091248989105225
with,0.3282766342163086,0.19972284138202667,0.40387406945228577,0.14994901418685913,0.41827285289764404,0.13558538258075714,0.21366477012634277,0.4080928862094879,-0.037005599588155746,0.2433311939239502
thomas,0.26103657484054565,0.19944624602794647,0.19479404389858246,0.22410279512405396,0.18699592351913452,0.1050117239356041,0.20515191555023193,0.21133768558502197,0.05614360421895981,0.16133050620555878
murphy,0.2694018483161926,0.2959030866622925,0.26997292041778564,0.10970347374677658,0.1612769067287445,0.15933264791965485,0.21495267748832703,0.2727879285812378,0.0157984159886837,0.1981727033853531
taking,0.2872755825519562,0.26124823093414307,0.3148394227027893,0.17211270332336426,0.29240402579307556,0.12723258137702942,0.10343705117702484,0.25282081961631775,0.06088867411017418,0.19960761070251465
over,0.316001296043396,0.23585034906864166,0.3506779670715332,0.22208066284656525,0.36136594414711,0.1535618156194687,0.15521666407585144,0.3605569899082184,-0.010401424020528793,0.25742942094802856
as,0.3923053741455078,0.2635022699832916,1.0,0.2031671553850174,0.3886612355709076,0.19028405845165253,0.21087509393692017,0.3887844979763031,0.010747266933321953,0.27043893933296204
president,0.22565458714962006,0.21095049381256104,0.2031671553850174,1.0000001192092896,0.21610750257968903,0.24277032911777496,0.2548964321613312,0.18811661005020142,0.16682320833206177,0.14148259162902832
before,0.31244513392448425,0.22390420734882355,0.3552539646625519,0.17633652687072754,0.3282964527606964,0.17086370289325714,0.13967253267765045,0.4155850410461426,0.08162032812833786,0.2507109045982361
ceding,0.11663956195116043,0.22024773061275482,0.24803338944911957,0.2830783724784851,0.3783898651599884,0.32612335681915283,0.2972486615180969,0.3322289288043976,-0.02344958484172821,0.15623490512371063
control,0.23970051109790802,0.17595385015010834,0.18926969170570374,0.19762568175792694,0.2817542552947998,0.1472814679145813,0.1336967647075653,0.24831421673297882,-0.04617960751056671,0.1620711386203766
to,0.42656609416007996,0.25853580236434937,0.42092081904411316,0.21247753500938416,0.41548454761505127,0.1844596415758133,0.17292656004428864,0.45010748505592346,0.0856473445892334,0.29463258385658264
robert,0.2748492956161499,0.21569621562957764,0.18202318251132965,0.18325552344322205,0.2398476004600525,0.10882189869880676,0.20290249586105347,0.22155319154262543,0.013371572829782963,0.11293095350265503
iger,0.2642470598220825,0.16407622396945953,0.20694401860237122,0.2606333792209625,0.15813247859477997,0.04538160562515259,0.14505763351917267,0.18667159974575043,-0.0331362709403038,0.18717654049396515
.,0.3541337847709656,0.2162131667137146,0.515582263469696,0.26255303621292114,0.5352458953857422,0.23657599091529846,0.32929137349128723,0.5591574311256409,0.08958379179239273,0.4130953550338745
