,the,term,huguenot,was,originally,meant,to,confer,?
a,0.5829201340675354,0.3080509603023529,0.22502337396144867,0.4508470594882965,0.3363247811794281,0.3386867940425873,0.45503583550453186,0.10432762652635574,0.23916715383529663
term,0.2740369141101837,1.0,0.14352960884571075,0.21378034353256226,0.2753604054450989,0.3704105615615845,0.3310292959213257,0.12337412685155869,0.1901002675294876
used,0.3718377649784088,0.4406372904777527,0.1293259710073471,0.23679393529891968,0.30651095509529114,0.5055410861968994,0.40058770775794983,0.1107640191912651,0.22430120408535004
originally,0.36820849776268005,0.2753604054450989,0.15925274789333344,0.5204543471336365,0.9999999403953552,0.38846614956855774,0.30024412274360657,0.16999275982379913,0.07821967452764511
in,0.6662389636039734,0.27866655588150024,0.26198551058769226,0.45514053106307983,0.3191297650337219,0.25344955921173096,0.45010748505592346,0.1640762835741043,0.20430970191955566
derision,0.3370002806186676,0.27068832516670227,0.28367215394973755,0.27158308029174805,0.2525809705257416,0.2541985809803009,0.3141818642616272,0.22063815593719482,0.23393984138965607
",",0.4933079481124878,0.21599270403385162,0.24752236902713776,0.45456063747406006,0.2660219669342041,0.2770281732082367,0.44245919585227966,0.2159266322851181,0.31091248989105225
huguenot,0.29557526111602783,0.14352960884571075,1.0000001192092896,0.24281072616577148,0.15925274789333344,0.16840139031410217,0.24496324360370636,0.1644340306520462,0.1359742432832718
has,0.4177538752555847,0.1874341368675232,0.11063792556524277,0.40313825011253357,0.2781512141227722,0.20495302975177765,0.3619994819164276,0.16561052203178406,0.15994466841220856
unclear,0.2925277650356293,0.3356686532497406,0.16884930431842804,0.18430206179618835,0.20979484915733337,0.3105349838733673,0.32334262132644653,0.16961368918418884,0.28961181640625
origins,0.2890577018260956,0.2479962855577469,0.24975153803825378,0.2043774425983429,0.4607730805873871,0.14060078561306,0.1450413018465042,0.18301238119602203,0.1275135576725006
.,0.5934505462646484,0.18456575274467468,0.2060975730419159,0.40146201848983765,0.2504246234893799,0.26877450942993164,0.4645031690597534,0.15561822056770325,0.4130953550338745
