,what,effect,does,european,union,law,have,on,laws,of,member,states,?
european,0.15324164927005768,0.12194139510393143,0.11488570272922516,0.9999998807907104,0.3571677803993225,0.17164482176303864,0.19048169255256653,0.19710737466812134,0.21827232837677002,0.2507138252258301,0.24138560891151428,0.25554242730140686,0.14560863375663757
union,0.1396910548210144,0.11457715183496475,0.10697764903306961,0.3571677803993225,0.9999999403953552,0.19371826946735382,0.16471676528453827,0.15769828855991364,0.2677162289619446,0.2642118036746979,0.23030449450016022,0.30693942308425903,0.07797172665596008
law,0.2145031988620758,0.22741442918777466,0.22011858224868774,0.17164482176303864,0.19371826946735382,1.0000001192092896,0.18623127043247223,0.13878796994686127,0.6853237152099609,0.2816956341266632,0.17515966296195984,0.2508668601512909,0.1528988480567932
is,0.28837618231773376,0.17614969611167908,0.4403602182865143,0.16083641350269318,0.16997112333774567,0.18597714602947235,0.3613572418689728,0.3635730445384979,0.17527072131633759,0.4854315221309662,0.2522773742675781,0.21939043700695038,0.22961433231830597
a,0.3320399522781372,0.24771364033222198,0.38201746344566345,0.2254103124141693,0.18140026926994324,0.2212858349084854,0.338716596364975,0.3848365545272827,0.1722979098558426,0.5052502155303955,0.24081070721149445,0.24708621203899384,0.23916715383529663
body,0.2143840193748474,0.2721151113510132,0.27194929122924805,0.15357226133346558,0.16131378710269928,0.16696499288082123,0.27852192521095276,0.20112086832523346,0.2097855508327484,0.25063133239746094,0.1381404846906662,0.1780509203672409,0.20136451721191406
of,0.33290785551071167,0.24129827320575714,0.3119818866252899,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.3802283704280853,0.3966929316520691,0.2539142072200775,1.0,0.2701796889305115,0.30884552001953125,0.1826142966747284
treaties,0.2403455525636673,0.2936705946922302,0.18945413827896118,0.30161675810813904,0.34353530406951904,0.39653173089027405,0.2842963933944702,0.25548097491264343,0.44110286235809326,0.3281906247138977,0.1925402134656906,0.3604946732521057,0.1693580597639084
and,0.31309178471565247,0.23508284986019135,0.3461615741252899,0.24143946170806885,0.2594362497329712,0.254730761051178,0.4711785912513733,0.4077630043029785,0.290377676486969,0.5116966962814331,0.28606608510017395,0.2974761426448822,0.20544172823429108
legislation,0.26615777611732483,0.2264789491891861,0.22256289422512054,0.18848587572574615,0.23797817528247833,0.459128201007843,0.23653626441955566,0.19267718493938446,0.5655804872512817,0.3114430606365204,0.23137901723384857,0.335861474275589,0.21123437583446503
