,who,asked,luther,to,return,to,the,city,?
when,0.48282691836357117,0.33918625116348267,0.14516782760620117,0.5423505902290344,0.24235358834266663,0.5423505902290344,0.5091903209686279,0.19592350721359253,0.22841128706932068
the,0.3733934462070465,0.25750473141670227,0.1759674996137619,0.535392165184021,0.2543797492980957,0.535392165184021,1.0,0.35769423842430115,0.22068053483963013
town,0.17440535128116608,0.11594574898481369,0.21043430268764496,0.18535545468330383,0.09398864954710007,0.18535545468330383,0.2974243760108948,0.6289315819740295,0.09902279824018478
council,0.19620807468891144,0.2103135734796524,0.11099107563495636,0.23829470574855804,0.11299747228622437,0.23829470574855804,0.2829204201698303,0.29846927523612976,0.1160062924027443
asked,0.38866153359413147,1.0,0.1481681615114212,0.39673250913619995,0.22348397970199585,0.39673250913619995,0.25750473141670227,0.15490056574344635,0.28475281596183777
luther,0.21013082563877106,0.1481681615114212,1.0,0.18029534816741943,0.06525282561779022,0.18029534816741943,0.1759674996137619,0.1066574677824974,0.1732746809720993
to,0.42656609416007996,0.39673250913619995,0.18029534816741943,1.0,0.3110596537590027,1.0,0.535392165184021,0.20300441980361938,0.29463258385658264
return,0.14819499850273132,0.22348397970199585,0.06525282561779022,0.3110596537590027,0.9999998807907104,0.3110596537590027,0.2543797492980957,0.1381475031375885,0.14655634760856628
",",0.3365725874900818,0.2717181444168091,0.23255878686904907,0.44245919585227966,0.20895273983478546,0.44245919585227966,0.4933079481124878,0.35839709639549255,0.31091248989105225
he,0.5500732064247131,0.3250562250614166,0.2454872578382492,0.385390967130661,0.22716954350471497,0.385390967130661,0.4571082592010498,0.2717975378036499,0.2089974731206894
decided,0.3009106516838074,0.5846255421638489,0.15696977078914642,0.43155255913734436,0.2651606798171997,0.43155255913734436,0.37534645199775696,0.21062329411506653,0.258772075176239
it,0.2868398427963257,0.19053037464618683,0.15365919470787048,0.513711154460907,0.16362150013446808,0.513711154460907,0.6251175999641418,0.3001909852027893,0.25732165575027466
was,0.3318818509578705,0.368498295545578,0.19185513257980347,0.3636345863342285,0.12940508127212524,0.3636345863342285,0.48711544275283813,0.3188765048980713,0.18412111699581146
his,0.44966956973075867,0.31231561303138733,0.27093374729156494,0.3715193271636963,0.27887892723083496,0.3715193271636963,0.4394008219242096,0.1923673152923584,0.18075084686279297
duty,0.20958000421524048,0.15753068029880524,0.1614549458026886,0.2394949495792389,0.134597510099411,0.2394949495792389,0.18581759929656982,0.13377448916435242,0.20404963195323944
to,0.42656609416007996,0.39673250913619995,0.18029534816741943,1.0,0.3110596537590027,1.0,0.535392165184021,0.20300441980361938,0.29463258385658264
act,0.2015037089586258,0.16793669760227203,0.14527858793735504,0.24833928048610687,0.1852407306432724,0.24833928048610687,0.28682878613471985,0.09903398156166077,0.1482519507408142
.,0.3541337847709656,0.27467578649520874,0.24907569587230682,0.4645031690597534,0.25014954805374146,0.4645031690597534,0.5934505462646484,0.29856356978416443,0.4130953550338745
