,what,did,tesla,dress,in,while,in,tominaj,?
there,0.35085538029670715,0.29736605286598206,0.16046448051929474,0.13642558455467224,0.5361666083335876,0.33146223425865173,0.5361666083335876,0.1639186292886734,0.29405656456947327
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.18259386718273163,0.5201468467712402,0.38232675194740295,0.5201468467712402,0.3430103361606598,0.31091248989105225
he,0.3114890456199646,0.3292143940925598,0.12373391538858414,0.17184749245643616,0.41690486669540405,0.3526706397533417,0.41690486669540405,0.2750851511955261,0.2089974731206894
explored,0.2343243807554245,0.2389964908361435,0.06418643891811371,0.10802248120307922,0.2683154344558716,0.18375414609909058,0.2683154344558716,0.14950083196163177,0.08649857342243195
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.2359773814678192,0.6662389636039734,0.39804592728614807,0.6662389636039734,0.26348957419395447,0.22068053483963013
mountains,0.1498076319694519,0.12836767733097076,0.07621756941080093,0.1441783607006073,0.27267226576805115,0.2129899263381958,0.27267226576805115,0.19068719446659088,0.08633821457624435
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.1978769302368164,1.0,0.3399278521537781,1.0,0.24489176273345947,0.20430970191955566
hunter,0.16765183210372925,0.19588172435760498,0.10805284976959229,0.14369012415409088,0.18519392609596252,0.1569576859474182,0.18519392609596252,0.24950997531414032,0.1317238211631775
's,0.02692362666130066,0.05069678649306297,0.06449045985937119,0.00609549880027771,-0.037580832839012146,0.0011869525769725442,-0.037580832839012146,0.015433968976140022,-0.023395681753754616
garb,0.14266565442085266,0.12535898387432098,0.1654997020959854,0.2563602030277252,0.1651110202074051,0.22523316740989685,0.1651110202074051,0.32780158519744873,0.2234223186969757
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.22033533453941345,0.5591574311256409,0.38690751791000366,0.5591574311256409,0.2720460593700409,0.4130953550338745
