,where,did,harold,ii,die,?
in,0.5344807505607605,0.2593238651752472,0.2284298837184906,0.21453368663787842,0.18641351163387299,0.20430970191955566
1066,0.1781117022037506,-0.009327096864581108,0.08915098011493683,-0.018842648714780807,0.03245038911700249,-0.048521675169467926
",",0.3149496018886566,0.3015086054801941,0.2359737902879715,0.27159881591796875,0.23915338516235352,0.31091248989105225
duke,0.1672580987215042,0.18803031742572784,0.2515070140361786,0.3410152196884155,0.14034850895404816,0.13699419796466827
william,0.11286398023366928,0.24349860846996307,0.4507744014263153,0.20738165080547333,0.10188883543014526,0.14462219178676605
ii,0.16962364315986633,0.17836059629917145,0.15759170055389404,0.9999999403953552,0.18554314970970154,0.11928234249353409
of,0.38066378235816956,0.2513895630836487,0.19005732238292694,0.2844806909561157,0.21324244141578674,0.1826142966747284
normandy,0.1915065050125122,0.22076494991779327,0.3086808919906616,0.29836565256118774,0.1160753071308136,0.1584552675485611
conquered,0.169796422123909,0.23394589126110077,0.2121557742357254,0.2587423026561737,0.1542510837316513,0.12499574571847916
england,0.23118865489959717,0.22023706138134003,0.2950466573238373,0.24585837125778198,0.08111383020877838,0.13436897099018097
killing,0.195450559258461,0.1474153697490692,0.10528066009283066,0.1946449875831604,0.3557773232460022,0.13008421659469604
king,0.16932229697704315,0.24472618103027344,0.29070714116096497,0.37517985701560974,0.15104906260967255,0.19130074977874756
harold,0.08251124620437622,0.20691342651844025,0.9999999403953552,0.15759170055389404,0.20820352435112,0.151779443025589
ii,0.16962364315986633,0.17836059629917145,0.15759170055389404,0.9999999403953552,0.18554314970970154,0.11928234249353409
at,0.4402937591075897,0.28390252590179443,0.212118461728096,0.13673481345176697,0.15106260776519775,0.21978627145290375
the,0.5003893971443176,0.34736719727516174,0.21060243248939514,0.2631464898586273,0.2242266982793808,0.22068053483963013
battle,0.13785181939601898,0.12105695903301239,0.19475185871124268,0.2661164104938507,0.17868712544441223,0.1680624783039093
of,0.38066378235816956,0.2513895630836487,0.19005732238292694,0.2844806909561157,0.21324244141578674,0.1826142966747284
hastings,0.1710701286792755,0.14673200249671936,0.385127454996109,0.16742321848869324,0.11113300919532776,0.12590168416500092
.,0.41390106081962585,0.35288307070732117,0.24796979129314423,0.27393630146980286,0.2658497095108032,0.4130953550338745
