,petrologists,identify,rock,samples,in,the,field,and,where,else,?
in,0.2137315720319748,0.1658037155866623,0.19663549959659576,0.13152313232421875,1.0,0.6662389636039734,0.20553018152713776,0.4954058527946472,0.5344807505607605,0.22759012877941132,0.20430970191955566
addition,0.1608925610780716,0.2958311438560486,0.11191338300704956,0.2065897285938263,0.3033084571361542,0.32955414056777954,0.27579742670059204,0.3508087992668152,0.29059985280036926,0.23305504024028778,0.19187232851982117
to,0.23930101096630096,0.3323211371898651,0.22657817602157593,0.19206596910953522,0.45010748505592346,0.535392165184021,0.2647967040538788,0.48971283435821533,0.47735077142715454,0.36551961302757263,0.29463258385658264
identifying,0.31766971945762634,0.8220243453979492,0.14224129915237427,0.2772613763809204,0.166841521859169,0.2894144356250763,0.18060369789600372,0.24908587336540222,0.1949254721403122,0.2465687394142151,0.2562958002090454
rocks,0.35924041271209717,0.17606233060359955,0.5946089029312134,0.39375483989715576,0.23642492294311523,0.24413059651851654,0.14657773077487946,0.29739323258399963,0.24500836431980133,0.12718643248081207,0.17394492030143738
in,0.2137315720319748,0.1658037155866623,0.19663549959659576,0.13152313232421875,1.0,0.6662389636039734,0.20553018152713776,0.4954058527946472,0.5344807505607605,0.22759012877941132,0.20430970191955566
the,0.2966664731502533,0.2653810381889343,0.23786304891109467,0.2069351226091385,0.6662389636039734,1.0,0.2105809599161148,0.5171257257461548,0.5003893971443176,0.19370581209659576,0.22068053483963013
field,0.1580173522233963,0.15769825875759125,0.15209732949733734,0.16005432605743408,0.20553018152713776,0.2105809599161148,1.0,0.26487240195274353,0.1689169704914093,0.2024286836385727,0.11279727518558502
",",0.2381996214389801,0.1614028364419937,0.2775712311267853,0.2364167869091034,0.5201468467712402,0.4933079481124878,0.27645614743232727,0.6633074283599854,0.3149496018886566,0.2643522322177887,0.31091248989105225
petrologists,1.0000001192092896,0.318571001291275,0.2001747339963913,0.23677071928977966,0.2137315720319748,0.2966664731502533,0.1580173522233963,0.19473004341125488,0.21158987283706665,0.16855493187904358,0.2127402275800705
identify,0.318571001291275,1.0,0.13757754862308502,0.2754402160644531,0.1658037155866623,0.2653810381889343,0.15769825875759125,0.2600044310092926,0.22786450386047363,0.22068266570568085,0.20891983807086945
rock,0.2001747339963913,0.13757754862308502,1.0,0.3065677583217621,0.19663549959659576,0.23786304891109467,0.15209732949733734,0.2808155119419098,0.22068782150745392,0.13261471688747406,0.13172835111618042
samples,0.23677071928977966,0.2754402160644531,0.3065677583217621,1.0000001192092896,0.13152313232421875,0.2069351226091385,0.16005432605743408,0.2808810770511627,0.24048613011837006,0.15683966875076294,0.1777840405702591
in,0.2137315720319748,0.1658037155866623,0.19663549959659576,0.13152313232421875,1.0,0.6662389636039734,0.20553018152713776,0.4954058527946472,0.5344807505607605,0.22759012877941132,0.20430970191955566
the,0.2966664731502533,0.2653810381889343,0.23786304891109467,0.2069351226091385,0.6662389636039734,1.0,0.2105809599161148,0.5171257257461548,0.5003893971443176,0.19370581209659576,0.22068053483963013
laboratory,0.28643304109573364,0.19312477111816406,0.09899430721998215,0.3049706816673279,0.2533527612686157,0.19762322306632996,0.2154182493686676,0.22443610429763794,0.24821273982524872,0.12157287448644638,0.07445509731769562
.,0.22133567929267883,0.2023741602897644,0.24835698306560516,0.20069079101085663,0.5591574311256409,0.5934505462646484,0.23224417865276337,0.588965117931366,0.41390106081962585,0.30548352003097534,0.4130953550338745
