,what,is,the,most,common,cause,of,immunodeficiency,in,developing,nations,?
however,0.4480680823326111,0.33769986033439636,0.49814513325691223,0.4937610328197479,0.29794079065322876,0.4096638560295105,0.3800618350505829,0.34207919239997864,0.3982149362564087,0.3850240409374237,0.24234303832054138,0.2152075469493866
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.2497023195028305,0.2546827793121338,0.4946078956127167,0.26120924949645996,0.5201468467712402,0.23282839357852936,0.24394330382347107,0.31091248989105225
malnutrition,0.2853657007217407,0.23728662729263306,0.27412959933280945,0.2498599737882614,0.32785457372665405,0.4440253973007202,0.3347776532173157,0.6013171672821045,0.25296059250831604,0.37672892212867737,0.29676195979118347,0.247996985912323
is,0.28837618231773376,1.0,0.5823672413825989,0.41165053844451904,0.2952355444431305,0.218277707695961,0.4854315221309662,0.25795841217041016,0.5394441485404968,0.22658659517765045,0.19151805341243744,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.2705984115600586,0.2551237642765045,0.733189046382904,0.2426232546567917,0.6662389636039734,0.3203009068965912,0.3506215214729309,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,1.0,0.42714235186576843,0.2901781499385834,0.4178851246833801,0.25626638531684875,0.41416558623313904,0.3437645137310028,0.21323329210281372,0.2107497900724411
common,0.19989867508411407,0.2952355444431305,0.2705984115600586,0.42714235186576843,0.9999998807907104,0.30202189087867737,0.2949881851673126,0.3368278741836548,0.23149342834949493,0.31372568011283875,0.1830063909292221,0.20434872806072235
cause,0.24883218109607697,0.218277707695961,0.2551237642765045,0.2901781499385834,0.30202189087867737,1.0000001192092896,0.25979894399642944,0.47107523679733276,0.24822883307933807,0.24658751487731934,0.20078568160533905,0.240532785654068
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.4178851246833801,0.2949881851673126,0.25979894399642944,1.0,0.23626220226287842,0.5696388483047485,0.27299609780311584,0.27521562576293945,0.1826142966747284
immunodeficiency,0.21925358474254608,0.25795841217041016,0.2426232546567917,0.25626638531684875,0.3368278741836548,0.47107523679733276,0.23626220226287842,1.0000001192092896,0.19726061820983887,0.4183247685432434,0.2828201651573181,0.21612292528152466
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.41416558623313904,0.23149342834949493,0.24822883307933807,0.5696388483047485,0.19726061820983887,1.0,0.2911061644554138,0.259304404258728,0.20430970191955566
developing,0.22094523906707764,0.22658659517765045,0.3203009068965912,0.3437645137310028,0.31372568011283875,0.24658751487731934,0.27299609780311584,0.4183247685432434,0.2911061644554138,1.0,0.3827850818634033,0.1301516592502594
countries,0.22319257259368896,0.254234254360199,0.33290645480155945,0.33387476205825806,0.3351489007472992,0.18796896934509277,0.2800094783306122,0.26572084426879883,0.3027990758419037,0.39340993762016296,0.586427628993988,0.15128466486930847
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.21817955374717712,0.267557293176651,0.5352458953857422,0.2702282965183258,0.5591574311256409,0.2637762427330017,0.2933122515678406,0.4130953550338745
