,what,method,was,used,to,clear,forest,for,crop,cultivation,in,the,amazon,forest,?
farms,0.15934501588344574,0.1347423791885376,0.2108846753835678,0.24025876820087433,0.23402263224124908,0.16573846340179443,0.28169333934783936,0.2245556265115738,0.4330967366695404,0.42553022503852844,0.2572706937789917,0.23249253630638123,0.22989441454410553,0.28169333934783936,0.15135478973388672
established,0.14869536459445953,0.16629138588905334,0.26515325903892517,0.18702277541160583,0.15850777924060822,0.2281164824962616,0.11447636038064957,0.1717284768819809,0.061022184789180756,0.16733118891716003,0.3118882477283478,0.33092597126960754,0.07857820391654968,0.11447636038064957,0.15917523205280304
during,0.24137552082538605,0.18877220153808594,0.4470829963684082,0.2677379846572876,0.2828781306743622,0.1773696392774582,0.181576669216156,0.3448435664176941,0.17248308658599854,0.19505463540554047,0.4627237319946289,0.4838213622570038,0.11170908063650131,0.181576669216156,0.1325719803571701
the,0.42745697498321533,0.21624743938446045,0.48711544275283813,0.3718377649784088,0.535392165184021,0.3209454417228699,0.24134553968906403,0.4739971458911896,0.2355663925409317,0.2445899397134781,0.6662389636039734,1.0,0.260541707277298,0.24134553968906403,0.22068053483963013
1960s,-0.17530474066734314,-0.10380429774522781,-0.029007330536842346,-0.08037429302930832,-0.1955609768629074,-0.16774879395961761,0.12714776396751404,-0.13260865211486816,0.10971275717020035,0.18044854700565338,0.0007937865448184311,-0.06868536025285721,0.07246345281600952,0.12714776396751404,-0.08257022500038147
were,0.22298263013362885,0.13319812715053558,0.590133786201477,0.27636459469795227,0.31913647055625916,0.1849471926689148,0.16531281173229218,0.33592689037323,0.17192186415195465,0.15695050358772278,0.3815755248069763,0.3906462490558624,0.11476065963506699,0.16531281173229218,0.17890112102031708
based,0.274813175201416,0.2111334502696991,0.2870393395423889,0.3212050795555115,0.19629007577896118,0.17628753185272217,0.10086096823215485,0.2761107087135315,0.11870597302913666,0.10718143731355667,0.3070422410964966,0.29860720038414,0.13897626101970673,0.10086096823215485,0.134929820895195
on,0.34226128458976746,0.17949727177619934,0.3909217119216919,0.24785758554935455,0.41031414270401,0.23387739062309265,0.1691717803478241,0.36199691891670227,0.1541566401720047,0.10528554022312164,0.46853652596473694,0.5107308030128479,0.27227091789245605,0.1691717803478241,0.2714994251728058
crop,0.19372086226940155,0.24200239777565002,0.19566300511360168,0.28646981716156006,0.25057145953178406,0.18730182945728302,0.25535908341407776,0.29619625210762024,0.9999999403953552,0.5251161456108093,0.18702246248722076,0.2355663925409317,0.18906447291374207,0.25535908341407776,0.13911081850528717
cultivation,0.17288483679294586,0.2535087764263153,0.1785203218460083,0.23964659869670868,0.22306743264198303,0.2029304802417755,0.24611257016658783,0.24277091026306152,0.5251161456108093,1.0000001192092896,0.2678565979003906,0.2445899397134781,0.22960074245929718,0.24611257016658783,0.1158214882016182
and,0.31309178471565247,0.16907750070095062,0.3740963041782379,0.3150506615638733,0.48971283435821533,0.31630682945251465,0.26268187165260315,0.5064792633056641,0.21712875366210938,0.2758621871471405,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.26268187165260315,0.20544172823429108
the,0.42745697498321533,0.21624743938446045,0.48711544275283813,0.3718377649784088,0.535392165184021,0.3209454417228699,0.24134553968906403,0.4739971458911896,0.2355663925409317,0.2445899397134781,0.6662389636039734,1.0,0.260541707277298,0.24134553968906403,0.22068053483963013
slash,0.2187790721654892,0.16877694427967072,0.049257781356573105,0.2968488037586212,0.19541329145431519,0.17251498997211456,0.11941435188055038,0.22357916831970215,0.16881181299686432,0.1507122814655304,0.08788358420133591,0.1908722221851349,0.1652192920446396,0.11941435188055038,0.23835350573062897
and,0.31309178471565247,0.16907750070095062,0.3740963041782379,0.3150506615638733,0.48971283435821533,0.31630682945251465,0.26268187165260315,0.5064792633056641,0.21712875366210938,0.2758621871471405,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.26268187165260315,0.20544172823429108
burn,0.2116081267595291,0.13788820803165436,0.14776499569416046,0.2483489215373993,0.24271643161773682,0.13782067596912384,0.18304766714572906,0.1854056566953659,0.18874236941337585,0.1377866566181183,0.2184537947177887,0.2292972207069397,0.1149587333202362,0.18304766714572906,0.19727857410907745
method,0.25476205348968506,1.0000001192092896,0.18816342949867249,0.40983709692955017,0.2593044936656952,0.259712815284729,0.16363348066806793,0.2842181324958801,0.24200239777565002,0.2535087764263153,0.13883966207504272,0.21624743938446045,0.1422688215970993,0.16363348066806793,0.2194802314043045
.,0.3567904531955719,0.18224337697029114,0.40146201848983765,0.33111312985420227,0.4645031690597534,0.2668589651584625,0.2418428510427475,0.4726039469242096,0.25998276472091675,0.22821183502674103,0.5591574311256409,0.5934505462646484,0.262887567281723,0.2418428510427475,0.4130953550338745
