,what,are,the,most,active,parts,of,ctenophora,?
these,0.4164220690727234,0.7107698917388916,0.49086877703666687,0.4825916290283203,0.2567748427391052,0.3913958966732025,0.42684608697891235,0.31071728467941284,0.2571668326854706
branch,0.1792319416999817,0.18532468378543854,0.2630956768989563,0.1960706263780594,0.11567515134811401,0.21102307736873627,0.23972897231578827,0.14626024663448334,0.10474635660648346
through,0.23167094588279724,0.2637137472629547,0.44071322679519653,0.22759674489498138,0.16548991203308105,0.2940126359462738,0.3647414743900299,0.11046981066465378,0.16913433372974396
the,0.42745697498321533,0.40399202704429626,1.0,0.47635307908058167,0.2376219779253006,0.4042440354824066,0.733189046382904,0.2430446892976761,0.22068053483963013
mesoglea,0.26560238003730774,0.30138078331947327,0.27500203251838684,0.25166982412338257,0.2555326521396637,0.21973827481269836,0.25529611110687256,0.5378001928329468,0.2904593348503113
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.321603000164032,0.24291767179965973,0.24449384212493896,0.41548454761505127,0.12408250570297241,0.29463258385658264
the,0.42745697498321533,0.40399202704429626,1.0,0.47635307908058167,0.2376219779253006,0.4042440354824066,0.733189046382904,0.2430446892976761,0.22068053483963013
most,0.3219912350177765,0.48698675632476807,0.47635307908058167,1.0,0.28829532861709595,0.35891905426979065,0.4178851246833801,0.23040354251861572,0.2107497900724411
active,0.2610722482204437,0.3039647042751312,0.2376219779253006,0.28829532861709595,0.9999998807907104,0.10263343900442123,0.23132829368114471,0.20669493079185486,0.20374006032943726
parts,0.3415631353855133,0.3642873466014862,0.4042440354824066,0.35891905426979065,0.10263343900442123,1.0,0.3379773199558258,0.1907190978527069,0.12310896813869476
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.4178851246833801,0.23132829368114471,0.3379773199558258,1.0,0.241486594080925,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.47635307908058167,0.2376219779253006,0.4042440354824066,0.733189046382904,0.2430446892976761,0.22068053483963013
animal,0.2420092225074768,0.21151986718177795,0.2502762973308563,0.1560644656419754,0.1841476559638977,0.22460292279720306,0.2429264932870865,0.32932594418525696,0.13991324603557587
:,-0.12022944539785385,-0.1189703419804573,-0.03403344005346298,0.01611955277621746,0.007644976954907179,-0.10714492946863174,-0.08807745575904846,-0.04597845673561096,-0.07156077772378922
the,0.42745697498321533,0.40399202704429626,1.0,0.47635307908058167,0.2376219779253006,0.4042440354824066,0.733189046382904,0.2430446892976761,0.22068053483963013
mouth,0.18337541818618774,0.20501531660556793,0.3073960244655609,0.18959729373455048,0.1043572723865509,0.24724605679512024,0.2183857262134552,0.21993492543697357,0.21761061251163483
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.4309377074241638,0.264642596244812,0.3901200294494629,0.5116966962814331,0.15281255543231964,0.20544172823429108
pharynx,0.24592235684394836,0.3156546354293823,0.3495643436908722,0.19211092591285706,0.15409308671951294,0.30019086599349976,0.2555832862854004,0.46323657035827637,0.19402775168418884
;,0.10986888408660889,0.15315808355808258,0.09152708947658539,0.09552082419395447,0.11720061302185059,0.13548462092876434,0.054534342139959335,0.06274223327636719,0.10349778085947037
the,0.42745697498321533,0.40399202704429626,1.0,0.47635307908058167,0.2376219779253006,0.4042440354824066,0.733189046382904,0.2430446892976761,0.22068053483963013
roots,0.1585880070924759,0.25801679491996765,0.2583441734313965,0.22554883360862732,0.09037844091653824,0.254073828458786,0.19995063543319702,0.3066578209400177,0.09478887915611267
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.4178851246833801,0.23132829368114471,0.3379773199558258,1.0,0.241486594080925,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.47635307908058167,0.2376219779253006,0.4042440354824066,0.733189046382904,0.2430446892976761,0.22068053483963013
tentacles,0.17259258031845093,0.3209848701953888,0.24109509587287903,0.24815836548805237,0.21655979752540588,0.20068643987178802,0.21750880777835846,0.5346735119819641,0.15145425498485565
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3636029064655304,0.2681531608104706,0.2964099943637848,0.4946078956127167,0.20480060577392578,0.31091248989105225
if,0.5277165174484253,0.32547882199287415,0.33724796772003174,0.2885936200618744,0.26625990867614746,0.2495129108428955,0.2557544410228729,0.2191758155822754,0.4441644251346588
present,0.30940163135528564,0.20985287427902222,0.2829846143722534,0.18883636593818665,0.2825517952442169,0.2057933807373047,0.3116828501224518,0.21078327298164368,0.21759982407093048
;,0.10986888408660889,0.15315808355808258,0.09152708947658539,0.09552082419395447,0.11720061302185059,0.13548462092876434,0.054534342139959335,0.06274223327636719,0.10349778085947037
all,0.41981086134910583,0.5343062281608582,0.4860881567001343,0.5116150975227356,0.20880314707756042,0.3043588101863861,0.42798417806625366,0.21237586438655853,0.29575422406196594
along,0.22421957552433014,0.28655800223350525,0.39495137333869934,0.2380090206861496,0.14972512423992157,0.2839874029159546,0.34889817237854004,0.12428057938814163,0.17134909331798553
the,0.42745697498321533,0.40399202704429626,1.0,0.47635307908058167,0.2376219779253006,0.4042440354824066,0.733189046382904,0.2430446892976761,0.22068053483963013
underside,0.25625795125961304,0.3373335003852844,0.32438990473747253,0.22430869936943054,0.17937101423740387,0.27352070808410645,0.2427576333284378,0.491908997297287,0.17449794709682465
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.4178851246833801,0.23132829368114471,0.3379773199558258,1.0,0.241486594080925,0.1826142966747284
each,0.3353266417980194,0.39730963110923767,0.470844566822052,0.2952626943588257,0.16169577836990356,0.3073374629020691,0.38460010290145874,0.19654391705989838,0.21173812448978424
comb,0.20374168455600739,0.29309141635894775,0.24626436829566956,0.23593203723430634,0.1457372009754181,0.271255761384964,0.2681940495967865,0.41990113258361816,0.2510223686695099
row,0.19005049765110016,0.1476336270570755,0.20418651401996613,0.11369922012090683,0.12608756124973297,0.05244772881269455,0.15142002701759338,0.20284011960029602,0.11000081151723862
