,what,were,tesla,'s,mother,'s,special,abilities,?
tesla,0.23221199214458466,0.1222306564450264,0.9999999403953552,0.06449045985937119,0.0837036594748497,0.06449045985937119,0.15585826337337494,0.22979404032230377,0.10250775516033173
's,0.02692362666130066,0.007088581565767527,0.06449045985937119,0.9999999403953552,0.03889143466949463,0.9999999403953552,-0.03405539691448212,0.019947443157434464,-0.023395681753754616
mother,0.20282095670700073,0.1663302332162857,0.0837036594748497,0.03889143466949463,1.0,0.03889143466949463,0.13671138882637024,0.13847516477108002,0.15180644392967224
",",0.3087472915649414,0.36755475401878357,0.20599327981472015,-0.0016132977325469255,0.30403390526771545,-0.0016132977325469255,0.23880577087402344,0.23715245723724365,0.31091248989105225
đuka,0.12844999134540558,0.16778145730495453,0.3548438251018524,-0.04315226525068283,0.18955747783184052,-0.04315226525068283,0.21250379085540771,0.21645289659500122,0.09384949505329132
tesla,0.23221199214458466,0.1222306564450264,0.9999999403953552,0.06449045985937119,0.0837036594748497,0.06449045985937119,0.15585826337337494,0.22979404032230377,0.10250775516033173
(,0.2411840260028839,0.14743882417678833,0.2156914919614792,0.0012731997994706035,0.21272562444210052,0.0012731997994706035,0.1810780167579651,0.1597454845905304,0.40561532974243164
née,0.10643918067216873,0.16244907677173615,0.11590089648962021,0.014581953175365925,0.4823715388774872,0.014581953175365925,0.05967279523611069,0.07695178687572479,0.16017700731754303
mandić,0.1739497184753418,0.1768990159034729,0.286675363779068,0.1037994772195816,0.26710641384124756,0.1037994772195816,0.14300501346588135,0.19400717318058014,0.16722726821899414
),0.26259949803352356,0.1566188633441925,0.22692398726940155,0.021107977256178856,0.21775713562965393,0.021107977256178856,0.207723930478096,0.14879612624645233,0.42300865054130554
",",0.3087472915649414,0.36755475401878357,0.20599327981472015,-0.0016132977325469255,0.30403390526771545,-0.0016132977325469255,0.23880577087402344,0.23715245723724365,0.31091248989105225
whose,0.22831642627716064,0.20901553332805634,0.17088600993156433,-0.019954677671194077,0.2667029798030853,-0.019954677671194077,0.1298334151506424,0.21852479875087738,0.16990536451339722
father,0.21527598798274994,0.20441938936710358,0.08892767131328583,0.029256420210003853,0.7780900001525879,0.029256420210003853,0.16239745914936066,0.16182896494865417,0.14826634526252747
was,0.22111038863658905,0.590133786201477,0.16455206274986267,0.008974763564765453,0.28349727392196655,0.008974763564765453,0.1585642695426941,0.10184995085000992,0.18412111699581146
also,0.42747777700424194,0.31877249479293823,0.16213464736938477,-0.0014726108638569713,0.3031139075756073,-0.0014726108638569713,0.34527871012687683,0.2811071276664734,0.21848613023757935
an,0.2821882665157318,0.08893381804227829,0.13714656233787537,0.025255560874938965,0.12154863774776459,0.025255560874938965,0.19840748608112335,0.18085846304893494,0.19793890416622162
orthodox,0.21725283563137054,0.18165969848632812,0.2568820118904114,0.030631132423877716,0.2047746479511261,0.030631132423877716,0.1256934255361557,0.15068946778774261,0.20826838910579681
priest,0.1868823766708374,0.17213796079158783,0.1718987375497818,-0.005394737236201763,0.24456992745399475,-0.005394737236201763,0.16777625679969788,0.0727165937423706,0.1474698781967163
",",0.3087472915649414,0.36755475401878357,0.20599327981472015,-0.0016132977325469255,0.30403390526771545,-0.0016132977325469255,0.23880577087402344,0.23715245723724365,0.31091248989105225
:10,0.11829477548599243,0.25053390860557556,-0.0881764143705368,0.0748058632016182,0.09319067746400833,0.0748058632016182,0.1275240033864975,0.08656062930822372,0.02304980531334877
had,0.23849567770957947,0.6150832772254944,0.12050733715295792,-0.004401352722197771,0.21339581906795502,-0.004401352722197771,0.20414842665195465,0.26653045415878296,0.20728366076946259
a,0.3320399522781372,0.17203083634376526,0.2211925983428955,0.04866964742541313,0.2082238644361496,0.04866964742541313,0.31333932280540466,0.21074023842811584,0.23916715383529663
talent,0.20876705646514893,0.18125927448272705,0.2182157337665558,0.06876829266548157,0.2634180188179016,0.06876829266548157,0.24244645237922668,0.30965903401374817,0.16550226509571075
for,0.3017193675041199,0.33592689037323,0.13983871042728424,-0.07241261005401611,0.15797074139118195,-0.07241261005401611,0.311454176902771,0.28076139092445374,0.264628142118454
making,0.30777570605278015,0.2804111838340759,0.18178114295005798,0.043641600757837296,0.15505312383174896,0.043641600757837296,0.2218165397644043,0.21421413123607635,0.2539324164390564
home,0.1608789712190628,0.20982490479946136,0.03651725873351097,0.07170099765062332,0.31207311153411865,0.07170099765062332,0.1197727844119072,0.17300200462341309,0.0757145956158638
craft,0.19500882923603058,0.14919739961624146,0.1785394698381424,0.06482605636119843,0.16315370798110962,0.06482605636119843,0.1499050110578537,0.19037377834320068,0.1354445517063141
tools,0.3442733585834503,0.22015118598937988,0.23483791947364807,-0.004947378300130367,0.060514114797115326,-0.004947378300130367,0.22190846502780914,0.41528522968292236,0.30193743109703064
",",0.3087472915649414,0.36755475401878357,0.20599327981472015,-0.0016132977325469255,0.30403390526771545,-0.0016132977325469255,0.23880577087402344,0.23715245723724365,0.31091248989105225
mechanical,0.22318285703659058,0.19617074728012085,0.399202823638916,0.021431105211377144,0.12650015950202942,0.021431105211377144,0.23060660064220428,0.22191978991031647,0.10079140216112137
