,what,university,alumni,member,was,known,for,his,work,on,portfolio,theory,?
in,0.30808621644973755,0.3201795518398285,0.2126772403717041,0.20856694877147675,0.45514053106307983,0.32641831040382385,0.4322226941585541,0.3598145842552185,0.2753349542617798,0.46853652596473694,0.13506969809532166,0.16955126821994781,0.20430970191955566
economics,0.21107932925224304,0.40750834345817566,0.3199693262577057,0.1826891303062439,0.19349418580532074,0.07803112268447876,0.1639772355556488,0.1762314885854721,0.2469312697649002,0.16038855910301208,0.3662874698638916,0.43501994013786316,0.15849412977695465
",",0.3087472915649414,0.3017033040523529,0.2394251972436905,0.25757819414138794,0.45456063747406006,0.3604377806186676,0.4464869201183319,0.3378419280052185,0.3283594250679016,0.49057599902153015,0.20413532853126526,0.18095813691616058,0.31091248989105225
notable,0.31026893854141235,0.11267898231744766,0.3171335458755493,0.19803045690059662,0.175777867436409,0.3208778202533722,0.2551795244216919,0.17303511500358582,0.22884590923786163,0.23883786797523499,0.13757024705410004,0.14109297096729279,0.31928157806396484
nobel,0.20388969779014587,0.2923794984817505,0.27874937653541565,0.18105469644069672,0.2319665551185608,0.17574651539325714,0.2427167296409607,0.16841945052146912,0.32679423689842224,0.18425551056861877,0.2983693480491638,0.25783056020736694,0.15008176863193512
memorial,0.1440839022397995,0.27508124709129333,0.19591858983039856,0.16269847750663757,0.23419618606567383,0.13623175024986267,0.25400492548942566,0.2046869546175003,0.13317036628723145,0.204596146941185,0.0745372325181961,0.11447498202323914,0.13306879997253418
prize,0.1654435694217682,0.2631310522556305,0.2634023427963257,0.2029264271259308,0.2402031123638153,0.1670219898223877,0.2797470688819885,0.22685010731220245,0.31835293769836426,0.1964096873998642,0.2849307954311371,0.2373799979686737,0.14158497750759125
in,0.30808621644973755,0.3201795518398285,0.2126772403717041,0.20856694877147675,0.45514053106307983,0.32641831040382385,0.4322226941585541,0.3598145842552185,0.2753349542617798,0.46853652596473694,0.13506969809532166,0.16955126821994781,0.20430970191955566
economic,0.18082544207572937,0.24439695477485657,0.20821726322174072,0.162232905626297,0.1954469084739685,0.11629857122898102,0.24368955194950104,0.1560245305299759,0.19953106343746185,0.20757777988910675,0.3161529302597046,0.34065425395965576,0.1206481084227562
sciences,0.19191189110279083,0.4868379533290863,0.3644491732120514,0.2373981922864914,0.2423371970653534,0.1282271444797516,0.2285587340593338,0.21321937441825867,0.23381224274635315,0.21255163848400116,0.2792685329914093,0.354566752910614,0.15002119541168213
winners,0.1654965877532959,0.18199288845062256,0.34019914269447327,0.20755580067634583,0.16003543138504028,0.13982728123664856,0.2511054575443268,0.17169803380966187,0.17168843746185303,0.17238250374794006,0.24500204622745514,0.14868484437465668,0.18557973206043243
milton,0.19606824219226837,0.24029110372066498,0.16602693498134613,0.12600064277648926,0.2417294830083847,0.13534820079803467,0.14656542241573334,0.24390065670013428,0.15636062622070312,0.19106370210647583,0.20691055059432983,0.21433982253074646,0.1688244491815567
friedman,0.22975663840770721,0.3124261796474457,0.19809184968471527,0.09580820798873901,0.24556152522563934,0.18602266907691956,0.16019240021705627,0.3071686923503876,0.21657556295394897,0.18516673147678375,0.21201102435588837,0.32788875699043274,0.26901862025260925
",",0.3087472915649414,0.3017033040523529,0.2394251972436905,0.25757819414138794,0.45456063747406006,0.3604377806186676,0.4464869201183319,0.3378419280052185,0.3283594250679016,0.49057599902153015,0.20413532853126526,0.18095813691616058,0.31091248989105225
a,0.3320399522781372,0.20256656408309937,0.15357637405395508,0.24081070721149445,0.4508470594882965,0.30882248282432556,0.44038116931915283,0.3497250974178314,0.266241192817688,0.3848365545272827,0.18568558990955353,0.2233850657939911,0.23916715383529663
major,0.21026742458343506,0.167424276471138,0.08908405900001526,0.1431201547384262,0.20676274597644806,0.21361513435840607,0.23592928051948547,0.17332184314727783,0.1532536894083023,0.21282386779785156,0.1946309208869934,0.18956860899925232,0.19788557291030884
