,what,publication,published,an,article,about,tesla,in,1912,?
:162–164,0.07456074655056,0.055226266384124756,0.12962816655635834,0.030566217377781868,0.01954413205385208,0.11744499951601028,-0.012245643883943558,0.16503185033798218,0.11100516468286514,0.052450794726610184
in,0.30808621644973755,0.2110367715358734,0.26697060465812683,0.2605783939361572,0.26153311133384705,0.39797019958496094,0.17097744345664978,1.0,0.392646461725235,0.20430970191955566
february,0.1913013905286789,0.22927972674369812,0.1863275170326233,0.27880921959877014,0.3270640969276428,0.16403432190418243,0.1285248100757599,0.2990526556968689,0.34195199608802795,0.29594847559928894
1912,0.12325803935527802,0.05094116926193237,0.06311138719320297,0.27988550066947937,0.15332411229610443,0.20283569395542145,0.15789027512073517,0.392646461725235,1.0,0.13778282701969147
",",0.3087472915649414,0.2531280815601349,0.2937801778316498,0.3581022024154663,0.28605279326438904,0.3877100944519043,0.20599327981472015,0.5201468467712402,0.40148648619651794,0.31091248989105225
an,0.2821882665157318,0.13516660034656525,0.11590567231178284,1.0,0.2350708693265915,0.2700941264629364,0.13714656233787537,0.2605783939361572,0.27988550066947937,0.19793890416622162
article—,0.34970834851264954,0.35813817381858826,0.24426566064357758,0.21036219596862793,0.9114897847175598,0.31848496198654175,0.1722312718629837,0.23515020310878754,0.12840740382671356,0.48676079511642456
'',0.08143015950918198,-0.00846774410456419,0.013779557310044765,0.09471100568771362,0.08483149111270905,0.007750829216092825,0.048713020980358124,0.07432962208986282,-0.015732252970337868,0.018684765323996544
nikola,0.1137276440858841,0.1170574426651001,0.16614295542240143,0.15442216396331787,0.09349536895751953,0.12285114079713821,0.5656248331069946,0.11547333002090454,0.2211490124464035,0.06297405064105988
tesla,0.23221199214458466,0.09171656519174576,0.16719935834407806,0.13714656233787537,0.14590303599834442,0.16756023466587067,0.9999999403953552,0.17097744345664978,0.15789027512073517,0.10250775516033173
",",0.3087472915649414,0.2531280815601349,0.2937801778316498,0.3581022024154663,0.28605279326438904,0.3877100944519043,0.20599327981472015,0.5201468467712402,0.40148648619651794,0.31091248989105225
dreamer,0.2692188322544098,0.09958027303218842,0.2060956358909607,0.18059296905994415,0.184133380651474,0.20689471065998077,0.18390393257141113,0.16398274898529053,0.0988961011171341,0.1397673636674881
'',0.08143015950918198,-0.00846774410456419,0.013779557310044765,0.09471100568771362,0.08483149111270905,0.007750829216092825,0.048713020980358124,0.07432962208986282,-0.015732252970337868,0.018684765323996544
by,0.2455483376979828,0.2610563039779663,0.32986849546432495,0.2719563841819763,0.22247393429279327,0.30091190338134766,0.16513796150684357,0.370934396982193,0.17050644755363464,0.17966607213020325
allan,0.08690010011196136,0.17811551690101624,0.25133270025253296,0.1262415498495102,0.12314765900373459,0.13550178706645966,0.1326950639486313,0.1508251428604126,0.11146169900894165,0.054300665855407715
l.,0.11054152995347977,0.11864398419857025,0.02989947982132435,0.016330517828464508,0.06194058433175087,-0.038781337440013885,0.10275214910507202,0.06709589809179306,0.028250139206647873,0.05018472298979759
benson—was,0.22374513745307922,0.19720394909381866,0.19337110221385956,0.2500024735927582,0.228114053606987,0.2062990963459015,0.22180308401584625,0.3032037913799286,0.28750181198120117,0.25107342004776
published,0.20457668602466583,0.6172669529914856,1.0,0.11590567231178284,0.2783300280570984,0.2554853856563568,0.16719935834407806,0.26697060465812683,0.06311138719320297,0.16280238330364227
in,0.30808621644973755,0.2110367715358734,0.26697060465812683,0.2605783939361572,0.26153311133384705,0.39797019958496094,0.17097744345664978,1.0,0.392646461725235,0.20430970191955566
world,0.21669597923755646,0.22378085553646088,0.20154093205928802,0.15716314315795898,0.2063995599746704,0.2208109200000763,0.15619845688343048,0.3038199245929718,0.19623255729675293,0.17579582333564758
today,0.3814660608768463,0.16068962216377258,0.15339908003807068,0.1628762036561966,0.24756570160388947,0.31400519609451294,0.23937693238258362,0.3300545811653137,0.25481823086738586,0.17338968813419342
