,when,did,the,series,of,strikes,happen,?
despite,0.2876652181148529,0.38115930557250977,0.3172689974308014,0.2077171802520752,0.33505672216415405,0.20423360168933868,0.23016062378883362,0.14350546896457672
being,0.47212454676628113,0.27905046939849854,0.419739305973053,0.21262982487678528,0.34885138273239136,0.2655481696128845,0.2447119951248169,0.26743772625923157
relatively,0.37015649676322937,0.19489876925945282,0.33481109142303467,0.12807798385620117,0.2916591167449951,0.21450217068195343,0.2157854288816452,0.1281091868877411
unaffected,0.3763713538646698,0.26944148540496826,0.3262263238430023,0.15768472850322723,0.3325270116329193,0.2629909813404083,0.4300338923931122,0.23165734112262726
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.267352432012558,0.3646814823150635,0.17802397906780243,0.1462005227804184,0.17966607213020325
the,0.5091903209686279,0.34736719727516174,1.0,0.31376904249191284,0.733189046382904,0.24908365309238434,0.2880464494228363,0.22068053483963013
embargo,0.21684038639068604,0.14320364594459534,0.2032013237476349,0.0960199385881424,0.15861348807811737,0.2662884294986725,0.21614019572734833,0.21724076569080353
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.24060699343681335,0.4946078956127167,0.26233139634132385,0.25441640615463257,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.31376904249191284,0.733189046382904,0.24908365309238434,0.2880464494228363,0.22068053483963013
uk,0.13155107200145721,0.128135547041893,0.2143084555864334,0.17710000276565552,0.21513383090496063,0.16119283437728882,0.09050888568162918,0.20222434401512146
nonetheless,0.3432028591632843,0.3448185622692108,0.3056115508079529,0.13231219351291656,0.2506859302520752,0.1379559338092804,0.25346800684928894,0.22137337923049927
faced,0.19686807692050934,0.2337440401315689,0.29245710372924805,0.22318823635578156,0.2725057005882263,0.25195005536079407,0.23791778087615967,0.12312540411949158
an,0.33026179671287537,0.22598257660865784,0.4207492768764496,0.16255386173725128,0.32280945777893066,0.19814102351665497,0.2145266830921173,0.19793890416622162
oil,0.2048342078924179,0.10956666618585587,0.21849922835826874,0.12664414942264557,0.22900764644145966,0.129062220454216,0.16039352118968964,0.14867261052131653
crisis,0.24111725389957428,0.12736287713050842,0.263981431722641,0.16721586883068085,0.2267792969942093,0.25769713521003723,0.2505631446838379,0.17902959883213043
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.22268271446228027,1.0,0.22509318590164185,0.23650258779525757,0.1826142966747284
