,when,was,the,second,oil,crisis,?
it,0.4775012135505676,0.4577186405658722,0.6251175999641418,0.2881217300891876,0.21307015419006348,0.17909592390060425,0.25732165575027466
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.3858029544353485,0.15102124214172363,0.20050278306007385,0.18412111699581146
later,0.4627884030342102,0.5684447288513184,0.4060266613960266,0.28316739201545715,0.12469548732042313,0.18238480389118195,0.1417175978422165
called,0.39188069105148315,0.33927658200263977,0.489897221326828,0.3223951756954193,0.17283986508846283,0.20549331605434418,0.18963319063186646
the,0.5091903209686279,0.48711544275283813,1.0,0.4620301127433777,0.21849922835826874,0.263981431722641,0.22068053483963013
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,0.07228557765483856,0.022594861686229706,0.0945596694946289,0.0685480609536171
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,0.6953977942466736,0.11076387017965317,0.1638687551021576,0.18701928853988647
oil,0.2048342078924179,0.15102124214172363,0.21849922835826874,0.05124595761299133,1.0,0.2694509029388428,0.14867261052131653
shock,0.31233513355255127,0.13138620555400848,0.2312299907207489,0.20267795026302338,0.17769302427768707,0.2764783203601837,0.19073565304279327
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,-0.06889788806438446,0.12877920269966125,0.016355004161596298,0.018684765323996544
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.29927265644073486,0.20043784379959106,0.18660308420658112,0.31091248989105225
followed,0.2927686870098114,0.2845839560031891,0.3567860722541809,0.25519314408302307,0.08118457347154617,0.1727517694234848,0.20567169785499573
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.2977677285671234,0.20634248852729797,0.1594943255186081,0.17966607213020325
the,0.5091903209686279,0.48711544275283813,1.0,0.4620301127433777,0.21849922835826874,0.263981431722641,0.22068053483963013
1979,0.20640838146209717,0.1920030564069748,0.3323744237422943,0.11127514392137527,0.10878642648458481,0.031721796840429306,0.09159877151250839
oil,0.2048342078924179,0.15102124214172363,0.21849922835826874,0.05124595761299133,1.0,0.2694509029388428,0.14867261052131653
crisis,0.24111725389957428,0.20050278306007385,0.263981431722641,0.15904514491558075,0.2694509029388428,1.0,0.17902959883213043
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.29927265644073486,0.20043784379959106,0.18660308420658112,0.31091248989105225
termed,0.23236408829689026,0.19667211174964905,0.26657095551490784,0.17172423005104065,0.10571694374084473,0.1421666294336319,0.08721713721752167
the,0.5091903209686279,0.48711544275283813,1.0,0.4620301127433777,0.21849922835826874,0.263981431722641,0.22068053483963013
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,0.07228557765483856,0.022594861686229706,0.0945596694946289,0.0685480609536171
second,0.28561660647392273,0.3858029544353485,0.4620301127433777,1.0,0.05124595761299133,0.15904514491558075,0.17239587008953094
oil,0.2048342078924179,0.15102124214172363,0.21849922835826874,0.05124595761299133,1.0,0.2694509029388428,0.14867261052131653
shock,0.31233513355255127,0.13138620555400848,0.2312299907207489,0.20267795026302338,0.17769302427768707,0.2764783203601837,0.19073565304279327
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.346034437417984,0.22117017209529877,0.15965543687343597,0.4130953550338745
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,-0.06889788806438446,0.12877920269966125,0.016355004161596298,0.018684765323996544
