,when,was,the,outbreak,of,world,war,i,?
at,0.38876327872276306,0.36707764863967896,0.457212895154953,0.1322581022977829,0.42558613419532776,0.22825311124324799,0.23910050094127655,0.21474871039390564,0.21978627145290375
the,0.5091903209686279,0.48711544275283813,1.0,0.28401845693588257,0.733189046382904,0.33604270219802856,0.366199791431427,0.26687872409820557,0.22068053483963013
outbreak,0.26577407121658325,0.27254146337509155,0.28401845693588257,1.0,0.22559921443462372,0.28652796149253845,0.4365309774875641,0.23718465864658356,0.1898726373910904
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.22559921443462372,1.0,0.2828933000564575,0.31680163741111755,0.25849398970603943,0.1826142966747284
world,0.23794586956501007,0.3097524344921112,0.33604270219802856,0.28652796149253845,0.2828933000564575,1.0000001192092896,0.4748530089855194,0.17250654101371765,0.17579582333564758
war,0.26339730620384216,0.3560331463813782,0.366199791431427,0.4365309774875641,0.31680163741111755,0.4748530089855194,1.0000001192092896,0.261459082365036,0.15510529279708862
i,0.33498305082321167,0.23566235601902008,0.26687872409820557,0.23718465864658356,0.25849398970603943,0.17250654101371765,0.261459082365036,0.9999999403953552,0.4695145785808563
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.27757999300956726,0.5696388483047485,0.3038199245929718,0.29904094338417053,0.22907796502113342,0.20430970191955566
august,0.2603156566619873,0.42620858550071716,0.22689028084278107,0.2298765331506729,0.1712995171546936,0.1758129894733429,0.2298119217157364,0.2768499553203583,0.3006744682788849
1914,0.08534853160381317,-0.00012045619951095432,0.04474614933133125,0.08146299421787262,0.08154571056365967,-0.012418808415532112,-0.021159591153264046,0.15294218063354492,0.14893388748168945
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2250508964061737,0.4946078956127167,0.26091980934143066,0.2671184241771698,0.3467482030391693,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,1.0,0.28401845693588257,0.733189046382904,0.33604270219802856,0.366199791431427,0.26687872409820557,0.22068053483963013
governors,0.1595437377691269,0.21350792050361633,0.26603612303733826,0.15925636887550354,0.29726311564445496,0.16685356199741364,0.2199464589357376,0.19850334525108337,0.14528851211071014
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.22559921443462372,1.0,0.2828933000564575,0.31680163741111755,0.25849398970603943,0.1826142966747284
british,0.1642608791589737,0.31934812664985657,0.28973397612571716,0.16735509037971497,0.23701532185077667,0.26561254262924194,0.3060368299484253,0.09468797594308853,0.09711728990077972
east,0.23069076240062714,0.2747166156768799,0.3383176326751709,0.2256900668144226,0.314786434173584,0.21572157740592957,0.22799614071846008,0.13893628120422363,0.10070597380399704
africa,0.18735390901565552,0.1945687234401703,0.2903064787387848,0.2878889739513397,0.2694264054298401,0.35418665409088135,0.2244902402162552,0.1107083112001419,0.12926554679870605
