,sleep,hormones,shift,the,cytokine,balance,to,which,cytokine,?
in,0.23918524384498596,0.2270275205373764,0.17035029828548431,0.6662389636039734,0.2375919669866562,0.1693015992641449,0.45010748505592346,0.4840516746044159,0.2375919669866562,0.20430970191955566
addition,0.11005724221467972,0.22659942507743835,0.20158740878105164,0.32955414056777954,0.27482178807258606,0.330059289932251,0.29394859075546265,0.38366198539733887,0.27482178807258606,0.19187232851982117
to,0.22335325181484222,0.25030994415283203,0.23390066623687744,0.535392165184021,0.212319478392601,0.2728893756866455,1.0,0.5345056653022766,0.212319478392601,0.29463258385658264
these,0.2428281158208847,0.3753727674484253,0.1680718958377838,0.49086877703666687,0.3114970624446869,0.26563552021980286,0.46852558851242065,0.5959210991859436,0.3114970624446869,0.2571668326854706
effects,0.28045207262039185,0.3798522651195526,0.2779807448387146,0.25316479802131653,0.37713465094566345,0.35323092341423035,0.2419324368238449,0.2828926146030426,0.37713465094566345,0.16749060153961182
",",0.22850069403648376,0.20446665585041046,0.17336823046207428,0.4933079481124878,0.18891043961048126,0.2039237916469574,0.44245919585227966,0.3658004403114319,0.18891043961048126,0.31091248989105225
the,0.20454104244709015,0.2688761353492737,0.20870792865753174,1.0,0.27381086349487305,0.2858610153198242,0.535392165184021,0.6521818041801453,0.27381086349487305,0.22068053483963013
milieu,0.12635141611099243,0.1901864856481552,0.09692488610744476,0.2414262890815735,0.23245759308338165,0.14538802206516266,0.21518391370773315,0.17867451906204224,0.23245759308338165,0.16301631927490234
of,0.20480428636074066,0.23877643048763275,0.12892109155654907,0.733189046382904,0.22686471045017242,0.2267034351825714,0.41548454761505127,0.5011631846427917,0.22686471045017242,0.1826142966747284
hormones,0.29352644085884094,1.0,0.12702099978923798,0.2688761353492737,0.6060170531272888,0.2922115921974182,0.25030994415283203,0.3068750500679016,0.6060170531272888,0.17588594555854797
produced,0.06130586564540863,0.2488292157649994,0.0927305519580841,0.22045251727104187,0.27961382269859314,0.13702033460140228,0.16305041313171387,0.36149924993515015,0.27961382269859314,0.1623450517654419
at,0.22943919897079468,0.11068273335695267,0.18937994539737701,0.457212895154953,0.14507517218589783,0.15549515187740326,0.36524343490600586,0.3286694884300232,0.14507517218589783,0.21978627145290375
this,0.20745596289634705,0.2737180292606354,0.2451898604631424,0.6274310946464539,0.3265884816646576,0.301003634929657,0.5759071707725525,0.6719430088996887,0.3265884816646576,0.3155723512172699
time,0.2873101532459259,0.21237178146839142,0.25981923937797546,0.43061500787734985,0.2123686522245407,0.22519470751285553,0.3679993152618408,0.325231671333313,0.2123686522245407,0.27391523122787476
(,0.23403185606002808,0.18426762521266937,0.21885868906974792,0.33289089798927307,0.17441366612911224,0.16464193165302277,0.30882009863853455,0.2589828372001648,0.17441366612911224,0.40561532974243164
leptin,0.3326634168624878,0.4667871296405792,0.24883130192756653,0.23192091286182404,0.46467727422714233,0.16780038177967072,0.18806013464927673,0.2945621609687805,0.46467727422714233,0.16448387503623962
",",0.22850069403648376,0.20446665585041046,0.17336823046207428,0.4933079481124878,0.18891043961048126,0.2039237916469574,0.44245919585227966,0.3658004403114319,0.18891043961048126,0.31091248989105225
pituitary,0.35180234909057617,0.6829588413238525,0.20271627604961395,0.30440372228622437,0.6508194208145142,0.3299484848976135,0.23459945619106293,0.36869287490844727,0.6508194208145142,0.1803831309080124
growth,0.2696978449821472,0.40616151690483093,0.22172284126281738,0.2912366986274719,0.35218095779418945,0.2763849198818207,0.2701800763607025,0.32359230518341064,0.35218095779418945,0.07547862827777863
hormone,0.2830924391746521,0.9439293146133423,0.1333242654800415,0.22626186907291412,0.6164764165878296,0.2612895667552948,0.190473273396492,0.24377769231796265,0.6164764165878296,0.1590825915336609
",",0.22850069403648376,0.20446665585041046,0.17336823046207428,0.4933079481124878,0.18891043961048126,0.2039237916469574,0.44245919585227966,0.3658004403114319,0.18891043961048126,0.31091248989105225
and,0.2224324643611908,0.28229668736457825,0.14999838173389435,0.5171257257461548,0.22723272442817688,0.2617957592010498,0.48971283435821533,0.506277859210968,0.22723272442817688,0.20544172823429108
prolactin,0.20185865461826324,0.6063260436058044,0.2684859335422516,0.22276784479618073,0.6222521066665649,0.27815482020378113,0.16054849326610565,0.3077370822429657,0.6222521066665649,0.20859268307685852
),0.2250489443540573,0.17945821583271027,0.18245014548301697,0.3456730246543884,0.16711731255054474,0.1595277190208435,0.31236231327056885,0.2758678197860718,0.16711731255054474,0.42300865054130554
support,0.17291849851608276,0.16733621060848236,0.17451897263526917,0.22984638810157776,0.18559148907661438,0.24145419895648956,0.2742273211479187,0.21665282547473907,0.18559148907661438,0.22626608610153198
the,0.20454104244709015,0.2688761353492737,0.20870792865753174,1.0,0.27381086349487305,0.2858610153198242,0.535392165184021,0.6521818041801453,0.27381086349487305,0.22068053483963013
interactions,0.2566445469856262,0.33145108819007874,0.2754453122615814,0.24155202507972717,0.4032394587993622,0.351805716753006,0.24682006239891052,0.3650512099266052,0.4032394587993622,0.21664206683635712
