,how,far,did,the,second,block,",",as-202,",",travel,downrange,in,km,?
the,0.33890387415885925,0.38564538955688477,0.34736719727516174,1.0,0.4620301127433777,0.20056472718715668,0.4933079481124878,0.13330699503421783,0.4933079481124878,0.2857808768749237,0.3940010964870453,0.6662389636039734,0.21376769244670868,0.22068053483963013
second,0.16459402441978455,0.24077096581459045,0.20727969706058502,0.4620301127433777,1.0,0.15201891958713531,0.29927265644073486,0.09493079781532288,0.29927265644073486,0.15209774672985077,0.2005048543214798,0.34510284662246704,0.19556201994419098,0.17239587008953094
",",0.22659391164779663,0.346853643655777,0.3015086054801941,0.4933079481124878,0.29927265644073486,0.24290941655635834,1.0000001192092896,0.1340581774711609,1.0000001192092896,0.2159072756767273,0.4069873094558716,0.5201468467712402,0.2232249528169632,0.31091248989105225
as-202,0.11300159990787506,0.11427760869264603,0.1039481982588768,0.13330699503421783,0.09493079781532288,0.04488731548190117,0.1340581774711609,1.0,0.1340581774711609,0.09495946764945984,0.07720992714166641,0.06879657506942749,0.02763221226632595,0.19678498804569244
on,0.32655060291290283,0.30512481927871704,0.2670976221561432,0.5107308030128479,0.26659107208251953,0.27317050099372864,0.49057599902153015,0.11298602819442749,0.49057599902153015,0.22256895899772644,0.3730999231338501,0.46853652596473694,0.169756218791008,0.2714994251728058
august,0.13369344174861908,0.24288207292556763,0.26378265023231506,0.22689028084278107,0.2375936210155487,0.16666537523269653,0.4532424807548523,0.10916473716497421,0.4532424807548523,0.11447247117757797,0.20611119270324707,0.24307909607887268,0.23801946640014648,0.3006744682788849
25,0.07429084926843643,0.05224651098251343,0.19968153536319733,0.1671934723854065,0.1711370050907135,0.16878686845302582,0.08225981146097183,0.12402081489562988,0.08225981146097183,0.086750827729702,0.15066440403461456,0.14793018996715546,0.10971934348344803,0.09614268690347672
",",0.22659391164779663,0.346853643655777,0.3015086054801941,0.4933079481124878,0.29927265644073486,0.24290941655635834,1.0000001192092896,0.1340581774711609,1.0000001192092896,0.2159072756767273,0.4069873094558716,0.5201468467712402,0.2232249528169632,0.31091248989105225
reached,0.12375093251466751,0.2323249876499176,0.24863581359386444,0.29860952496528625,0.2627360224723816,0.1145956963300705,0.26771560311317444,0.10267537832260132,0.26771560311317444,0.22625523805618286,0.2465735524892807,0.24389809370040894,0.18596282601356506,0.1518019139766693
617.1,0.2947995066642761,0.06549398601055145,0.1346462517976761,0.05163559317588806,0.12676522135734558,0.1516963392496109,0.1589478701353073,0.21807964146137238,0.1589478701353073,0.1463843286037445,0.0903075560927391,-0.012525632977485657,-0.018244309350848198,0.3386676609516144
nautical,0.14955495297908783,0.29891669750213623,0.12061729282140732,0.27302607893943787,0.1890249103307724,0.077841617166996,0.24917243421077728,0.1397765874862671,0.24917243421077728,0.31602615118026733,0.24747638404369354,0.22226013243198395,0.472442626953125,0.1162405014038086
miles,0.13798850774765015,0.31905147433280945,0.10529203712940216,0.25706055760383606,0.19420474767684937,0.09585235267877579,0.29495540261268616,0.09735969454050064,0.29495540261268616,0.3001697361469269,0.3092680871486664,0.22700901329517365,0.70199054479599,0.09363767504692078
