,which,country,today,is,a,remnant,of,the,ottoman,empire,?
the,0.6521818041801453,0.30432501435279846,0.35740926861763,0.5823672413825989,0.5829201340675354,0.30171096324920654,0.733189046382904,1.0,0.2623080313205719,0.32532164454460144,0.22068053483963013
empire,0.1975056380033493,0.2728447914123535,0.23621433973312378,0.18343110382556915,0.1900206059217453,0.24019481241703033,0.30522286891937256,0.32532164454460144,0.5869483351707458,1.0000001192092896,0.14909450709819794
allied,0.23151446878910065,0.20464123785495758,0.15483741462230682,0.078575998544693,0.10843989253044128,0.22274526953697205,0.2840718626976013,0.3092154562473297,0.42075595259666443,0.3551214933395386,0.1341097056865692
with,0.46403205394744873,0.24760155379772186,0.22647687792778015,0.3250955045223236,0.3783375024795532,0.1835605800151825,0.41827285289764404,0.4223487675189972,0.13219141960144043,0.16165103018283844,0.2433311939239502
germany,0.2479574829339981,0.3162744343280792,0.285393089056015,0.2201172411441803,0.2606942057609558,0.10079420357942581,0.2942050099372864,0.3181285262107849,0.28839707374572754,0.28472569584846497,0.1388660967350006
in,0.4840516746044159,0.3040012717247009,0.3300545811653137,0.5394441485404968,0.539380669593811,0.2387097030878067,0.5696388483047485,0.6662389636039734,0.17080391943454742,0.24110576510429382,0.20430970191955566
the,0.6521818041801453,0.30432501435279846,0.35740926861763,0.5823672413825989,0.5829201340675354,0.30171096324920654,0.733189046382904,1.0,0.2623080313205719,0.32532164454460144,0.22068053483963013
early,0.29240089654922485,0.1809106171131134,0.36165186762809753,0.18880519270896912,0.2710886299610138,0.30006468296051025,0.30937549471855164,0.34442198276519775,0.18605223298072815,0.21948890388011932,0.15272949635982513
20th,0.23899522423744202,0.18262280523777008,0.11090360581874847,0.2814297676086426,0.24495378136634827,0.14984676241874695,0.21726468205451965,0.3097512125968933,0.15553444623947144,0.14722545444965363,0.14985637366771698
century,0.23552611470222473,0.21585902571678162,0.3821865916252136,0.20648397505283356,0.19417014718055725,0.21652711927890778,0.2826060354709625,0.3617299497127533,0.35807204246520996,0.3632965385913849,0.1026201918721199
",",0.3658004403114319,0.27878350019454956,0.3282252550125122,0.4691906273365021,0.427140474319458,0.2536679208278656,0.4946078956127167,0.4933079481124878,0.22751282155513763,0.27646857500076294,0.31091248989105225
