,there,are,two,of,what,type,of,institution,in,newcastle,?
newcastle,0.1536160409450531,0.1428472399711609,0.15140333771705627,0.18781472742557526,0.16276082396507263,0.14704859256744385,0.18781472742557526,0.11247485876083374,0.19270820915699005,1.0000001192092896,0.0902252271771431
is,0.3904260993003845,0.5330929756164551,0.2315155267715454,0.4854315221309662,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.18623653054237366,0.5394441485404968,0.1841045320034027,0.22961433231830597
also,0.44705238938331604,0.4565894305706024,0.4511464238166809,0.4924938678741455,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.22919213771820068,0.5073733329772949,0.20407575368881226,0.21848613023757935
home,0.24579636752605438,0.17890439927577972,0.18019580841064453,0.24402645230293274,0.1608789712190628,0.1119999960064888,0.24402645230293274,0.20994654297828674,0.30467477440834045,0.28202661871910095,0.0757145956158638
to,0.40669289231300354,0.3504326641559601,0.3343428373336792,0.41548454761505127,0.455847829580307,0.19930607080459595,0.41548454761505127,0.20479217171669006,0.45010748505592346,0.23559264838695526,0.29463258385658264
a,0.4214206337928772,0.265255331993103,0.3289857804775238,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.21658948063850403,0.539380669593811,0.21405641734600067,0.23916715383529663
large,0.34902602434158325,0.3467932939529419,0.28182870149612427,0.3569655418395996,0.2017821967601776,0.27216973900794983,0.3569655418395996,0.21292909979820251,0.2841601073741913,0.1500018686056137,0.1355665624141693
student,0.20433227717876434,0.1161111518740654,0.2351892590522766,0.20310284197330475,0.20548318326473236,0.12656444311141968,0.20310284197330475,0.36067235469818115,0.254856139421463,0.09004773199558258,0.13282090425491333
population,0.30312415957450867,0.20790868997573853,0.16114678978919983,0.3060894012451172,0.2000674307346344,0.10401057451963425,0.3060894012451172,0.254495233297348,0.3268454372882843,0.15327702462673187,0.14449454843997955
with,0.37390366196632385,0.38996943831443787,0.4333336651325226,0.41827285289764404,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.0775127187371254,0.4080928862094879,0.1710812896490097,0.2433311939239502
newcastle,0.1536160409450531,0.1428472399711609,0.15140333771705627,0.18781472742557526,0.16276082396507263,0.14704859256744385,0.18781472742557526,0.11247485876083374,0.19270820915699005,1.0000001192092896,0.0902252271771431
and,0.4242868423461914,0.48576638102531433,0.4671151638031006,0.5116966962814331,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2360319048166275,0.4954058527946472,0.20204751193523407,0.20544172823429108
northumbria,0.19054003059864044,0.15633438527584076,0.2355676293373108,0.2532331943511963,0.2106504589319229,0.09417415410280228,0.2532331943511963,0.1367681324481964,0.2060338705778122,0.35455697774887085,0.18365557491779327
universities,0.2560464143753052,0.27859437465667725,0.24796339869499207,0.29948264360427856,0.1630716770887375,0.12232967466115952,0.29948264360427856,0.5032650828361511,0.2965206503868103,0.19832536578178406,0.16836881637573242
in,0.5361666083335876,0.3841303884983063,0.36463531851768494,0.5696388483047485,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2544989287853241,1.0,0.19270820915699005,0.20430970191955566
the,0.47025805711746216,0.40399202704429626,0.43858039379119873,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2866198718547821,0.6662389636039734,0.2253497689962387,0.22068053483963013
local,0.2495916485786438,0.19665704667568207,0.10719843953847885,0.20668989419937134,0.18981902301311493,0.17805400490760803,0.20668989419937134,0.12265811115503311,0.2223825752735138,0.22142958641052246,0.15022775530815125
area,0.3357469141483307,0.25780194997787476,0.15958356857299805,0.3409860134124756,0.21965408325195312,0.11782461404800415,0.3409860134124756,0.2164776772260666,0.33632898330688477,0.18503880500793457,0.12640461325645447
.,0.43897318840026855,0.3452940285205841,0.3524959683418274,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.19818365573883057,0.5591574311256409,0.2714749276638031,0.4130953550338745
