,what,was,the,steam,engine,an,important,component,of,?
the,0.42745697498321533,0.48711544275283813,1.0,0.23105813562870026,0.21651263535022736,0.4207492768764496,0.39348116517066956,0.3172481954097748,0.733189046382904,0.22068053483963013
stationary,0.21953286230564117,0.1345253884792328,0.23227055370807648,0.33563289046287537,0.2042837142944336,0.19593970477581024,0.24284130334854126,0.30403080582618713,0.25504085421562195,0.12602825462818146
steam,0.15672586858272552,0.16913670301437378,0.23105813562870026,1.0000001192092896,0.4921848475933075,0.13589277863502502,0.14403650164604187,0.2477812021970749,0.20239725708961487,0.113324373960495
engine,0.18463268876075745,0.205611914396286,0.21651263535022736,0.4921848475933075,1.0,0.18337401747703552,0.08463074266910553,0.3220645785331726,0.17095594108104706,0.17739196121692657
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.16913670301437378,0.205611914396286,0.3694365322589874,0.24924467504024506,0.17165552079677582,0.4069072902202606,0.18412111699581146
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2141898274421692,0.24768835306167603,0.44552403688430786,0.2963852882385254,0.3017847537994385,0.5052502155303955,0.23916715383529663
key,0.2270265817642212,0.15157482028007507,0.2260027974843979,0.11736984550952911,0.13735996186733246,0.12719660997390747,0.31722700595855713,0.37603625655174255,0.24036972224712372,0.18782930076122284
component,0.19980107247829437,0.17165552079677582,0.3172481954097748,0.2477812021970749,0.3220645785331726,0.21282176673412323,0.3495667576789856,1.0,0.30378368496894836,0.14409896731376648
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.20239725708961487,0.17095594108104706,0.32280945777893066,0.43301743268966675,0.30378368496894836,1.0,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.23105813562870026,0.21651263535022736,0.4207492768764496,0.39348116517066956,0.3172481954097748,0.733189046382904,0.22068053483963013
industrial,0.16054853796958923,0.2614017128944397,0.30435431003570557,0.31459638476371765,0.2812671363353729,0.21760690212249756,0.4240185618400574,0.3473311960697174,0.3120400011539459,0.08039500564336777
revolution,0.1946869045495987,0.3365444839000702,0.276140034198761,0.22190643846988678,0.17843899130821228,0.18044278025627136,0.2749865651130676,0.18998289108276367,0.27144062519073486,0.1727980077266693
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2264556586742401,0.19789794087409973,0.3581022024154663,0.3452564477920532,0.1739291101694107,0.4946078956127167,0.31091248989105225
allowing,0.21854478120803833,0.17487339675426483,0.3440283536911011,0.20225992798805237,0.22864212095737457,0.18381313979625702,0.19072909653186798,0.2798073887825012,0.29282480478286743,0.1434045135974884
factories,0.18422946333885193,0.23201562464237213,0.2603243589401245,0.3955792486667633,0.33343505859375,0.09272170066833496,0.31844446063041687,0.261151522397995,0.28616368770599365,0.13455291092395782
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.22894427180290222,0.20794793963432312,0.3138085603713989,0.30913278460502625,0.24541009962558746,0.41548454761505127,0.29463258385658264
locate,0.3336636424064636,0.10191971808671951,0.3594493865966797,0.17097342014312744,0.1529036909341812,0.21810857951641083,0.1815822422504425,0.19241580367088318,0.24132601916790009,0.22199362516403198
where,0.4457937180995941,0.20731619000434875,0.5003893971443176,0.18907299637794495,0.1442544013261795,0.24824833869934082,0.348819375038147,0.23334157466888428,0.38066378235816956,0.24793872237205505
water,0.17456887662410736,0.18750394880771637,0.297396719455719,0.43059393763542175,0.23611068725585938,0.19103862345218658,0.24040143191814423,0.2002529501914978,0.2741255462169647,0.14731885492801666
power,0.22216427326202393,0.1794997751712799,0.2647338807582855,0.35972869396209717,0.30954575538635254,0.1744573563337326,0.17856022715568542,0.14691293239593506,0.25273123383522034,0.15304024517536163
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.16913670301437378,0.205611914396286,0.3694365322589874,0.24924467504024506,0.17165552079677582,0.4069072902202606,0.18412111699581146
unavailable,0.25540751218795776,0.14532630145549774,0.2609124183654785,0.24668005108833313,0.25870007276535034,0.23819729685783386,0.22402605414390564,0.3132267892360687,0.23940257728099823,0.24875210225582123
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.22855372726917267,0.21814921498298645,0.3581749200820923,0.33938494324684143,0.22988206148147583,0.5352458953857422,0.4130953550338745
