,who,are,committees,comprised,of,?
committees,0.22404304146766663,0.280746728181839,1.0,0.33420032262802124,0.34709328413009644,0.1382787674665451
comprise,-0.005309289786964655,0.3744918406009674,0.3151780068874359,0.8737156987190247,0.37900012731552124,0.056415483355522156
a,0.36608949303627014,0.265255331993103,0.21297448873519897,0.2067648470401764,0.5052502155303955,0.23916715383529663
small,0.23894593119621277,0.3959871232509613,0.23540350794792175,0.2866494059562683,0.353353351354599,0.13914890587329865
number,0.21304799616336823,0.3537501394748688,0.27348238229751587,0.24716421961784363,0.2778518795967102,0.19256845116615295
of,0.2827862501144409,0.39081433415412903,0.34709328413009644,0.3694441318511963,1.0,0.1826142966747284
msps,0.2761230170726776,0.33991923928260803,0.4749172627925873,0.3331848978996277,0.32335641980171204,0.14526908099651337
",",0.3365725874900818,0.4062570035457611,0.2178204506635666,0.258333295583725,0.4946078956127167,0.31091248989105225
with,0.3282766342163086,0.38996943831443787,0.19153587520122528,0.2556408941745758,0.41827285289764404,0.2433311939239502
membership,0.2513469159603119,0.231269970536232,0.4488200843334198,0.31332457065582275,0.26808464527130127,0.15225854516029358
reflecting,0.1321122795343399,0.23003260791301727,0.16659903526306152,0.1766718477010727,0.33538100123405457,0.11222316324710846
the,0.3733934462070465,0.40399202704429626,0.2924276292324066,0.28885143995285034,0.733189046382904,0.22068053483963013
balance,0.1770833134651184,0.26936018466949463,0.21250289678573608,0.041588593274354935,0.2267034351825714,0.2381676584482193
of,0.2827862501144409,0.39081433415412903,0.34709328413009644,0.3694441318511963,1.0,0.1826142966747284
parties,0.24264965951442719,0.24644415080547333,0.32811567187309265,0.17817822098731995,0.2394237220287323,0.16949701309204102
across,0.23016521334648132,0.24150612950325012,0.1821759045124054,0.2684876620769501,0.2936134934425354,0.17034576833248138
parliament,0.237068772315979,0.09480422735214233,0.4124729335308075,0.17169684171676636,0.2885259687900543,0.1586504578590393
.,0.3541337847709656,0.3452940285205841,0.22547543048858643,0.18239986896514893,0.5352458953857422,0.4130953550338745
