,who,did,edward,make,archbishop,of,canterbury,?
he,0.5500732064247131,0.3292143940925598,0.23865345120429993,0.24703912436962128,0.2637402415275574,0.38706058263778687,0.2361193746328354,0.2089974731206894
appointed,0.3215055465698242,0.2657434642314911,0.2838163673877716,0.10108333826065063,0.36684441566467285,0.3280673027038574,0.26296988129615784,0.13895352184772491
robert,0.2748492956161499,0.16245460510253906,0.3946400284767151,0.18163654208183289,0.1712421029806137,0.2398476004600525,0.17553399503231049,0.11293095350265503
of,0.2827862501144409,0.2513895630836487,0.1742178201675415,0.2912110388278961,0.1995917707681656,1.0,0.26625144481658936,0.1826142966747284
jumièges,0.22971464693546295,0.21167708933353424,0.15137198567390442,0.28383132815361023,0.33475813269615173,0.36914581060409546,0.2863037884235382,0.13432593643665314
archbishop,0.20037373900413513,0.15934832394123077,0.2958458662033081,0.09164246916770935,1.0000001192092896,0.1995917707681656,0.6086451411247253,0.198198139667511
of,0.2827862501144409,0.2513895630836487,0.1742178201675415,0.2912110388278961,0.1995917707681656,1.0,0.26625144481658936,0.1826142966747284
canterbury,0.19502463936805725,0.1715923547744751,0.2725236713886261,0.1525769978761673,0.6086451411247253,0.26625144481658936,1.0,0.19566942751407623
and,0.41279885172843933,0.34479495882987976,0.2590075433254242,0.4160483181476593,0.1674930453300476,0.5116966962814331,0.2127632349729538,0.20544172823429108
made,0.2576322853565216,0.3068731725215912,0.1611669510602951,0.613452136516571,0.16571496427059174,0.33167365193367004,0.14171980321407318,0.17218779027462006
ralph,0.27632367610931396,0.12483328580856323,0.37189221382141113,0.1213691383600235,0.16558346152305603,0.20447495579719543,0.23784083127975464,0.0765800029039383
the,0.3733934462070465,0.34736719727516174,0.1896408498287201,0.3146495521068573,0.1770705133676529,0.733189046382904,0.25006434321403503,0.22068053483963013
timid,0.32033446431159973,0.19839587807655334,0.108743816614151,0.21544402837753296,0.10451799631118774,0.13145524263381958,0.10534747689962387,0.1890050768852234
earl,0.2134564220905304,0.18741855025291443,0.3945886492729187,0.10519678145647049,0.3043186664581299,0.21531644463539124,0.29672685265541077,0.13325046002864838
of,0.2827862501144409,0.2513895630836487,0.1742178201675415,0.2912110388278961,0.1995917707681656,1.0,0.26625144481658936,0.1826142966747284
hereford,0.2264704704284668,0.2085527926683426,0.3587914705276489,0.1487458497285843,0.3571624755859375,0.26728641986846924,0.4457682967185974,0.2061518132686615
.,0.3541337847709656,0.35288307070732117,0.2714897394180298,0.3547073304653168,0.2013315111398697,0.5352458953857422,0.19745132327079773,0.4130953550338745
