,who,are,debates,and,meetings,open,to,?
chamber,0.16918787360191345,0.13027484714984894,0.10289040207862854,0.2297973483800888,0.23115618526935577,0.17338591814041138,0.1609310358762741,0.04307165369391441
debates,0.2411929816007614,0.2259225845336914,1.0000001192092896,0.2613394856452942,0.4905434846878052,0.19337353110313416,0.2710517346858978,0.23877738416194916
and,0.41279885172843933,0.48576638102531433,0.2613394856452942,1.0,0.27042466402053833,0.27364909648895264,0.48971283435821533,0.20544172823429108
committee,0.2034623622894287,0.14231987297534943,0.28466054797172546,0.22311176359653473,0.4257829785346985,0.05194978043437004,0.24979650974273682,0.12144632637500763
meetings,0.2926362454891205,0.2924313545227051,0.4905434846878052,0.27042466402053833,1.0,0.19089095294475555,0.2931969165802002,0.17293356359004974
are,0.27294138073921204,1.0,0.2259225845336914,0.48576638102531433,0.2924313545227051,0.253268837928772,0.3504326641559601,0.24591213464736938
open,0.1337064653635025,0.253268837928772,0.19337353110313416,0.27364909648895264,0.19089095294475555,1.0000001192092896,0.2593059837818146,0.20715104043483734
to,0.42656609416007996,0.3504326641559601,0.2710517346858978,0.48971283435821533,0.2931969165802002,0.2593059837818146,1.0,0.29463258385658264
the,0.3733934462070465,0.40399202704429626,0.2661968469619751,0.5171257257461548,0.31532901525497437,0.2764171361923218,0.535392165184021,0.22068053483963013
public,0.18950407207012177,0.18111367523670197,0.276081919670105,0.3227643668651581,0.36584100127220154,0.3174091577529907,0.2672370672225952,0.19872993230819702
.,0.3541337847709656,0.3452940285205841,0.2395041137933731,0.588965117931366,0.2372949719429016,0.28460413217544556,0.4645031690597534,0.4130953550338745
