,when,violence,is,used,",",what,is,civil,disobedience,sometimes,called,?
it,0.4775012135505676,0.2471785694360733,0.6328473687171936,0.3575260639190674,0.48329564929008484,0.45803478360176086,0.6328473687171936,0.17707513272762299,0.2648297846317291,0.34049513936042786,0.3402029573917389,0.25732165575027466
has,0.34538573026657104,0.16683797538280487,0.5668748617172241,0.23367926478385925,0.3734780251979828,0.20338068902492523,0.5668748617172241,0.14805923402309418,0.11896127462387085,0.25310245156288147,0.30485156178474426,0.15994466841220856
been,0.3339833617210388,0.15912000834941864,0.39566612243652344,0.2855360507965088,0.34873589873313904,0.2567804455757141,0.39566612243652344,0.16754008829593658,0.20087917149066925,0.2778259515762329,0.21922262012958527,0.24354910850524902
argued,0.20793144404888153,0.2606848478317261,0.08507123589515686,0.21631455421447754,0.2107459008693695,0.31776854395866394,0.08507123589515686,0.22184301912784576,0.387824684381485,0.13699455559253693,0.21841047704219818,0.18905270099639893
that,0.5860282182693481,0.2665633261203766,0.3995479643344879,0.37621384859085083,0.4137537479400635,0.6297725439071655,0.3995479643344879,0.16867391765117645,0.3551425039768219,0.3928869664669037,0.41604554653167725,0.32716336846351624
",",0.36674630641937256,0.2299048751592636,0.4691906273365021,0.3120402991771698,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.24795588850975037,0.2878543734550476,0.26600122451782227,0.26549121737480164,0.31091248989105225
while,0.548916757106781,0.1995680183172226,0.2713196575641632,0.2704656422138214,0.38232675194740295,0.35511791706085205,0.2713196575641632,0.17608642578125,0.26316946744918823,0.3027152717113495,0.2355477511882782,0.21076419949531555
both,0.435994029045105,0.24861758947372437,0.31409940123558044,0.3154800534248352,0.38080528378486633,0.3361809551715851,0.31409940123558044,0.22088982164859772,0.23719468712806702,0.39470815658569336,0.3253101110458374,0.19455738365650177
civil,0.14899945259094238,0.2751532793045044,0.16941262781620026,0.18663932383060455,0.24795588850975037,0.15091551840305328,0.16941262781620026,1.0,0.5442691445350647,0.1757841408252716,0.1720334142446518,0.1494513899087906
disobedience,0.2761690020561218,0.5268648862838745,0.21453623473644257,0.16147232055664062,0.2878543734550476,0.3298627436161041,0.21453623473644257,0.5442691445350647,1.0,0.22859571874141693,0.2320696860551834,0.19890835881233215
and,0.4716290831565857,0.2652360200881958,0.3859752118587494,0.3150506615638733,0.6633074283599854,0.31309178471565247,0.3859752118587494,0.25259146094322205,0.3041999638080597,0.35151126980781555,0.3251761794090271,0.20544172823429108
civil,0.14899945259094238,0.2751532793045044,0.16941262781620026,0.18663932383060455,0.24795588850975037,0.15091551840305328,0.16941262781620026,1.0,0.5442691445350647,0.1757841408252716,0.1720334142446518,0.1494513899087906
rebellion,0.23575051128864288,0.3243230879306793,0.16987597942352295,0.11701769381761551,0.17869777977466583,0.20742425322532654,0.16987597942352295,0.374906986951828,0.43850091099739075,0.1827286183834076,0.2438453882932663,0.10071789473295212
are,0.29873907566070557,0.1545855849981308,0.5330929756164551,0.3322218656539917,0.4062570035457611,0.29724663496017456,0.5330929756164551,0.12244163453578949,0.19937367737293243,0.47411349415779114,0.3676711618900299,0.24591213464736938
justified,0.174752339720726,0.2595754861831665,0.16052663326263428,0.18818427622318268,0.2919631898403168,0.3712652921676636,0.16052663326263428,0.1624336540699005,0.30395132303237915,0.12144634127616882,0.134601891040802,0.38761505484580994
