,how,much,does,the,services,sector,contribute,to,gdp,?
kenya,0.17591707408428192,0.08246253430843353,0.15162554383277893,0.21657514572143555,0.1754397302865982,0.18393830955028534,0.09189879894256592,0.17769291996955872,0.14304453134536743,0.17197901010513306
's,-0.026164190843701363,0.06731651723384857,-0.02895052544772625,-0.01540423184633255,0.0342075377702713,0.06473074108362198,-0.013741888105869293,0.03782717138528824,0.09762780368328094,-0.023395681753754616
services,0.18439824879169464,0.20830637216567993,0.21305601298809052,0.2381475418806076,1.0,0.4179188907146454,0.21525172889232635,0.27867045998573303,0.28278085589408875,0.1328447163105011
sector,0.13051827251911163,0.2590048015117645,0.18398194015026093,0.27798449993133545,0.4179188907146454,1.0000001192092896,0.20044252276420593,0.25943341851234436,0.3653808832168579,0.06294605135917664
",",0.22659391164779663,0.36182254552841187,0.28617382049560547,0.4933079481124878,0.24788528680801392,0.23930709064006805,0.24528558552265167,0.44245919585227966,0.17147020995616913,0.31091248989105225
which,0.4852597713470459,0.4274604916572571,0.39111801981925964,0.6521818041801453,0.28976115584373474,0.3005475103855133,0.28664344549179077,0.5345056653022766,0.19362454116344452,0.25814583897590637
contributes,0.2943525016307831,0.3196960985660553,0.34024345874786377,0.2711111307144165,0.2628988027572632,0.24058017134666443,0.8913849592208862,0.3252312242984772,0.3050227165222168,0.26828473806381226
61,0.05433937907218933,0.10301457345485687,-0.009824679233133793,0.044257789850234985,-0.011535913683474064,0.06431322544813156,0.060401927679777145,0.13172759115695953,-0.04775181785225868,-0.039689820259809494
%,0.1237400695681572,0.26866111159324646,0.1996830552816391,0.21490740776062012,0.20347705483436584,0.2509334087371826,0.20834925770759583,0.18513022363185883,0.3315473198890686,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,0.3119818866252899,0.733189046382904,0.23787347972393036,0.23412683606147766,0.22662346065044403,0.41548454761505127,0.173078253865242,0.1826142966747284
gdp,0.24845188856124878,0.24348674714565277,0.20845764875411987,0.16116170585155487,0.28278085589408875,0.3653808832168579,0.31300482153892517,0.16873480379581451,1.0000001192092896,0.232579305768013
",",0.22659391164779663,0.36182254552841187,0.28617382049560547,0.4933079481124878,0.24788528680801392,0.23930709064006805,0.24528558552265167,0.44245919585227966,0.17147020995616913,0.31091248989105225
is,0.22544461488723755,0.3156087100505829,0.4403602182865143,0.5823672413825989,0.2128378003835678,0.22561627626419067,0.2346399426460266,0.42745086550712585,0.1348358541727066,0.22961433231830597
dominated,0.1238274797797203,0.271645188331604,0.16090600192546844,0.33543094992637634,0.11977973580360413,0.2597965598106384,0.20649541914463043,0.18163110315799713,0.14452263712882996,0.04715321213006973
by,0.34370526671409607,0.24959969520568848,0.143477201461792,0.4408751428127289,0.2132156491279602,0.13565200567245483,0.18315626680850983,0.33534231781959534,0.08834438025951385,0.17966607213020325
tourism,0.09228867292404175,0.17588411271572113,0.09306281805038452,0.26230889558792114,0.3394624888896942,0.3934839963912964,0.19947586953639984,0.23313839733600616,0.3370998799800873,0.08465105295181274
.,0.3287222981452942,0.3374604284763336,0.3022993505001068,0.5934505462646484,0.2179025262594223,0.2173098623752594,0.26095086336135864,0.4645031690597534,0.17039258778095245,0.4130953550338745
