,what,is,the,largest,main,branch,of,the,rhine,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.38631999492645264,0.2630956768989563,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.26643094420433044,0.17536219954490662,0.36650770902633667,0.3757036626338959,0.1578357070684433,0.12401245534420013
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.29831406474113464,0.23874594271183014,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.20544172823429108
southern,0.18679563701152802,0.2419366091489792,0.3282862603664398,0.29432255029678345,0.153357595205307,0.1825995296239853,0.31933003664016724,0.3282862603664398,0.16047069430351257,0.11225555837154388
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,0.26643094420433044,1.0000001192092896,0.2541031539440155,0.3177044689655304,0.38631999492645264,0.23040270805358887,0.1665669083595276
branch,0.1792319416999817,0.17662303149700165,0.2630956768989563,0.17536219954490662,0.2541031539440155,1.0,0.23972897231578827,0.2630956768989563,0.2070019692182541,0.10474635660648346
begins,0.1788426637649536,0.25563162565231323,0.3446018099784851,0.1923176348209381,0.18488332629203796,0.15025100111961365,0.27105480432510376,0.3446018099784851,0.1869913935661316,0.09518900513648987
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.1819920688867569,0.25940921902656555,0.1798926442861557,0.3886612355709076,0.48381632566452026,0.18380387127399445,0.27043893933296204
waal,0.18199798464775085,0.1431557983160019,0.14903073012828827,0.05591900274157524,0.1653430461883545,0.18554948270320892,0.18245531618595123,0.14903073012828827,0.3682439625263214,0.11904393881559372
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.29831406474113464,0.23874594271183014,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.20544172823429108
continues,0.27419164776802063,0.32428741455078125,0.3452514410018921,0.09554833918809891,0.2612353265285492,0.20162200927734375,0.2937655746936798,0.3452514410018921,0.1559833437204361,0.13186512887477875
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.1819920688867569,0.25940921902656555,0.1798926442861557,0.3886612355709076,0.48381632566452026,0.18380387127399445,0.27043893933296204
boven,0.19857706129550934,0.28325116634368896,0.31359267234802246,0.1496579647064209,0.16484306752681732,0.12177713960409164,0.2683909237384796,0.31359267234802246,0.36784854531288147,0.15296606719493866
merwede,0.07321726530790329,0.20415930449962616,0.20795460045337677,0.18661648035049438,0.21764251589775085,0.2148904800415039,0.17477388679981232,0.20795460045337677,0.4772508442401886,0.13861164450645447
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.14214102923870087,0.21451304852962494,0.19595609605312347,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.40561532974243164
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.06791853159666061,0.009458402171730995,0.06916304677724838,0.06780257821083069,0.029072100296616554,0.031863048672676086,0.0685480609536171
upper,0.1592642068862915,0.2177516371011734,0.35289278626441956,0.2449609637260437,0.2338131070137024,0.14708665013313293,0.25818127393722534,0.35289278626441956,0.27324220538139343,0.051342256367206573
merwede,0.07321726530790329,0.20415930449962616,0.20795460045337677,0.18661648035049438,0.21764251589775085,0.2148904800415039,0.17477388679981232,0.20795460045337677,0.4772508442401886,0.13861164450645447
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.010605577379465103,-0.012597051449120045,0.051968224346637726,0.13035868108272552,0.041273195296525955,-0.003653771709650755,0.018684765323996544
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1570781171321869,0.20574742555618286,0.22207215428352356,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.2989408075809479,0.2610839307308197,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
beneden,0.13019268214702606,0.14058680832386017,0.18165314197540283,0.1092858761548996,0.18224836885929108,0.17371411621570587,0.24476510286331177,0.18165314197540283,0.26146200299263,0.19759783148765564
