,what,goal,does,islamism,have,when,it,comes,to,society,and,government,?
islamism,0.28119760751724243,0.22933006286621094,0.20293419063091278,1.0000001192092896,0.19640949368476868,0.18733184039592743,0.20388223230838776,0.10752071440219879,0.23028403520584106,0.2693065106868744,0.21577347815036774,0.3886011838912964,0.19147449731826782
favors,0.23231111466884613,0.19824624061584473,0.15649710595607758,0.29736825823783875,0.2534964680671692,0.2148800641298294,0.16366566717624664,0.1681276559829712,0.3176485300064087,0.2228471338748932,0.2597048282623291,0.22257308661937714,0.16362252831459045
the,0.42745697498321533,0.2443244755268097,0.35928019881248474,0.2584027051925659,0.40389683842658997,0.5091903209686279,0.6251175999641418,0.32399529218673706,0.535392165184021,0.2789285480976105,0.5171257257461548,0.31798112392425537,0.22068053483963013
reordering,0.3078327775001526,0.19977907836437225,0.24745839834213257,0.189169242978096,0.2641301453113556,0.2739253640174866,0.27223262190818787,0.18790559470653534,0.29526641964912415,0.15566296875476837,0.23871704936027527,0.26610198616981506,0.21416832506656647
of,0.33290785551071167,0.1838325709104538,0.3119818866252899,0.2555263340473175,0.3802283704280853,0.3757161796092987,0.38761502504348755,0.2978210747241974,0.41548454761505127,0.23646748065948486,0.5116966962814331,0.3475167155265808,0.1826142966747284
government,0.28074538707733154,0.17317861318588257,0.19420266151428223,0.3886011838912964,0.23351164162158966,0.23078718781471252,0.28037968277931213,0.12340913712978363,0.28343796730041504,0.3291187882423401,0.2859337627887726,1.0000001192092896,0.18851417303085327
and,0.31309178471565247,0.20885969698429108,0.3461615741252899,0.21577347815036774,0.4711785912513733,0.4716290831565857,0.40957894921302795,0.25444865226745605,0.48971283435821533,0.24110737442970276,1.0,0.2859337627887726,0.20544172823429108
society,0.23231269419193268,0.14479286968708038,0.1520092785358429,0.2693065106868744,0.18951740860939026,0.17042754590511322,0.21825021505355835,0.1256413757801056,0.20199917256832123,0.9999998807907104,0.24110737442970276,0.3291187882423401,0.1373005360364914
in,0.30808621644973755,0.2241991013288498,0.214483380317688,0.20508189499378204,0.36843645572662354,0.4431333839893341,0.5130809545516968,0.18555757403373718,0.45010748505592346,0.21229879558086395,0.4954058527946472,0.3066793978214264,0.20430970191955566
accordance,0.30478090047836304,0.2156863957643509,0.2223624438047409,0.26817673444747925,0.23409470915794373,0.20336292684078217,0.23340627551078796,0.13066229224205017,0.26257893443107605,0.17264164984226227,0.2275574952363968,0.2892676889896393,0.23867659270763397
with,0.2464839518070221,0.1991085708141327,0.26186925172805786,0.15082941949367523,0.48046383261680603,0.5075214505195618,0.3369046747684479,0.18731072545051575,0.4239959120750427,0.1061180979013443,0.5477725267410278,0.2035938799381256,0.2433311939239502
the,0.42745697498321533,0.2443244755268097,0.35928019881248474,0.2584027051925659,0.40389683842658997,0.5091903209686279,0.6251175999641418,0.32399529218673706,0.535392165184021,0.2789285480976105,0.5171257257461548,0.31798112392425537,0.22068053483963013
shari'a,0.1943652182817459,0.17262311279773712,0.19855844974517822,0.4258054494857788,0.2001456618309021,0.1554921269416809,0.1637885570526123,0.1570463478565216,0.2141215205192566,0.13679954409599304,0.23188138008117676,0.24404911696910858,0.1181386336684227
.,0.3567904531955719,0.19919876754283905,0.3022993505001068,0.23342493176460266,0.41614407300949097,0.475719153881073,0.5593622326850891,0.17545032501220703,0.4645031690597534,0.18022798001766205,0.588965117931366,0.2521961033344269,0.4130953550338745
