,what,does,being,an,msp,share,with,the,house,of,commons,?
as,0.31749409437179565,0.31202155351638794,0.46524563431739807,0.37218472361564636,0.21805118024349213,0.21369688212871552,0.40387406945228577,0.48381632566452026,0.18534636497497559,0.3886612355709076,0.1450139880180359,0.27043893933296204
in,0.30808621644973755,0.214483380317688,0.33162933588027954,0.2605783939361572,0.18218232691287994,0.21491074562072754,0.4080928862094879,0.6662389636039734,0.20026938617229462,0.5696388483047485,0.17882154881954193,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,0.419739305973053,0.4207492768764496,0.23818017542362213,0.249948650598526,0.4223487675189972,1.0,0.2847244441509247,0.733189046382904,0.2904264032840729,0.22068053483963013
house,0.200801283121109,0.17214885354042053,0.2240375131368637,0.16477175056934357,0.21637573838233948,0.22417010366916656,0.16397541761398315,0.2847244441509247,0.9999998807907104,0.285114049911499,0.4771188497543335,0.13736455142498016
of,0.33290785551071167,0.3119818866252899,0.34885138273239136,0.32280945777893066,0.2572315037250519,0.2850857973098755,0.41827285289764404,0.733189046382904,0.285114049911499,1.0,0.2790703773498535,0.1826142966747284
commons,0.25517043471336365,0.2573713958263397,0.22012902796268463,0.14073984324932098,0.40782585740089417,0.2691996693611145,0.11674867570400238,0.2904264032840729,0.4771188497543335,0.2790703773498535,1.0,0.27964192628860474
",",0.3087472915649414,0.28617382049560547,0.34499165415763855,0.3581022024154663,0.24401330947875977,0.29725754261016846,0.4120737314224243,0.4933079481124878,0.28236111998558044,0.4946078956127167,0.2531384229660034,0.31091248989105225
a,0.3320399522781372,0.38201746344566345,0.3727131485939026,0.44552403688430786,0.2784733176231384,0.18168987333774567,0.3783375024795532,0.5829201340675354,0.26758551597595215,0.5052502155303955,0.2320197969675064,0.23916715383529663
number,0.23046229779720306,0.1831183135509491,0.26345863938331604,0.1875157356262207,0.22495712339878082,0.19275327026844025,0.2513769268989563,0.35145696997642517,0.1848890632390976,0.2778518795967102,0.14376981556415558,0.19256845116615295
of,0.33290785551071167,0.3119818866252899,0.34885138273239136,0.32280945777893066,0.2572315037250519,0.2850857973098755,0.41827285289764404,0.733189046382904,0.285114049911499,1.0,0.2790703773498535,0.1826142966747284
