,what,anniversary,of,the,pokémon,franchise,was,celebrated,during,the,super,bowl,?
nintendo,0.1769949048757553,0.29552096128463745,0.1831316351890564,0.21949313580989838,0.4952222406864166,0.38491517305374146,0.2418018877506256,0.16677983105182648,0.13629277050495148,0.21949313580989838,0.4243071973323822,0.22110988199710846,0.17269451916217804
and,0.31309178471565247,0.13314463198184967,0.5116966962814331,0.5171257257461548,0.20083220303058624,0.24930554628372192,0.3740963041782379,0.19334107637405396,0.36462149024009705,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.20544172823429108
the,0.42745697498321533,0.29318708181381226,0.733189046382904,1.0,0.22314313054084778,0.30872398614883423,0.48711544275283813,0.27264803647994995,0.4838213622570038,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
pokémon,0.21195173263549805,0.20731651782989502,0.16035597026348114,0.22314313054084778,1.0,0.3572057783603668,0.14058303833007812,0.11315038055181503,0.11929785460233688,0.22314313054084778,0.28236693143844604,0.13844171166419983,0.2271277755498886
company,0.2333769053220749,0.14609438180923462,0.20467796921730042,0.26591673493385315,0.21352478861808777,0.3903851807117462,0.2293137013912201,0.1323539763689041,0.12950238585472107,0.26591673493385315,0.11376534402370453,0.10346642881631851,0.12195809185504913
also,0.42747777700424194,0.17701663076877594,0.4924938678741455,0.6021018624305725,0.24236126244068146,0.31153735518455505,0.4032125174999237,0.1861303597688675,0.4275238513946533,0.6021018624305725,0.27527010440826416,0.2647361755371094,0.21848613023757935
made,0.23419176042079926,0.23727121949195862,0.33167365193367004,0.3885267674922943,0.13404667377471924,0.17310434579849243,0.3433256447315216,0.20866639912128448,0.2681747078895569,0.3885267674922943,0.14032290875911713,0.206265389919281,0.17218779027462006
their,0.35142919421195984,0.18730859458446503,0.4329940676689148,0.516537070274353,0.18802876770496368,0.23422278463840485,0.2396296262741089,0.19120673835277557,0.3022443354129791,0.516537070274353,0.14342328906059265,0.1663845032453537,0.1898253709077835
super,0.13651713728904724,0.24517762660980225,0.14718765020370483,0.21959073841571808,0.28236693143844604,0.3508962392807007,0.21420986950397491,0.14902544021606445,0.16951335966587067,0.21959073841571808,1.0000001192092896,0.4848237931728363,0.166326642036438
bowl,0.15942467749118805,0.26429256796836853,0.2243070751428604,0.21576224267482758,0.13844171166419983,0.2876890301704407,0.21915455162525177,0.20843535661697388,0.22041946649551392,0.21576224267482758,0.4848237931728363,1.0,0.21118052303791046
debut,0.12330318242311478,0.28497228026390076,0.12960465252399445,0.2226441204547882,0.08198163658380508,0.27663713693618774,0.2954440414905548,0.21967646479606628,0.21755248308181763,0.2226441204547882,0.17349262535572052,0.13468661904335022,0.10726679861545563
",",0.3087472915649414,0.20396199822425842,0.4946078956127167,0.4933079481124878,0.16076964139938354,0.21998582780361176,0.45456063747406006,0.2734745144844055,0.3225448727607727,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
promoting,0.2268388420343399,0.2122424989938736,0.21448925137519836,0.26784375309944153,0.1622014343738556,0.2249043583869934,0.2310066670179367,0.30508798360824585,0.20820634067058563,0.26784375309944153,0.11872433871030807,0.04649815708398819,0.2656548321247101
the,0.42745697498321533,0.29318708181381226,0.733189046382904,1.0,0.22314313054084778,0.30872398614883423,0.48711544275283813,0.27264803647994995,0.4838213622570038,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
20th,0.1850772649049759,0.31932532787323,0.21726468205451965,0.3097512125968933,0.15836814045906067,0.1514570415019989,0.258506178855896,0.1948772370815277,0.19423027336597443,0.3097512125968933,0.2248833030462265,0.16469363868236542,0.14985637366771698
anniversary,0.15616674721240997,1.0,0.2393128126859665,0.29318708181381226,0.20731651782989502,0.15329641103744507,0.28924626111984253,0.588607907295227,0.36299774050712585,0.29318708181381226,0.24517762660980225,0.26429256796836853,0.1981802135705948
of,0.33290785551071167,0.2393128126859665,1.0,0.733189046382904,0.16035597026348114,0.19948603212833405,0.4069072902202606,0.2706945240497589,0.3869180977344513,0.733189046382904,0.14718765020370483,0.2243070751428604,0.1826142966747284
the,0.42745697498321533,0.29318708181381226,0.733189046382904,1.0,0.22314313054084778,0.30872398614883423,0.48711544275283813,0.27264803647994995,0.4838213622570038,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
