,what,kind,of,structure,is,a,carboxysome,?
glaucophyte,0.24588492512702942,0.3426583409309387,0.3159969747066498,0.33624470233917236,0.2786009907722473,0.30251017212867737,0.5134078860282898,0.21570050716400146
chloroplasts,0.2524593770503998,0.25487130880355835,0.23179760575294495,0.40031230449676514,0.22550933063030243,0.24622295796871185,0.6548799872398376,0.13049766421318054
also,0.42747777700424194,0.35271334648132324,0.4924938678741455,0.27168816328048706,0.5012649297714233,0.5149940252304077,0.32261693477630615,0.21848613023757935
contain,0.1832355558872223,0.2706027626991272,0.30574339628219604,0.33000612258911133,0.31030410528182983,0.23510922491550446,0.4751221239566803,0.18853069841861725
concentric,0.29216569662094116,0.2750997543334961,0.23858386278152466,0.29399412870407104,0.24779653549194336,0.23859433829784393,0.41597557067871094,0.1435566246509552
unstacked,0.2799413800239563,0.25135114789009094,0.18266649544239044,0.3002692461013794,0.1816324144601822,0.21435412764549255,0.47460320591926575,0.18766379356384277
thylakoids,0.18655724823474884,0.2580597400665283,0.2329981029033661,0.2608416676521301,0.20917844772338867,0.20871521532535553,0.6208636164665222,0.17522360384464264
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.20300157368183136,0.4691906273365021,0.427140474319458,0.2886542081832886,0.31091248989105225
which,0.5261979103088379,0.4120495617389679,0.5011631846427917,0.4027908146381378,0.4457404911518097,0.56894451379776,0.416332483291626,0.25814583897590637
surround,0.1624242216348648,0.11884091794490814,0.2883262634277344,0.2412685751914978,0.23694965243339539,0.21035946905612946,0.24697814881801605,0.013390609063208103
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.33968499302864075,0.658733606338501,1.0,0.330654501914978,0.23916715383529663
carboxysome,0.277178019285202,0.3275197744369507,0.23964685201644897,0.3959987461566925,0.33101534843444824,0.330654501914978,1.0000001192092896,0.28281453251838684
-,0.13380742073059082,0.16264767944812775,0.2919245660305023,0.19242340326309204,0.30179503560066223,0.3695357143878937,0.22815561294555664,0.3336010277271271
an,0.2821882665157318,0.2510696351528168,0.32280945777893066,0.1671210676431656,0.4654068350791931,0.44552403688430786,0.22529789805412292,0.19793890416622162
icosahedral,0.20843079686164856,0.17247384786605835,0.33280014991760254,0.4054323434829712,0.24557693302631378,0.22928526997566223,0.4300035536289215,0.19141626358032227
structure,0.27351704239845276,0.26130297780036926,0.2599511742591858,1.0000001192092896,0.26677995920181274,0.33968499302864075,0.3959987461566925,0.1770772784948349
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.33507516980171204,0.3995479643344879,0.47537946701049805,0.3784761130809784,0.32716336846351624
glaucophyte,0.24588492512702942,0.3426583409309387,0.3159969747066498,0.33624470233917236,0.2786009907722473,0.30251017212867737,0.5134078860282898,0.21570050716400146
chloroplasts,0.2524593770503998,0.25487130880355835,0.23179760575294495,0.40031230449676514,0.22550933063030243,0.24622295796871185,0.6548799872398376,0.13049766421318054
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.24419280886650085,0.3859752118587494,0.3739250600337982,0.3103582561016083,0.20544172823429108
cyanobacteria,0.2489619106054306,0.26893770694732666,0.2361430525779724,0.3119979500770569,0.1751376986503601,0.22426342964172363,0.586131751537323,0.2106003761291504
keep,0.3147064745426178,0.1966799646615982,0.16512422263622284,0.2709822952747345,0.23241287469863892,0.24626319110393524,0.23879332840442657,0.2537146508693695
their,0.35142919421195984,0.23866921663284302,0.4329940676689148,0.19948741793632507,0.2101074606180191,0.29698723554611206,0.2623033821582794,0.1898253709077835
carbon,0.22238978743553162,0.23868952691555023,0.22596238553524017,0.3054318428039551,0.2770232558250427,0.22569981217384338,0.7587403655052185,0.19040444493293762
fixation,0.2975921332836151,0.3214147984981537,0.2740282714366913,0.3628195822238922,0.26071301102638245,0.2730156481266022,0.4986288249492645,0.16920623183250427
enzyme,0.20453688502311707,0.18267017602920532,0.23405364155769348,0.3327268660068512,0.1687985211610794,0.19758956134319305,0.6158929467201233,0.19525861740112305
rubisco,0.18222950398921967,0.20169483125209808,0.23561188578605652,0.27367010712623596,0.25389885902404785,0.28479453921318054,0.5250478982925415,0.14757676422595978
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.2992834448814392,0.5394441485404968,0.539380669593811,0.25873681902885437,0.20430970191955566
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.26570191979408264,0.4569662809371948,0.50484299659729,0.3000517785549164,0.4130953550338745
