,what,did,kuznets,argue,resulted,from,stages,of,development,?
economist,0.16227665543556213,0.15209758281707764,0.3176610469818115,0.2840360105037689,0.09419423341751099,0.13603578507900238,0.10425040125846863,0.1498451977968216,0.23570607602596283,0.15311987698078156
simon,0.16804955899715424,0.18916982412338257,0.3342934548854828,0.13885357975959778,0.0961119681596756,0.15348833799362183,0.14668342471122742,0.16661307215690613,0.05199743062257767,0.10385744273662567
kuznets,0.1295931190252304,0.1775142401456833,1.0,0.18161524832248688,0.09575247764587402,0.1814202070236206,0.21578101813793182,0.15314316749572754,0.1900709718465805,0.19523082673549652
argued,0.31776854395866394,0.40107595920562744,0.09782971441745758,0.7120472192764282,0.2908262610435486,0.1619374305009842,0.18485289812088013,0.19172857701778412,0.20022206008434296,0.18905270099639893
that,0.6297725439071655,0.47518548369407654,0.19955454766750336,0.403499037027359,0.22833308577537537,0.3477667272090912,0.23051205277442932,0.41498205065727234,0.2717459201812744,0.32716336846351624
levels,0.21641245484352112,0.16511613130569458,0.14368857443332672,0.17616721987724304,0.21111401915550232,0.19019560515880585,0.35263150930404663,0.23668165504932404,0.2981609106063843,0.1541307419538498
of,0.33290785551071167,0.2513895630836487,0.15314316749572754,0.19617585837841034,0.3479447662830353,0.4249346852302551,0.27978867292404175,1.0,0.28700894117355347,0.1826142966747284
economic,0.18082544207572937,0.14787930250167847,0.19276274740695953,0.2858209013938904,0.25914907455444336,0.14037707448005676,0.1536722034215927,0.3030148148536682,0.4335330128669739,0.1206481084227562
inequality,0.30072227120399475,0.2228473722934723,0.14391092956066132,0.3970308005809784,0.2635723948478699,0.06381086260080338,0.1732274740934372,0.27910974621772766,0.312652587890625,0.23619021475315094
are,0.29724663496017456,0.2159031480550766,0.22794824838638306,0.24223986268043518,0.16824959218502045,0.2674213647842407,0.26579415798187256,0.39081433415412903,0.22856876254081726,0.24591213464736938
in,0.30808621644973755,0.2593238651752472,0.2006215751171112,0.15826316177845,0.3197503983974457,0.4274188280105591,0.25691351294517517,0.5696388483047485,0.2550492286682129,0.20430970191955566
large,0.2017821967601776,0.2084006518125534,0.132583886384964,0.13549016416072845,0.27897027134895325,0.24790740013122559,0.14682786166667938,0.3569655418395996,0.19719024002552032,0.1355665624141693
part,0.3476244807243347,0.23558001220226288,0.1347780078649521,0.15776535868644714,0.23752360045909882,0.31841611862182617,0.21406710147857666,0.452393114566803,0.3120373487472534,0.08557961881160736
the,0.42745697498321533,0.34736719727516174,0.2102777063846588,0.20374833047389984,0.2975946068763733,0.40150508284568787,0.29316213726997375,0.733189046382904,0.3362044394016266,0.22068053483963013
result,0.19945499300956726,0.2026577889919281,0.09766612201929092,0.24791881442070007,0.5280629396438599,0.2199978530406952,0.17544664442539215,0.231380432844162,0.1463930755853653,0.17218433320522308
of,0.33290785551071167,0.2513895630836487,0.15314316749572754,0.19617585837841034,0.3479447662830353,0.4249346852302551,0.27978867292404175,1.0,0.28700894117355347,0.1826142966747284
stages,0.18274828791618347,0.1924992799758911,0.21578101813793182,0.1935313642024994,0.17936284840106964,0.17079973220825195,1.0000001192092896,0.27978867292404175,0.3802342712879181,0.12672165036201477
of,0.33290785551071167,0.2513895630836487,0.15314316749572754,0.19617585837841034,0.3479447662830353,0.4249346852302551,0.27978867292404175,1.0,0.28700894117355347,0.1826142966747284
development,0.19014155864715576,0.16852836310863495,0.1900709718465805,0.19532577693462372,0.2293105274438858,0.15210078656673431,0.3802342712879181,0.28700894117355347,0.9999998807907104,0.1211358830332756
.,0.3567904531955719,0.35288307070732117,0.29673638939857483,0.2571897506713867,0.23092694580554962,0.41536515951156616,0.2273997664451599,0.5352458953857422,0.2822875380516052,0.4130953550338745
