,where,is,the,border,of,swiss,and,austria,?
it,0.36972272396087646,0.6328473687171936,0.6251175999641418,0.2761725187301636,0.38761502504348755,0.09293157607316971,0.40957894921302795,0.16302204132080078,0.25732165575027466
is,0.3586711287498474,1.0,0.5823672413825989,0.22676031291484833,0.4854315221309662,0.1405409723520279,0.3859752118587494,0.11112981289625168,0.22961433231830597
located,0.350632905960083,0.35717159509658813,0.407527357339859,0.29692187905311584,0.32520920038223267,0.10872232168912888,0.24183952808380127,0.12011288106441498,0.08983194828033447
at,0.4402937591075897,0.25906258821487427,0.457212895154953,0.18072058260440826,0.42558613419532776,0.12214888632297516,0.3571503460407257,0.17815373837947845,0.21978627145290375
approximately,0.26978567242622375,0.2724578380584717,0.33137547969818115,0.23598913848400116,0.34526896476745605,0.15545591711997986,0.3228789269924164,0.154722198843956,0.10237617790699005
47°39′n,0.16371038556098938,0.10018602013587952,0.036411166191101074,-0.07299363613128662,-0.042414892464876175,0.025034110993146896,0.1222226545214653,-0.05359609052538872,0.2720564901828766
9°19′e﻿,0.16073700785636902,0.012578137218952179,0.12983527779579163,-0.006942899897694588,0.11283659189939499,-0.0971352681517601,0.021241003647446632,-0.10755252838134766,0.1760694682598114
/,0.15516717731952667,0.16165192425251007,0.15604786574840546,0.1618843823671341,0.16604264080524445,0.1470918506383896,0.25436291098594666,0.1767532080411911,0.2429123967885971
﻿47.650°n,0.14972294867038727,0.14965446293354034,0.2340521514415741,0.2572483718395233,0.15827655792236328,0.1413632333278656,0.10945255309343338,0.16472530364990234,0.09396232664585114
9.317°e﻿,0.1385272890329361,0.04701002314686775,0.15047848224639893,0.3037984073162079,0.08719474077224731,0.07900156080722809,0.09035519510507584,0.07088017463684082,-0.017211848869919777
/,0.15516717731952667,0.16165192425251007,0.15604786574840546,0.1618843823671341,0.16604264080524445,0.1470918506383896,0.25436291098594666,0.1767532080411911,0.2429123967885971
47.650,0.09997322410345078,0.09241573512554169,0.08623633533716202,0.0196695439517498,0.03722362965345383,0.15274427831172943,0.09586314111948013,0.07283367216587067,0.08278722316026688
;,-0.020392686128616333,0.05324986204504967,0.09152708947658539,0.10879378765821457,0.054534342139959335,0.006500765215605497,0.08403264731168747,0.07037956267595291,0.10349778085947037
9.317,0.08750025182962418,0.0904654860496521,0.08624180406332016,0.1942778080701828,0.047057244926691055,0.0669330507516861,0.0824325680732727,-0.015910709276795387,0.12310522049665451
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.26349708437919617,0.5352458953857422,0.2041017711162567,0.588965117931366,0.2720036804676056,0.4130953550338745
