,where,was,the,first,settlement,in,victoria,?
the,0.5003893971443176,0.48711544275283813,1.0,0.49448907375335693,0.2599570155143738,0.6662389636039734,0.2204313427209854,0.22068053483963013
first,0.3238157331943512,0.5022147297859192,0.49448907375335693,1.0,0.2673013508319855,0.4127444326877594,0.25445491075515747,0.18701928853988647
settlement,0.18547175824642181,0.2632548213005066,0.2599570155143738,0.2673013508319855,1.0,0.26083990931510925,0.2094486653804779,0.12535437941551208
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.26083990931510925,1.0,0.20823122560977936,0.20430970191955566
the,0.5003893971443176,0.48711544275283813,1.0,0.49448907375335693,0.2599570155143738,0.6662389636039734,0.2204313427209854,0.22068053483963013
area,0.3338260352611542,0.24981513619422913,0.37834644317626953,0.19156944751739502,0.39332449436187744,0.33632898330688477,0.21797068417072296,0.12640461325645447
occurred,0.19075052440166473,0.2760649025440216,0.3372073173522949,0.2866097092628479,0.21096552908420563,0.3479720652103424,0.15987488627433777,0.15880417823791504
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.26083990931510925,1.0,0.20823122560977936,0.20430970191955566
1803,-0.011053339578211308,0.1401054710149765,0.058954332023859024,0.09111350774765015,0.0950850173830986,0.06154744699597359,0.05340192839503288,0.17126776278018951
at,0.4402937591075897,0.36707764863967896,0.457212895154953,0.3138778805732727,0.1622496247291565,0.4374977946281433,0.19641181826591492,0.21978627145290375
sullivan,0.12233718484640121,0.17335061728954315,0.20743423700332642,0.21805287897586823,0.10643292218446732,0.28080272674560547,0.2223072052001953,0.15503181517124176
bay,0.1647798866033554,0.18626409769058228,0.2441686987876892,0.17893928289413452,0.22694264352321625,0.1926257163286209,0.23541772365570068,0.10773546993732452
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.25103551149368286,0.5201468467712402,0.2279360294342041,0.31091248989105225
and,0.43859338760375977,0.3740963041782379,0.5171257257461548,0.3167642652988434,0.24081379175186157,0.4954058527946472,0.24507255852222443,0.20544172823429108
much,0.30434560775756836,0.2580166161060333,0.35023224353790283,0.21792817115783691,0.16334913671016693,0.2725222110748291,0.14623430371284485,0.23442231118679047
of,0.38066378235816956,0.4069072902202606,0.733189046382904,0.3536086082458496,0.25982165336608887,0.5696388483047485,0.2505437433719635,0.1826142966747284
what,0.4457937180995941,0.22111038863658905,0.42745697498321533,0.28086137771606445,0.2558431327342987,0.30808621644973755,0.1194850504398346,0.5051238536834717
is,0.3586711287498474,0.5810302495956421,0.5823672413825989,0.30889374017715454,0.24221304059028625,0.5394441485404968,0.1633591204881668,0.22961433231830597
now,0.3524799346923828,0.35876134037971497,0.38266420364379883,0.3032863736152649,0.23763863742351532,0.3619694113731384,0.18537774682044983,0.29641881585121155
victoria,0.1839742809534073,0.2550773620605469,0.2204313427209854,0.25445491075515747,0.2094486653804779,0.20823122560977936,1.0,0.12246892601251602
was,0.20731619000434875,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.2632548213005066,0.45514053106307983,0.2550773620605469,0.18412111699581146
included,0.18757428228855133,0.3148443400859833,0.3825419843196869,0.23475037515163422,0.16883710026741028,0.32433560490608215,0.16491380333900452,0.14385655522346497
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.26083990931510925,1.0,0.20823122560977936,0.20430970191955566
the,0.5003893971443176,0.48711544275283813,1.0,0.49448907375335693,0.2599570155143738,0.6662389636039734,0.2204313427209854,0.22068053483963013
port,0.18759340047836304,0.22027286887168884,0.2648184895515442,0.16493208706378937,0.3311629593372345,0.20519298315048218,0.2423909604549408,0.06519711017608643
phillip,0.18270231783390045,0.3022705912590027,0.22545047104358673,0.331323504447937,0.28065934777259827,0.22359023988246918,0.33228379487991333,0.14460548758506775
district,0.23424647748470306,0.20266084372997284,0.2690705955028534,0.107394739985466,0.3204529285430908,0.30883273482322693,0.21237048506736755,0.06725285202264786
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.26083990931510925,1.0,0.20823122560977936,0.20430970191955566
1836,0.0968780592083931,0.1037798747420311,0.05051269382238388,0.07296895980834961,-0.010064090602099895,0.04390443488955498,0.06831981241703033,0.47810062766075134
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.25103551149368286,0.5201468467712402,0.2279360294342041,0.31091248989105225
an,0.24824833869934082,0.3694365322589874,0.4207492768764496,0.29757723212242126,0.18905887007713318,0.2605783939361572,0.12262015789747238,0.19793890416622162
administrative,0.19455289840698242,0.17269738018512726,0.25410786271095276,0.11008694767951965,0.32332590222358704,0.2927289605140686,0.12415896356105804,0.15912041068077087
division,0.1718221753835678,0.2174251824617386,0.26203617453575134,0.21919430792331696,0.22630511224269867,0.2658538520336151,0.22457240521907806,0.08900629729032516
of,0.38066378235816956,0.4069072902202606,0.733189046382904,0.3536086082458496,0.25982165336608887,0.5696388483047485,0.2505437433719635,0.1826142966747284
new,0.26026442646980286,0.2748313844203949,0.3845241069793701,0.3283863663673401,0.18585512042045593,0.3758552670478821,0.23444870114326477,0.14782847464084625
south,0.2539864182472229,0.2792486846446991,0.3129390776157379,0.21650062501430511,0.19810427725315094,0.33642083406448364,0.3955533504486084,0.12336621433496475
wales,0.18642514944076538,0.18637675046920776,0.23852568864822388,0.19307951629161835,0.2357039451599121,0.18714384734630585,0.46979740262031555,0.15627945959568024
.,0.41390106081962585,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.233600914478302,0.5591574311256409,0.23069117963314056,0.4130953550338745
