,what,must,the,integer,m,be,less,than,or,equal,to,when,performing,trial,division,?
this,0.5489566326141357,0.3238177001476288,0.6274310946464539,0.24629151821136475,0.18969880044460297,0.566177248954773,0.4385764002799988,0.42539164423942566,0.4406825602054596,0.3286439776420593,0.5759071707725525,0.4959332048892975,0.24527384340763092,0.24076180160045624,0.18374662101268768,0.3155723512172699
routine,0.26591795682907104,0.2680228054523468,0.24846751987934113,0.1564035564661026,0.1739291548728943,0.34122034907341003,0.18348132073879242,0.1471787542104721,0.2861356735229492,0.1981215626001358,0.23437941074371338,0.2516847252845764,0.4115685820579529,0.2850090563297272,0.10291144251823425,0.2015974521636963
consists,0.11367427557706833,0.218284010887146,0.3362659811973572,0.16506947576999664,0.09699695557355881,0.2368895560503006,0.20086294412612915,0.22397543489933014,0.31387242674827576,0.24480128288269043,0.18391861021518707,0.15043675899505615,0.19170433282852173,0.057570669800043106,0.16903673112392426,-0.004641483072191477
of,0.33290785551071167,0.24322323501110077,0.733189046382904,0.158325657248497,0.14254631102085114,0.33904364705085754,0.30836719274520874,0.33036211133003235,0.3792596757411957,0.2787107825279236,0.41548454761505127,0.3757161796092987,0.26357749104499817,0.18292099237442017,0.23579144477844238,0.1826142966747284
dividing,0.2898585796356201,0.19425463676452637,0.37785807251930237,0.4260958731174469,0.14122667908668518,0.2970966696739197,0.34999167919158936,0.28977659344673157,0.32935574650764465,0.30114927887916565,0.2964962124824524,0.3169439136981964,0.15909211337566376,0.06953168660402298,0.38715407252311707,0.11916390061378479
n,0.16510315239429474,0.2495199292898178,0.18813885748386383,0.3231755495071411,0.2713761627674103,0.1837998479604721,0.13571345806121826,0.17394788563251495,0.24063420295715332,0.23031927645206451,0.16421891748905182,0.1968323290348053,0.12232460826635361,0.08063504844903946,0.07021425664424896,0.19161871075630188
by,0.2455483376979828,0.2841154634952545,0.4408751428127289,0.09935232251882553,0.1557406634092331,0.43158695101737976,0.2012643665075302,0.2015816867351532,0.30274316668510437,0.1471099853515625,0.33534231781959534,0.4376842677593231,0.17098991572856903,0.19645525515079498,0.18997035920619965,0.17966607213020325
each,0.3353266417980194,0.39704805612564087,0.470844566822052,0.24905572831630707,0.09985361248254776,0.3907950520515442,0.30097874999046326,0.38285353779792786,0.4373190701007843,0.3578438460826874,0.3941934108734131,0.3531915247440338,0.19626618921756744,0.1787624955177307,0.17283420264720917,0.21173812448978424
integer,0.23293888568878174,0.28751975297927856,0.14182277023792267,1.0,0.2021208107471466,0.2557193338871002,0.25472521781921387,0.2785238027572632,0.2828921973705292,0.34053829312324524,0.18582624197006226,0.15223143994808197,0.14545239508152008,0.1391438990831375,0.19174468517303467,0.2503974437713623
m,0.23871465027332306,0.12821203470230103,0.15156042575836182,0.2021208107471466,0.9999998807907104,0.1864297091960907,0.10772743076086044,0.16420501470565796,0.20984488725662231,0.15907004475593567,0.17626212537288666,0.12186629325151443,0.10182181000709534,0.1259698122739792,0.0917077586054802,0.2618667185306549
that,0.6297725439071655,0.42000943422317505,0.5473989248275757,0.26981496810913086,0.19798317551612854,0.6036020517349243,0.42165717482566833,0.4891277849674225,0.4729836881160736,0.32840782403945923,0.5436353087425232,0.5860282182693481,0.19893968105316162,0.2280535250902176,0.17438095808029175,0.32716336846351624
is,0.28837618231773376,0.3093329071998596,0.5823672413825989,0.2086324691772461,0.22669823467731476,0.4819129705429077,0.3123510479927063,0.2839990258216858,0.41870999336242676,0.20287640392780304,0.42745086550712585,0.3471449911594391,0.19624443352222443,0.17689630389213562,0.20176531374454498,0.22961433231830597
greater,0.1946859508752823,0.1355639100074768,0.2814446687698364,0.271879106760025,0.09676358103752136,0.2287398725748062,0.3872494697570801,0.4072994291782379,0.19565004110336304,0.2925424873828888,0.25585630536079407,0.2015577107667923,0.10147032886743546,0.08452695608139038,0.174183651804924,0.09723397344350815
than,0.29388150572776794,0.2465018779039383,0.3227543234825134,0.2785238027572632,0.16420501470565796,0.46516597270965576,0.7410463690757751,1.0,0.5002588033676147,0.31262290477752686,0.3192550539970398,0.2883036434650421,0.12057700008153915,0.09397592395544052,0.10368574410676956,0.24917294085025787
1,-0.21266892552375793,-0.2533520460128784,-0.1554475575685501,-0.18673858046531677,-0.06499872356653214,-0.2923636734485626,-0.16117142140865326,-0.1783061921596527,-0.21893133223056793,-0.17543677985668182,-0.2769182622432709,-0.2683585286140442,-0.16975706815719604,-0.21023334562778473,-0.09171349555253983,-0.249979168176651
and,0.31309178471565247,0.33253467082977295,0.5171257257461548,0.14794570207595825,0.24238429963588715,0.41766801476478577,0.35327455401420593,0.39361441135406494,0.4713204801082611,0.26747193932533264,0.48971283435821533,0.4716290831565857,0.29659831523895264,0.20515479147434235,0.23460866510868073,0.20544172823429108
less,0.31119704246520996,0.24797827005386353,0.29185041785240173,0.25472521781921387,0.10772743076086044,0.4184514582157135,1.0,0.7410463690757751,0.40981101989746094,0.328950971364975,0.38397523760795593,0.37969323992729187,0.08735431730747223,0.09860829263925552,0.12960347533226013,0.22418740391731262
than,0.29388150572776794,0.2465018779039383,0.3227543234825134,0.2785238027572632,0.16420501470565796,0.46516597270965576,0.7410463690757751,1.0,0.5002588033676147,0.31262290477752686,0.3192550539970398,0.2883036434650421,0.12057700008153915,0.09397592395544052,0.10368574410676956,0.24917294085025787
or,0.33867141604423523,0.43512776494026184,0.4174870550632477,0.2828921973705292,0.20984488725662231,0.5260903835296631,0.40981101989746094,0.5002588033676147,1.0000001192092896,0.31536635756492615,0.38921234011650085,0.417120099067688,0.20283295214176178,0.10594244301319122,0.10904507339000702,0.32389625906944275
equal,0.2397335022687912,0.3677799701690674,0.21154357492923737,0.34053829312324524,0.15907004475593567,0.3166142404079437,0.328950971364975,0.31262290477752686,0.31536635756492615,0.9999999403953552,0.28325995802879333,0.24602913856506348,0.08230333775281906,0.19027918577194214,0.17447055876255035,0.15421567857265472
to,0.455847829580307,0.43356871604919434,0.535392165184021,0.18582624197006226,0.17626212537288666,0.4972836375236511,0.38397523760795593,0.3192550539970398,0.38921234011650085,0.28325995802879333,1.0,0.5423505902290344,0.2703278064727783,0.24072450399398804,0.20332986116409302,0.29463258385658264
the,0.42745697498321533,0.2713140547275543,1.0,0.14182277023792267,0.15156042575836182,0.4248143136501312,0.29185041785240173,0.3227543234825134,0.4174870550632477,0.21154357492923737,0.535392165184021,0.5091903209686279,0.299594521522522,0.20843634009361267,0.26203617453575134,0.22068053483963013
square,0.12660330533981323,0.1991354078054428,0.2809545397758484,0.3511818051338196,0.17713776230812073,0.1619751900434494,0.16155987977981567,0.19550037384033203,0.21422207355499268,0.30605944991111755,0.17897218465805054,0.15257354080677032,0.18495610356330872,0.10855908691883087,0.16126076877117157,0.1201515942811966
root,0.1299125850200653,0.19640888273715973,0.16797003149986267,0.36240383982658386,0.17870847880840302,0.2157777100801468,0.1506502330303192,0.16062074899673462,0.31395891308784485,0.23193539679050446,0.1989881843328476,0.11835093051195145,0.08682775497436523,0.06393849849700928,0.12745505571365356,0.14390654861927032
of,0.33290785551071167,0.24322323501110077,0.733189046382904,0.158325657248497,0.14254631102085114,0.33904364705085754,0.30836719274520874,0.33036211133003235,0.3792596757411957,0.2787107825279236,0.41548454761505127,0.3757161796092987,0.26357749104499817,0.18292099237442017,0.23579144477844238,0.1826142966747284
n.,0.07859472185373306,0.030584074556827545,-0.17575061321258545,-0.07236941903829575,-0.055846262723207474,-0.017347319051623344,-0.07535415887832642,-0.07221844792366028,-0.04391780495643616,-0.07260114699602127,-0.05915246903896332,0.03324570134282112,0.009347237646579742,-0.0019432163098827004,-0.14948402345180511,0.04318316653370857
if,0.5277165174484253,0.5808357000350952,0.33724796772003174,0.38328951597213745,0.1789684295654297,0.5628611445426941,0.4109472334384918,0.387159138917923,0.508355975151062,0.385101854801178,0.4559597074985504,0.5608453154563904,0.16118015348911285,0.2020893096923828,0.1012442484498024,0.4441644251346588
the,0.42745697498321533,0.2713140547275543,1.0,0.14182277023792267,0.15156042575836182,0.4248143136501312,0.29185041785240173,0.3227543234825134,0.4174870550632477,0.21154357492923737,0.535392165184021,0.5091903209686279,0.299594521522522,0.20843634009361267,0.26203617453575134,0.22068053483963013
