,what,was,maria,curie,the,first,female,recipient,of,?
one,0.376489520072937,0.3752199709415436,0.10247346013784409,0.1701274961233139,0.5514441132545471,0.4552372097969055,0.2639651894569397,0.1686515361070633,0.4999135136604309,0.2673267424106598
of,0.33290785551071167,0.4069072902202606,0.2167290449142456,0.2795952260494232,0.733189046382904,0.3536086082458496,0.26416701078414917,0.22786900401115417,1.0,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.15531538426876068,0.2255232334136963,1.0,0.49448907375335693,0.2673940658569336,0.2247254103422165,0.733189046382904,0.22068053483963013
most,0.3219912350177765,0.29933857917785645,0.10189182311296463,0.1390734165906906,0.47635307908058167,0.34339818358421326,0.21267154812812805,0.19410037994384766,0.4178851246833801,0.2107497900724411
famous,0.1616666167974472,0.31606587767601013,0.15317188203334808,0.18672268092632294,0.28616565465927124,0.36207643151283264,0.21798281371593475,0.13546717166900635,0.3074295222759247,0.10379006713628769
people,0.32444337010383606,0.2518421411514282,0.12651340663433075,0.12241271883249283,0.36838498711586,0.19699515402317047,0.17549920082092285,0.18272767961025238,0.3251037895679474,0.23739641904830933
born,0.16581368446350098,0.388632208108902,0.2546442747116089,0.20775820314884186,0.19202874600887299,0.24503421783447266,0.21698401868343353,0.2425277680158615,0.19769194722175598,0.19166848063468933
in,0.30808621644973755,0.45514053106307983,0.20570816099643707,0.24353908002376556,0.6662389636039734,0.4127444326877594,0.1986217200756073,0.2077549695968628,0.5696388483047485,0.20430970191955566
warsaw,0.10373849421739578,0.2614976763725281,0.24506551027297974,0.3345535397529602,0.23137180507183075,0.19408388435840607,0.08794830739498138,0.18346071243286133,0.19253842532634735,0.09769917279481888
was,0.22111038863658905,1.0000001192092896,0.2511068880558014,0.24580621719360352,0.48711544275283813,0.5022147297859192,0.17758683860301971,0.188251331448555,0.4069072902202606,0.18412111699581146
maria,0.157850980758667,0.2511068880558014,0.9999999403953552,0.38819584250450134,0.15531538426876068,0.1931440830230713,0.1589745730161667,0.12621594965457916,0.2167290449142456,0.16458186507225037
skłodowska-curie,0.1830628216266632,0.35623714327812195,0.5184534192085266,0.8163566589355469,0.2656698524951935,0.2627088725566864,0.18012455105781555,0.27911460399627686,0.31845957040786743,0.23305024206638336
",",0.3087472915649414,0.45456063747406006,0.3011101186275482,0.24123455584049225,0.4933079481124878,0.34503069519996643,0.1907428652048111,0.26820051670074463,0.4946078956127167,0.31091248989105225
who,0.40942975878715515,0.3318818509578705,0.20343798398971558,0.19282439351081848,0.3733934462070465,0.39065709710121155,0.3403880000114441,0.2305098921060562,0.2827862501144409,0.26220351457595825
achieved,0.1794850081205368,0.28734347224235535,0.09156953543424606,0.12341836094856262,0.2821090817451477,0.3208148777484894,0.22990354895591736,0.2375800758600235,0.2701522707939148,0.17008265852928162
international,0.10870302468538284,0.22185437381267548,0.08472622185945511,0.18134257197380066,0.23719607293605804,0.2390974909067154,0.1413268744945526,0.15651746094226837,0.23367412388324738,0.15335838496685028
recognition,0.25729188323020935,0.23298479616641998,0.07156780362129211,0.19795861840248108,0.31624147295951843,0.23723255097866058,0.22955544292926788,0.3358039855957031,0.295685350894928,0.20074869692325592
for,0.3017193675041199,0.3863949179649353,0.12140883505344391,0.21733501553535461,0.4739971458911896,0.3800288736820221,0.23349101841449738,0.1770123690366745,0.4185989499092102,0.264628142118454
her,0.2733216881752014,0.34084662795066833,0.38876181840896606,0.2917538583278656,0.354963481426239,0.2701288163661957,0.3560744524002075,0.16267216205596924,0.27399197220802307,0.20310723781585693
research,0.237140491604805,0.21417704224586487,0.04773193970322609,0.3383156657218933,0.24391183257102966,0.19972166419029236,0.1274985522031784,0.17638343572616577,0.22573977708816528,0.13481977581977844
on,0.34226128458976746,0.3909217119216919,0.20156139135360718,0.14783325791358948,0.5107308030128479,0.3120559751987457,0.11599669605493546,0.09621331095695496,0.3966929316520691,0.2714994251728058
radioactivity,0.2828071415424347,0.21809430420398712,0.13893920183181763,0.510650634765625,0.22687268257141113,0.2153242826461792,0.12535737454891205,0.15925264358520508,0.2589235305786133,0.1957060694694519
and,0.31309178471565247,0.3740963041782379,0.19233694672584534,0.2051635980606079,0.5171257257461548,0.3167642652988434,0.2491157501935959,0.20444375276565552,0.5116966962814331,0.20544172823429108
was,0.22111038863658905,1.0000001192092896,0.2511068880558014,0.24580621719360352,0.48711544275283813,0.5022147297859192,0.17758683860301971,0.188251331448555,0.4069072902202606,0.18412111699581146
the,0.42745697498321533,0.48711544275283813,0.15531538426876068,0.2255232334136963,1.0,0.49448907375335693,0.2673940658569336,0.2247254103422165,0.733189046382904,0.22068053483963013
first,0.28086137771606445,0.5022147297859192,0.1931440830230713,0.2167748510837555,0.49448907375335693,1.0,0.2493978887796402,0.2146582007408142,0.3536086082458496,0.18701928853988647
female,0.14235767722129822,0.17758683860301971,0.1589745730161667,0.1348961591720581,0.2673940658569336,0.2493978887796402,0.9999999403953552,0.15038099884986877,0.26416701078414917,0.17839525640010834
recipient,0.13577258586883545,0.188251331448555,0.12621594965457916,0.24601803719997406,0.2247254103422165,0.2146582007408142,0.15038099884986877,1.0,0.22786900401115417,0.11042160540819168
of,0.33290785551071167,0.4069072902202606,0.2167290449142456,0.2795952260494232,0.733189046382904,0.3536086082458496,0.26416701078414917,0.22786900401115417,1.0,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.15531538426876068,0.2255232334136963,1.0,0.49448907375335693,0.2673940658569336,0.2247254103422165,0.733189046382904,0.22068053483963013
nobel,0.20388969779014587,0.2319665551185608,0.22591784596443176,0.44329094886779785,0.1909446120262146,0.25558412075042725,0.1176932230591774,0.4394608736038208,0.20963376760482788,0.15008176863193512
prize,0.1654435694217682,0.2402031123638153,0.2035389393568039,0.35985586047172546,0.18969248235225677,0.2189793735742569,0.12000130861997604,0.45536404848098755,0.2154514491558075,0.14158497750759125
.,0.3567904531955719,0.40146201848983765,0.20531553030014038,0.23284299671649933,0.5934505462646484,0.4345304071903229,0.28143510222435,0.22801387310028076,0.5352458953857422,0.4130953550338745
