,in,what,venue,did,the,nfl,experience,take,place,?
the,0.6662389636039734,0.42745697498321533,0.22078999876976013,0.34736719727516174,1.0,0.15305201709270477,0.21682339906692505,0.31620436906814575,0.4179787337779999,0.22068053483963013
annual,0.2557781934738159,0.14798973500728607,0.2617235481739044,0.13183704018592834,0.2958983778953552,0.11959588527679443,0.14677971601486206,0.14914751052856445,0.2368735522031784,0.1083487942814827
nfl,0.12599408626556396,0.12579965591430664,0.22571583092212677,0.16524574160575867,0.15305201709270477,1.0,0.11086825281381607,0.11460383981466293,0.0805506631731987,0.10610254108905792
experience,0.19806437194347382,0.3894727826118469,0.14959795773029327,0.2411177009344101,0.21682339906692505,0.11086825281381607,1.0000001192092896,0.26562246680259705,0.2259363979101181,0.25203612446784973
was,0.45514053106307983,0.22111038863658905,0.21725919842720032,0.41399896144866943,0.48711544275283813,0.20145657658576965,0.17093802988529205,0.15919329226016998,0.26867109537124634,0.18412111699581146
held,0.3127288818359375,0.0974166989326477,0.34524765610694885,0.18607917428016663,0.32185450196266174,0.15049099922180176,0.1624629646539688,0.283068984746933,0.3675558865070343,0.14103956520557404
at,0.4374977946281433,0.2838611304759979,0.289700448513031,0.28390252590179443,0.457212895154953,0.20260320603847504,0.22353319823741913,0.27566230297088623,0.3307865858078003,0.21978627145290375
the,0.6662389636039734,0.42745697498321533,0.22078999876976013,0.34736719727516174,1.0,0.15305201709270477,0.21682339906692505,0.31620436906814575,0.4179787337779999,0.22068053483963013
moscone,0.28995877504348755,0.14248551428318024,0.26895666122436523,0.1708195060491562,0.30502593517303467,0.26426073908805847,0.09628963470458984,0.16414599120616913,0.21560819447040558,0.10797344148159027
center,0.27253323793411255,0.1908310204744339,0.20663340389728546,0.14647023379802704,0.29064592719078064,0.1418347954750061,0.167202889919281,0.14412224292755127,0.21174256503582,0.12538520991802216
in,1.0,0.30808621644973755,0.24086345732212067,0.2593238651752472,0.6662389636039734,0.12599408626556396,0.19806437194347382,0.21975718438625336,0.38128477334976196,0.20430970191955566
san,0.2617562413215637,0.19375550746917725,0.15182507038116455,0.1785750538110733,0.2858080565929413,0.225969135761261,0.146830752491951,0.13093869388103485,0.19986800849437714,0.10952327400445938
francisco,0.21278683841228485,0.17887917160987854,0.15999378263950348,0.1959451586008072,0.25086042284965515,0.24973660707473755,0.15988704562187195,0.15135663747787476,0.16960975527763367,0.1020219698548317
.,0.5591574311256409,0.3567904531955719,0.21571816504001617,0.35288307070732117,0.5934505462646484,0.1964210718870163,0.22749435901641846,0.3045158088207245,0.2844318151473999,0.4130953550338745
