,when,did,the,age,of,imperialism,end,?
[,0.07002913951873779,0.030549485236406326,0.07130392640829086,0.08417261391878128,0.010817250236868858,0.06294383108615875,0.12012233585119247,0.011015460826456547
citation,0.19754578173160553,0.18243058025836945,0.2536581754684448,0.06564100086688995,0.22959956526756287,0.21147015690803528,0.13730594515800476,0.3382055461406708
needed,0.3670521080493927,0.40049824118614197,0.3064746856689453,0.16462168097496033,0.27215874195098877,0.17554226517677307,0.24135777354240417,0.2863257825374603
],-0.0009315960924141109,0.024806415662169456,-0.04779602214694023,0.048960231244564056,-0.035044461488723755,-0.0032866131514310837,-0.04519457742571831,-0.0022520492784678936
although,0.3650384247303009,0.29252153635025024,0.3265823423862457,0.16131897270679474,0.3024747669696808,0.15906426310539246,0.22611156105995178,0.15541206300258636
imperialist,0.18002305924892426,0.19626596570014954,0.2451922595500946,0.17268306016921997,0.23797295987606049,0.8598127961158752,0.1674991250038147,0.11505735665559769
practices,0.20334583520889282,0.21679148077964783,0.24007414281368256,0.22228072583675385,0.25354546308517456,0.32676568627357483,0.09535932540893555,0.18974241614341736
have,0.40555819869041443,0.3783526122570038,0.40389683842658997,0.1837892234325409,0.3802283704280853,0.1434110701084137,0.24015727639198303,0.32991164922714233
existed,0.2067137509584427,0.30351951718330383,0.32677435874938965,0.22343461215496063,0.2990404963493347,0.24686667323112488,0.3351842761039734,0.17013543844223022
for,0.43402108550071716,0.318512886762619,0.4739971458911896,0.23129768669605255,0.4185989499092102,0.15846435725688934,0.22042374312877655,0.264628142118454
thousands,0.2730526328086853,0.17608793079853058,0.2934577763080597,0.1309082806110382,0.27601075172424316,0.17710790038108826,0.18661890923976898,0.15520451962947845
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2372717410326004,1.0,0.29240643978118896,0.2215006798505783,0.1826142966747284
years,0.3409145474433899,0.2695724070072174,0.2912273406982422,0.477315217256546,0.2904134690761566,0.19049613177776337,0.2339317500591278,0.1914375126361847
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2693369388580322,0.4946078956127167,0.2420617640018463,0.25448864698410034,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.24711290001869202,0.733189046382904,0.2716025412082672,0.39658910036087036,0.22068053483963013
term,0.2727346122264862,0.18552188575267792,0.2740369141101837,0.17679880559444427,0.26047757267951965,0.20526054501533508,0.16119498014450073,0.1901002675294876
``,0.07174111902713776,-0.029888948425650597,0.029072100296616554,0.005039058160036802,0.06780257821083069,0.050459738820791245,0.09823527187108994,0.0685480609536171
age,0.30780088901519775,0.1816447526216507,0.24711290001869202,0.9999998807907104,0.2372717410326004,0.21574589610099792,0.26238057017326355,0.16859300434589386
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2372717410326004,1.0,0.29240643978118896,0.2215006798505783,0.1826142966747284
imperialism,0.18709999322891235,0.23293417692184448,0.2716025412082672,0.21574589610099792,0.29240643978118896,1.0,0.2064834088087082,0.14998586475849152
'',-0.07688097655773163,0.01978493109345436,0.041273195296525955,0.02991303615272045,0.13035868108272552,-0.013202380388975143,-0.02458004280924797,0.018684765323996544
generally,0.38531962037086487,0.27544987201690674,0.41466525197029114,0.1846071034669876,0.3127037584781647,0.18343795835971832,0.17964331805706024,0.23411904275417328
refers,0.16916587948799133,0.1110973134636879,0.3041703402996063,0.13203823566436768,0.341296911239624,0.18211112916469574,0.22388455271720886,0.07924893498420715
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.23830388486385345,0.41548454761505127,0.21685542166233063,0.3229445815086365,0.29463258385658264
the,0.5091903209686279,0.34736719727516174,1.0,0.24711290001869202,0.733189046382904,0.2716025412082672,0.39658910036087036,0.22068053483963013
activities,0.2143339067697525,0.20119842886924744,0.2626894414424896,0.1142522543668747,0.23520112037658691,0.22473649680614471,0.14244501292705536,0.11289679259061813
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2372717410326004,1.0,0.29240643978118896,0.2215006798505783,0.1826142966747284
european,0.1717725396156311,0.2440035194158554,0.3423081040382385,0.1983698159456253,0.2507138252258301,0.29965823888778687,0.16247999668121338,0.14560863375663757
powers,0.252159982919693,0.247842937707901,0.25233519077301025,0.18567711114883423,0.22709226608276367,0.24714867770671844,0.22514156997203827,0.17269276082515717
from,0.405669629573822,0.20248863101005554,0.40150508284568787,0.2786767780780792,0.4249346852302551,0.16361792385578156,0.31609439849853516,0.19969791173934937
the,0.5091903209686279,0.34736719727516174,1.0,0.24711290001869202,0.733189046382904,0.2716025412082672,0.39658910036087036,0.22068053483963013
early,0.32107013463974,0.32047218084335327,0.34442198276519775,0.2912312150001526,0.30937549471855164,0.2828732430934906,0.30789390206336975,0.15272949635982513
18th,0.1745137721300125,0.14576448500156403,0.2844390869140625,0.058909349143505096,0.18507498502731323,0.04843897745013237,0.23616190254688263,0.11879357695579529
century,0.22992412745952606,0.2333737462759018,0.3617299497127533,0.2346789538860321,0.2826060354709625,0.31104740500450134,0.21640616655349731,0.1026201918721199
through,0.34666842222213745,0.14190755784511566,0.44071322679519653,0.14226222038269043,0.3647414743900299,0.13557466864585876,0.2998170554637909,0.16913433372974396
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.23830388486385345,0.41548454761505127,0.21685542166233063,0.3229445815086365,0.29463258385658264
the,0.5091903209686279,0.34736719727516174,1.0,0.24711290001869202,0.733189046382904,0.2716025412082672,0.39658910036087036,0.22068053483963013
middle,0.25323590636253357,0.17732174694538116,0.3405749201774597,0.25346726179122925,0.2799445688724518,0.22373799979686737,0.33562812209129333,0.13139553368091583
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.2372717410326004,1.0,0.29240643978118896,0.2215006798505783,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.24711290001869202,0.733189046382904,0.2716025412082672,0.39658910036087036,0.22068053483963013
20th,0.19096055626869202,0.12900345027446747,0.3097512125968933,0.061113547533750534,0.21726468205451965,0.08483610302209854,0.2590530514717102,0.14985637366771698
century,0.22992412745952606,0.2333737462759018,0.3617299497127533,0.2346789538860321,0.2826060354709625,0.31104740500450134,0.21640616655349731,0.1026201918721199
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2693369388580322,0.4946078956127167,0.2420617640018463,0.25448864698410034,0.31091248989105225
for,0.43402108550071716,0.318512886762619,0.4739971458911896,0.23129768669605255,0.4185989499092102,0.15846435725688934,0.22042374312877655,0.264628142118454
example,0.40509727597236633,0.2528466582298279,0.3755223751068115,0.19014520943164825,0.3570667505264282,0.22554071247577667,0.26052477955818176,0.30374911427497864
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2693369388580322,0.4946078956127167,0.2420617640018463,0.25448864698410034,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.24711290001869202,0.733189046382904,0.2716025412082672,0.39658910036087036,0.22068053483963013
``,0.07174111902713776,-0.029888948425650597,0.029072100296616554,0.005039058160036802,0.06780257821083069,0.050459738820791245,0.09823527187108994,0.0685480609536171
the,0.5091903209686279,0.34736719727516174,1.0,0.24711290001869202,0.733189046382904,0.2716025412082672,0.39658910036087036,0.22068053483963013
great,0.2342798113822937,0.2083706259727478,0.2822027802467346,0.18135710060596466,0.3168134391307831,0.18564727902412415,0.21849025785923004,0.13135133683681488
game,0.22596776485443115,0.19789010286331177,0.285271555185318,0.17505194246768951,0.2298848181962967,0.1655835658311844,0.18264123797416687,0.1829071193933487
'',-0.07688097655773163,0.01978493109345436,0.041273195296525955,0.02991303615272045,0.13035868108272552,-0.013202380388975143,-0.02458004280924797,0.018684765323996544
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.30576348304748535,0.5696388483047485,0.2081184834241867,0.28539085388183594,0.20430970191955566
persian,0.16546429693698883,0.12805257737636566,0.24001385271549225,0.11544346809387207,0.20058591663837433,0.22627705335617065,0.10955442488193512,0.11708208173513412
lands,0.2680283784866333,0.16305740177631378,0.3190511167049408,0.12933248281478882,0.2730972170829773,0.20495085418224335,0.18754659593105316,0.10082722455263138
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2693369388580322,0.4946078956127167,0.2420617640018463,0.25448864698410034,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.24711290001869202,0.733189046382904,0.2716025412082672,0.39658910036087036,0.22068053483963013
``,0.07174111902713776,-0.029888948425650597,0.029072100296616554,0.005039058160036802,0.06780257821083069,0.050459738820791245,0.09823527187108994,0.0685480609536171
scramble,0.2677978575229645,0.19728915393352509,0.28342652320861816,0.043733593076467514,0.25340303778648376,0.18680323660373688,0.20064955949783325,0.22532881796360016
for,0.43402108550071716,0.318512886762619,0.4739971458911896,0.23129768669605255,0.4185989499092102,0.15846435725688934,0.22042374312877655,0.264628142118454
africa,0.18735390901565552,0.1931072473526001,0.2903064787387848,0.1767580658197403,0.2694264054298401,0.30433404445648193,0.1792670637369156,0.12926554679870605
'',-0.07688097655773163,0.01978493109345436,0.041273195296525955,0.02991303615272045,0.13035868108272552,-0.013202380388975143,-0.02458004280924797,0.018684765323996544
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.20936404168605804,0.5116966962814331,0.19073538482189178,0.24708716571331024,0.20544172823429108
the,0.5091903209686279,0.34736719727516174,1.0,0.24711290001869202,0.733189046382904,0.2716025412082672,0.39658910036087036,0.22068053483963013
``,0.07174111902713776,-0.029888948425650597,0.029072100296616554,0.005039058160036802,0.06780257821083069,0.050459738820791245,0.09823527187108994,0.0685480609536171
open,0.21179616451263428,0.12370607256889343,0.2764171361923218,0.1083206981420517,0.17970167100429535,0.15027926862239838,0.2223028540611267,0.20715104043483734
door,0.19560745358467102,0.1123122051358223,0.23557746410369873,0.04258487746119499,0.1459992229938507,0.11023378372192383,0.19873113930225372,0.17460282146930695
policy,0.20549920201301575,0.2751549482345581,0.2358427494764328,0.08489000797271729,0.24393197894096375,0.37139713764190674,0.17898929119110107,0.30462446808815
'',-0.07688097655773163,0.01978493109345436,0.041273195296525955,0.02991303615272045,0.13035868108272552,-0.013202380388975143,-0.02458004280924797,0.018684765323996544
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.30576348304748535,0.5696388483047485,0.2081184834241867,0.28539085388183594,0.20430970191955566
china,0.20798636972904205,0.16472692787647247,0.3110525608062744,0.13905367255210876,0.27699828147888184,0.3532002568244934,0.18170379102230072,0.18007943034172058
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.2498820275068283,0.5352458953857422,0.22279119491577148,0.26526886224746704,0.4130953550338745
