,what,are,the,secondary,sources,of,primary,law,?
secondary,0.20388361811637878,0.24611520767211914,0.21037471294403076,1.0,0.32872334122657776,0.219074085354805,0.6853594779968262,0.1541907638311386,0.18118004500865936
sources,0.30212491750717163,0.3228793740272522,0.27209216356277466,0.32872334122657776,1.0,0.20696839690208435,0.27182701230049133,0.20332248508930206,0.2886999845504761
include,0.1535889357328415,0.5140694975852966,0.2951717972755432,0.2410532385110855,0.2646677792072296,0.37431180477142334,0.20780476927757263,0.1344868391752243,0.14925788342952728
regulations,0.21871556341648102,0.3044874966144562,0.31027951836586,0.27561432123184204,0.28339657187461853,0.24404282867908478,0.21560321748256683,0.3650396764278412,0.17806588113307953
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.25317713618278503,0.27464351058006287,0.5116966962814331,0.2539214491844177,0.254730761051178,0.20544172823429108
directives,0.19725696742534637,0.2299126833677292,0.24181346595287323,0.2246655374765396,0.21460579335689545,0.1738433986902237,0.23608696460723877,0.27248021960258484,0.14184632897377014
which,0.5261979103088379,0.42922598123550415,0.6521818041801453,0.29409417510032654,0.2549097537994385,0.5011631846427917,0.3064635396003723,0.20205146074295044,0.25814583897590637
are,0.29724663496017456,1.0,0.40399202704429626,0.24611520767211914,0.3228793740272522,0.39081433415412903,0.24237659573554993,0.13009320199489594,0.24591213464736938
based,0.274813175201416,0.3002447783946991,0.29860720038414,0.16932226717472076,0.21867375075817108,0.3033197224140167,0.23915943503379822,0.16349846124649048,0.134929820895195
on,0.34226128458976746,0.268924742937088,0.5107308030128479,0.19624076783657074,0.29381874203681946,0.3966929316520691,0.2339327335357666,0.13878796994686127,0.2714994251728058
the,0.42745697498321533,0.40399202704429626,1.0,0.21037471294403076,0.27209216356277466,0.733189046382904,0.25688621401786804,0.24548950791358948,0.22068053483963013
treaties,0.2403455525636673,0.23368829488754272,0.28970760107040405,0.09862404316663742,0.1747671216726303,0.3281906247138977,0.13191401958465576,0.39653173089027405,0.1693580597639084
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.195527583360672,0.25805729627609253,0.5352458953857422,0.22422198951244354,0.24482665956020355,0.4130953550338745
