,which,direction,did,the,disease,first,move,in,?
from,0.38755592703819275,0.19012711942195892,0.20248863101005554,0.40150508284568787,0.28593382239341736,0.23348960280418396,0.23929353058338165,0.4274188280105591,0.19969791173934937
italy,0.23020818829536438,0.18099048733711243,0.10825580358505249,0.2633645832538605,0.18530432879924774,0.19621868431568146,0.10341085493564606,0.3334544897079468,0.11567100137472153
",",0.3658004403114319,0.23287029564380646,0.3015086054801941,0.4933079481124878,0.29627472162246704,0.34503069519996643,0.25767531991004944,0.5201468467712402,0.31091248989105225
the,0.6521818041801453,0.28851455450057983,0.34736719727516174,1.0,0.22720423340797424,0.49448907375335693,0.29817628860473633,0.6662389636039734,0.22068053483963013
disease,0.24897535145282745,0.1595439463853836,0.18150202929973602,0.22720423340797424,1.0,0.10516604036092758,0.1752452403306961,0.2769028842449188,0.16159942746162415
spread,0.31588253378868103,0.15058785676956177,0.1917719841003418,0.28994160890579224,0.36523008346557617,0.12194301933050156,0.21949991583824158,0.24312569200992584,0.16482828557491302
northwest,0.2208116352558136,0.23292949795722961,0.1470927894115448,0.3162118196487427,0.20314623415470123,0.20077845454216003,0.2246621698141098,0.34818974137306213,0.15228797495365143
across,0.3903377950191498,0.26800477504730225,0.165368914604187,0.3816230297088623,0.16725283861160278,0.19914396107196808,0.26848241686820984,0.36988839507102966,0.17034576833248138
europe,0.23978596925735474,0.16190692782402039,0.22473940253257751,0.34463706612586975,0.1432574838399887,0.29071953892707825,0.17068138718605042,0.33061710000038147,0.18278923630714417
",",0.3658004403114319,0.23287029564380646,0.3015086054801941,0.4933079481124878,0.29627472162246704,0.34503069519996643,0.25767531991004944,0.5201468467712402,0.31091248989105225
striking,0.3206896185874939,0.27131277322769165,0.2401355803012848,0.26894596219062805,0.0759148970246315,0.19312699139118195,0.270711213350296,0.22944436967372894,0.11332554370164871
france,0.1980295330286026,0.1918213814496994,0.2138325721025467,0.35517507791519165,0.2188250869512558,0.24946118891239166,0.1416676789522171,0.3812309503555298,0.15069349110126495
",",0.3658004403114319,0.23287029564380646,0.3015086054801941,0.4933079481124878,0.29627472162246704,0.34503069519996643,0.25767531991004944,0.5201468467712402,0.31091248989105225
spain,0.19385381042957306,0.17038361728191376,0.14855723083019257,0.259463906288147,0.17549294233322144,0.1863037794828415,0.09569581598043442,0.29744213819503784,0.16814002394676208
",",0.3658004403114319,0.23287029564380646,0.3015086054801941,0.4933079481124878,0.29627472162246704,0.34503069519996643,0.25767531991004944,0.5201468467712402,0.31091248989105225
