,where,are,nearly,all,teachers,taught,?
in,0.5344807505607605,0.3841303884983063,0.3414846360683441,0.3335905969142914,0.2128150761127472,0.24230356514453888,0.20430970191955566
almost,0.2720276713371277,0.34548285603523254,0.721230685710907,0.5180846452713013,0.14398182928562164,0.18317721784114838,0.1372147500514984
all,0.36365973949432373,0.5343062281608582,0.4588586390018463,1.0000001192092896,0.2889573872089386,0.2077711820602417,0.29575422406196594
countries,0.2731434106826782,0.35174399614334106,0.22210341691970825,0.3089151084423065,0.2734912931919098,0.1866813600063324,0.15128466486930847
teachers,0.21712590754032135,0.2565288841724396,0.13206632435321808,0.2889573872089386,1.0,0.58847576379776,0.19522249698638916
are,0.32389864325523376,1.0,0.29865899682044983,0.5343062281608582,0.2565288841724396,0.15458330512046814,0.24591213464736938
educated,0.1961560845375061,0.1411253958940506,0.21650922298431396,0.13843539357185364,0.5118765234947205,0.595543384552002,0.1427479386329651
in,0.5344807505607605,0.3841303884983063,0.3414846360683441,0.3335905969142914,0.2128150761127472,0.24230356514453888,0.20430970191955566
a,0.40997210144996643,0.265255331993103,0.28323811292648315,0.2696802616119385,0.2509842813014984,0.17421811819076538,0.23916715383529663
university,0.26550742983818054,0.16609783470630646,0.18594327569007874,0.19795121252536774,0.4543011486530304,0.41415536403656006,0.11887256056070328
or,0.3651050925254822,0.5374364256858826,0.2702123820781708,0.3321593105792999,0.2126750648021698,0.15108028054237366,0.32389625906944275
college,0.1927255094051361,0.13193604350090027,0.16525915265083313,0.18379542231559753,0.44436582922935486,0.41563016176223755,0.11076676845550537
.,0.41390106081962585,0.3452940285205841,0.34087124466896057,0.43406882882118225,0.24628326296806335,0.25649359822273254,0.4130953550338745
