,when,was,al-banna,assassinated,?
some,0.386913925409317,0.21528802812099457,0.18099960684776306,0.13093692064285278,0.2562315762042999
elements,0.20308180153369904,0.17981117963790894,0.18180108070373535,0.04351462423801422,0.15222592651844025
of,0.3757161796092987,0.4069072902202606,0.1987224668264389,0.22067059576511383,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.20889347791671753,0.18071621656417847,0.22068053483963013
brotherhood,0.18140225112438202,0.2586901783943176,0.28042298555374146,0.2965102791786194,0.1117945984005928
",",0.36674630641937256,0.45456063747406006,0.3537161350250244,0.242898091673851,0.31091248989105225
though,0.45963284373283386,0.34332048892974854,0.20562662184238434,0.11636315286159515,0.3188856542110443
perhaps,0.29694464802742004,0.24803057312965393,0.19472120702266693,0.12259097397327423,0.4211712181568146
against,0.32684949040412903,0.22972732782363892,0.1845269799232483,0.2707485258579254,0.18095137178897858
orders,0.22304923832416534,0.2057829052209854,0.17121829092502594,0.26770517230033875,0.18005457520484924
",",0.36674630641937256,0.45456063747406006,0.3537161350250244,0.242898091673851,0.31091248989105225
did,0.3228907287120819,0.41399896144866943,0.19210219383239746,0.1890297681093216,0.3023456633090973
engage,0.19511307775974274,0.0802401676774025,0.16825814545154572,0.12718568742275238,0.1593245565891266
in,0.4431333839893341,0.45514053106307983,0.1949760913848877,0.12839335203170776,0.20430970191955566
violence,0.2319701910018921,0.1779039204120636,0.22802728414535522,0.2787171006202698,0.20634515583515167
against,0.32684949040412903,0.22972732782363892,0.1845269799232483,0.2707485258579254,0.18095137178897858
the,0.5091903209686279,0.48711544275283813,0.20889347791671753,0.18071621656417847,0.22068053483963013
government,0.23078718781471252,0.2995857298374176,0.2151508927345276,0.299918532371521,0.18851417303085327
",",0.36674630641937256,0.45456063747406006,0.3537161350250244,0.242898091673851,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.226582869887352,0.1572960466146469,0.20544172823429108
its,0.34032323956489563,0.3518870174884796,0.1386038213968277,0.026605071499943733,0.15103481709957123
founder,0.11711053550243378,0.3223331570625305,0.20987720787525177,0.25674816966056824,0.13665783405303955
al-banna,0.12005611509084702,0.2766362726688385,1.0,0.28293776512145996,0.29599466919898987
was,0.37326499819755554,1.0000001192092896,0.2766362726688385,0.25925588607788086,0.18412111699581146
assassinated,0.15777146816253662,0.25925588607788086,0.28293776512145996,1.0,0.1823584884405136
in,0.4431333839893341,0.45514053106307983,0.1949760913848877,0.12839335203170776,0.20430970191955566
1949,0.14364370703697205,0.22808216512203217,0.049586739391088486,0.10200348496437073,0.16888584196567535
in,0.4431333839893341,0.45514053106307983,0.1949760913848877,0.12839335203170776,0.20430970191955566
retaliation,0.25199323892593384,0.21700797975063324,0.2990027368068695,0.36999842524528503,0.19268658757209778
for,0.43402108550071716,0.3863949179649353,0.14127908647060394,0.18229307234287262,0.264628142118454
the,0.5091903209686279,0.48711544275283813,0.20889347791671753,0.18071621656417847,0.22068053483963013
assassination,0.18559332191944122,0.2552372217178345,0.2580013573169708,0.9048444628715515,0.21308238804340363
of,0.3757161796092987,0.4069072902202606,0.1987224668264389,0.22067059576511383,0.1826142966747284
egypt,0.2453436702489853,0.20915520191192627,0.2544606924057007,0.30496299266815186,0.17769601941108704
's,-0.03368149697780609,0.008974763564765453,0.04110683500766754,-0.08699807524681091,-0.023395681753754616
premier,0.13703127205371857,0.205341175198555,0.2285861372947693,0.18338587880134583,0.1292608082294464
mahmud,0.1654699444770813,0.2541752755641937,0.4216552972793579,0.3589230179786682,0.20877636969089508
fami,0.0743388831615448,0.27327340841293335,0.2984328269958496,0.22554445266723633,0.18283645808696747
naqrashi,0.14734415709972382,0.23961545526981354,0.3064093291759491,0.14294789731502533,0.15824902057647705
three,0.2820437252521515,0.2748996615409851,0.153564453125,0.19145867228507996,0.20928427577018738
months,0.3821748197078705,0.30324822664260864,0.14804166555404663,0.207621768116951,0.2804218530654907
earlier,0.2809809148311615,0.3443564474582672,0.24914395809173584,0.16928912699222565,0.13306351006031036
.,0.475719153881073,0.40146201848983765,0.3204165995121002,0.24248355627059937,0.4130953550338745
