,what,type,of,turing,machine,is,capable,of,multiple,actions,and,extends,into,a,variety,of,computational,paths,?
algorithms,0.25635042786598206,0.1785464584827423,0.22317801415920258,0.45750296115875244,0.28521254658699036,0.24730736017227173,0.22463712096214294,0.22317801415920258,0.23488739132881165,0.17581582069396973,0.13509784638881683,0.10134415328502655,0.09028791636228561,0.21237695217132568,0.22599118947982788,0.22317801415920258,0.6361116766929626,0.275444895029068,0.186949223279953
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.3136295974254608,0.2756650745868683,0.3995479643344879,0.3044392168521881,0.41498205065727234,0.25217002630233765,0.35350626707077026,0.4731321930885315,0.2665335536003113,0.3239944875240326,0.47537946701049805,0.3036198318004608,0.41498205065727234,0.3084385395050049,0.24307715892791748,0.32716336846351624
use,0.3453877568244934,0.32010024785995483,0.2750902473926544,0.21024121344089508,0.2811545729637146,0.3357410430908203,0.29209837317466736,0.2750902473926544,0.24696239829063416,0.25385621190071106,0.34145063161849976,0.21440203487873077,0.2559370994567871,0.30793872475624084,0.292659729719162,0.2750902473926544,0.363027960062027,0.2526155412197113,0.32795652747154236
random,0.26424384117126465,0.17731410264968872,0.25178858637809753,0.24123716354370117,0.18515454232692719,0.20071181654930115,0.22346478700637817,0.25178858637809753,0.30551984906196594,0.18246883153915405,0.22445151209831238,0.08078418672084808,0.1778290867805481,0.28376004099845886,0.18194830417633057,0.25178858637809753,0.3994736969470978,0.25340911746025085,0.23617395758628845
bits,0.27468442916870117,0.19192291796207428,0.2531026005744934,0.2283630520105362,0.2961024045944214,0.26384320855140686,0.2622961401939392,0.2531026005744934,0.25044143199920654,0.27946534752845764,0.2434743493795395,0.206946462392807,0.23330947756767273,0.28394702076911926,0.24738644063472748,0.2531026005744934,0.39013010263442993,0.23431214690208435,0.15402674674987793
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.17666763067245483,0.17000128328800201,0.5330929756164551,0.328324556350708,0.39081433415412903,0.2621883153915405,0.26690158247947693,0.48576638102531433,0.23563255369663239,0.2930682599544525,0.265255331993103,0.36509984731674194,0.39081433415412903,0.2675340473651886,0.30945461988449097,0.24591213464736938
called,0.3235960602760315,0.30593958497047424,0.4222904443740845,0.2134169489145279,0.24897980690002441,0.430266410112381,0.12457998096942902,0.4222904443740845,0.08123380690813065,0.16528703272342682,0.3251761794090271,0.20063470304012299,0.3495192527770996,0.4868806302547455,0.19895179569721222,0.4222904443740845,0.16375264525413513,0.19822204113006592,0.18963319063186646
randomized,0.2504320442676544,0.20901435613632202,0.22611919045448303,0.32933542132377625,0.23275409638881683,0.17556066811084747,0.26939156651496887,0.22611919045448303,0.3232855498790741,0.26709386706352234,0.21719346940517426,0.13612818717956543,0.2107527107000351,0.30633705854415894,0.22809569537639618,0.22611919045448303,0.45024845004081726,0.20030029118061066,0.21367694437503815
algorithms,0.25635042786598206,0.1785464584827423,0.22317801415920258,0.45750296115875244,0.28521254658699036,0.24730736017227173,0.22463712096214294,0.22317801415920258,0.23488739132881165,0.17581582069396973,0.13509784638881683,0.10134415328502655,0.09028791636228561,0.21237695217132568,0.22599118947982788,0.22317801415920258,0.6361116766929626,0.275444895029068,0.186949223279953
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.19254323840141296,0.20798662304878235,0.4569662809371948,0.17216666042804718,0.5352458953857422,0.19866929948329926,0.2696916162967682,0.588965117931366,0.21232323348522186,0.26250120997428894,0.50484299659729,0.18405137956142426,0.5352458953857422,0.24047870934009552,0.19872689247131348,0.4130953550338745
,what,type,of,turing,machine,is,capable,of,multiple,actions,and,extends,into,a,variety,of,computational,paths,?
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.25234705209732056,0.24983544647693634,0.658733606338501,0.23905758559703827,0.5052502155303955,0.23904410004615784,0.22348695993423462,0.3739250600337982,0.31541815400123596,0.3461161255836487,1.0,0.24877072870731354,0.5052502155303955,0.29858994483947754,0.20598562061786652,0.23916715383529663
non-deterministic,0.4249761998653412,0.2389969676733017,0.37207725644111633,0.41113001108169556,0.2774420380592346,0.34313321113586426,0.3804266154766083,0.37207725644111633,0.27449411153793335,0.32266977429389954,0.28473156690597534,0.34600138664245605,0.20434382557868958,0.35841843485832214,0.2775413393974304,0.37207725644111633,0.5867934823036194,0.26122593879699707,0.284718781709671
turing,0.2806522250175476,0.044547878205776215,0.2670239806175232,1.0000001192092896,0.4048772156238556,0.18364353477954865,0.21797388792037964,0.2670239806175232,0.2789539694786072,0.29611268639564514,0.22459711134433746,0.08337412029504776,0.17001140117645264,0.25234705209732056,0.22021251916885376,0.2670239806175232,0.500740647315979,0.19174741208553314,0.1460462063550949
machine,0.23075932264328003,0.21776969730854034,0.15468473732471466,0.4048772156238556,1.0,0.18938691914081573,0.34241783618927,0.15468473732471466,0.23844586312770844,0.2045169323682785,0.20538194477558136,0.0792471393942833,0.2012409269809723,0.24983544647693634,0.1855197250843048,0.15468473732471466,0.3237122893333435,0.13829120993614197,0.17587624490261078
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.18364353477954865,0.18938691914081573,1.0,0.20792298018932343,0.4854315221309662,0.12635007500648499,0.17133161425590515,0.3859752118587494,0.36938562989234924,0.2619607150554657,0.658733606338501,0.1789252758026123,0.4854315221309662,0.2470806986093521,0.18063242733478546,0.22961433231830597
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.25234705209732056,0.24983544647693634,0.658733606338501,0.23905758559703827,0.5052502155303955,0.23904410004615784,0.22348695993423462,0.3739250600337982,0.31541815400123596,0.3461161255836487,1.0,0.24877072870731354,0.5052502155303955,0.29858994483947754,0.20598562061786652,0.23916715383529663
