,how,is,oxygen,ranked,as,abundant,in,the,universe,?
oxygen,0.21928748488426208,0.21825239062309265,0.9999999403953552,0.062475476413965225,0.16691245138645172,0.4410693645477295,0.1672476977109909,0.20428593456745148,0.173919215798378,0.16786395013332367
is,0.22544461488723755,1.0,0.21825239062309265,0.180992990732193,0.43216490745544434,0.28058749437332153,0.5394441485404968,0.5823672413825989,0.22245483100414276,0.22961433231830597
the,0.33890387415885925,0.5823672413825989,0.20428593456745148,0.2711145281791687,0.48381632566452026,0.24729062616825104,0.6662389636039734,1.0,0.23688684403896332,0.22068053483963013
third,0.14508451521396637,0.31551501154899597,0.1117219552397728,0.26151567697525024,0.19291457533836365,0.11704028397798538,0.3309578001499176,0.4229298532009125,0.13811974227428436,0.15394791960716248
most,0.311336874961853,0.41165053844451904,0.21728017926216125,0.3533777892589569,0.3548237979412079,0.39561912417411804,0.41416558623313904,0.47635307908058167,0.2293161004781723,0.2107497900724411
abundant,0.16567765176296234,0.28058749437332153,0.4410693645477295,0.11551892757415771,0.23408348858356476,0.9999999403953552,0.21504533290863037,0.24729062616825104,0.1803348809480667,0.13836130499839783
chemical,0.2860504388809204,0.2387559562921524,0.46001601219177246,0.12711352109909058,0.25971847772598267,0.2747490704059601,0.23203688859939575,0.18641819059848785,0.19934381544589996,0.2040288895368576
element,0.23025715351104736,0.3385811448097229,0.35867807269096375,0.14307533204555511,0.24363625049591064,0.2870469093322754,0.16983667016029358,0.2041647583246231,0.28245818614959717,0.18393386900424957
in,0.2601168751716614,0.5394441485404968,0.1672476977109909,0.2005387395620346,0.3887844979763031,0.21504533290863037,1.0,0.6662389636039734,0.18757644295692444,0.20430970191955566
the,0.33890387415885925,0.5823672413825989,0.20428593456745148,0.2711145281791687,0.48381632566452026,0.24729062616825104,0.6662389636039734,1.0,0.23688684403896332,0.22068053483963013
universe,0.25177112221717834,0.22245483100414276,0.173919215798378,0.08020847290754318,0.22046077251434326,0.1803348809480667,0.18757644295692444,0.23688684403896332,1.0,0.22314924001693726
",",0.22659391164779663,0.4691906273365021,0.21812842786312103,0.21935869753360748,0.48816442489624023,0.2686839997768402,0.5201468467712402,0.4933079481124878,0.184484601020813,0.31091248989105225
after,0.23871733248233795,0.2835143506526947,0.16113509237766266,0.1363501250743866,0.3014480769634247,0.09541217237710953,0.44050168991088867,0.4565047025680542,0.08857287466526031,0.16608688235282898
hydrogen,0.23238429427146912,0.24001643061637878,0.571098268032074,0.06981523334980011,0.23012559115886688,0.3369152545928955,0.1982225924730301,0.20406323671340942,0.2615381181240082,0.14590126276016235
and,0.33647966384887695,0.3859752118587494,0.22261030972003937,0.21633140742778778,0.49487000703811646,0.2986568808555603,0.4954058527946472,0.5171257257461548,0.18351790308952332,0.20544172823429108
helium,0.23304013907909393,0.20972669124603271,0.47678452730178833,0.08143752068281174,0.18741172552108765,0.31502196192741394,0.1583023965358734,0.20720821619033813,0.3232251703739166,0.1527850180864334
.,0.3287222981452942,0.4569662809371948,0.2554275095462799,0.21607504785060883,0.515582263469696,0.24012723565101624,0.5591574311256409,0.5934505462646484,0.2225492149591446,0.4130953550338745
