,which,languages,used,the,phags-pa,script,?
since,0.3523256182670593,0.2107110321521759,0.23610791563987732,0.4054957628250122,0.1471116989850998,0.19451652467250824,0.2876587212085724
its,0.5154205560684204,0.2016819417476654,0.294392853975296,0.559237003326416,0.24825869500637054,0.14774124324321747,0.15103481709957123
invention,0.30235785245895386,0.133125439286232,0.3154076039791107,0.22278180718421936,0.2572702169418335,0.14731928706169128,0.15906493365764618
in,0.4840516746044159,0.18883031606674194,0.3090210556983948,0.6662389636039734,0.22265829145908356,0.17682331800460815,0.20430970191955566
1269,-0.01207520067691803,-0.06760188192129135,0.011860646307468414,-0.039344415068626404,-0.0753864198923111,-0.05967184901237488,-0.07175472378730774
",",0.3658004403114319,0.27252396941185,0.3120402991771698,0.4933079481124878,0.2849346399307251,0.193008154630661,0.31091248989105225
the,0.6521818041801453,0.25516149401664734,0.3718377649784088,1.0,0.24130302667617798,0.21384064853191376,0.22068053483963013
'phags-pa,0.30373769998550415,0.22181066870689392,0.16826650500297546,0.23762449622154236,0.9067444801330566,0.21529266238212585,0.1838710904121399
script,0.21700093150138855,0.47569024562835693,0.18677298724651337,0.21384064853191376,0.23073889315128326,1.0,0.24144527316093445
",",0.3658004403114319,0.27252396941185,0.3120402991771698,0.4933079481124878,0.2849346399307251,0.193008154630661,0.31091248989105225
a,0.56894451379776,0.1924087405204773,0.3864384889602661,0.5829201340675354,0.2678508460521698,0.16845141351222992,0.23916715383529663
unified,0.271050363779068,0.1785535216331482,0.211790069937706,0.29028576612472534,0.16609375178813934,0.19641000032424927,0.21746130287647247
script,0.21700093150138855,0.47569024562835693,0.18677298724651337,0.21384064853191376,0.23073889315128326,1.0,0.24144527316093445
for,0.44095608592033386,0.20537924766540527,0.4236139953136444,0.4739971458911896,0.15662969648838043,0.19915854930877686,0.264628142118454
spelling,0.21177315711975098,0.38881444931030273,0.2349344789981842,0.23768942058086395,0.13950857520103455,0.3513249456882477,0.23016591370105743
mongolian,0.2730083167552948,0.2963545024394989,0.14643366634845734,0.2657795250415802,0.24586516618728638,0.3014172613620758,0.13122369349002838
",",0.3658004403114319,0.27252396941185,0.3120402991771698,0.4933079481124878,0.2849346399307251,0.193008154630661,0.31091248989105225
tibetan,0.1925758719444275,0.3339405655860901,0.1841084361076355,0.2316000759601593,0.27074718475341797,0.264970600605011,0.14673879742622375
",",0.3658004403114319,0.27252396941185,0.3120402991771698,0.4933079481124878,0.2849346399307251,0.193008154630661,0.31091248989105225
and,0.506277859210968,0.24802106618881226,0.3150506615638733,0.5171257257461548,0.2730933427810669,0.2026875913143158,0.20544172823429108
chinese,0.21241894364356995,0.22233201563358307,0.2649657428264618,0.2785343527793884,0.24120306968688965,0.22230593860149384,0.20843194425106049
languages,0.24460110068321228,1.0,0.23353742063045502,0.25516149401664734,0.17716240882873535,0.47569024562835693,0.22599908709526062
",",0.3658004403114319,0.27252396941185,0.3120402991771698,0.4933079481124878,0.2849346399307251,0.193008154630661,0.31091248989105225
was,0.2830964922904968,0.1417437046766281,0.23679393529891968,0.48711544275283813,0.19535869359970093,0.18141986429691315,0.18412111699581146
preserved,0.2284197360277176,0.14843009412288666,0.25642988085746765,0.2642197906970978,0.2669450342655182,0.1801304817199707,0.1633087694644928
in,0.4840516746044159,0.18883031606674194,0.3090210556983948,0.6662389636039734,0.22265829145908356,0.17682331800460815,0.20430970191955566
the,0.6521818041801453,0.25516149401664734,0.3718377649784088,1.0,0.24130302667617798,0.21384064853191376,0.22068053483963013
court,0.19263212382793427,0.12458281964063644,0.1653352975845337,0.2812081575393677,0.09895718097686768,0.16022704541683197,0.17100423574447632
until,0.2778668999671936,0.08668149262666702,0.15791192650794983,0.37191009521484375,0.1025245264172554,0.19177326560020447,0.20304496586322784
the,0.6521818041801453,0.25516149401664734,0.3718377649784088,1.0,0.24130302667617798,0.21384064853191376,0.22068053483963013
end,0.31110426783561707,0.18361462652683258,0.21065300703048706,0.39658910036087036,0.14092499017715454,0.11094242334365845,0.12543344497680664
of,0.5011631846427917,0.2423715889453888,0.3075267970561981,0.733189046382904,0.2274245172739029,0.13506785035133362,0.1826142966747284
the,0.6521818041801453,0.25516149401664734,0.3718377649784088,1.0,0.24130302667617798,0.21384064853191376,0.22068053483963013
dynasty,0.1794537752866745,0.13622531294822693,0.15703760087490082,0.26267939805984497,0.20147433876991272,0.21401362121105194,0.15884074568748474
.,0.45942068099975586,0.2219928503036499,0.33111312985420227,0.5934505462646484,0.2411954700946808,0.19065852463245392,0.4130953550338745
