,what,secret,did,he,sever,family,ties,to,keep,hidden,?
in,0.30808621644973755,0.22904783487319946,0.2593238651752472,0.41690486669540405,0.27816376090049744,0.2165997177362442,0.16207359731197357,0.45010748505592346,0.2550279498100281,0.1708582192659378,0.20430970191955566
december,0.19304980337619781,0.14308492839336395,0.2542226016521454,0.27266743779182434,0.22998066246509552,0.15362727642059326,0.11137637495994568,0.21181435883045197,0.18561488389968872,0.09709471464157104,0.2480352818965912
1878,0.06034142151474953,0.14746764302253723,-0.013777859508991241,-0.07503626495599747,-0.09159871935844421,0.08086445182561874,-0.05156758427619934,-0.013903154991567135,0.013586089015007019,0.10446025431156158,0.08696702867746353
",",0.3087472915649414,0.20687520503997803,0.3015086054801941,0.40251094102859497,0.2813892066478729,0.22142739593982697,0.2590780258178711,0.44245919585227966,0.29710182547569275,0.2106602042913437,0.31091248989105225
tesla,0.23221199214458466,0.11752650141716003,0.09757418930530548,0.12373391538858414,0.09201126545667648,0.04926548898220062,0.017783600836992264,0.17548894882202148,0.13103529810905457,0.056500013917684555,0.10250775516033173
left,0.2442072629928589,0.1685035675764084,0.27335280179977417,0.2527402639389038,0.1753721386194229,0.16823795437812805,0.10115976631641388,0.2724500000476837,0.16530373692512512,0.19169484078884125,0.13251960277557373
graz,0.1652703881263733,0.12663602828979492,0.15470579266548157,0.25371554493904114,0.1362287998199463,0.18229183554649353,0.1741011142730713,0.1689763069152832,0.1743614375591278,0.11917882412672043,0.19033589959144592
and,0.31309178471565247,0.20960891246795654,0.34479495882987976,0.45427167415618896,0.2661329209804535,0.23506124317646027,0.32915666699409485,0.48971283435821533,0.2533072531223297,0.23770561814308167,0.20544172823429108
severed,0.10068795084953308,0.08506781607866287,0.17354895174503326,0.24037963151931763,0.5597174167633057,0.1618720144033432,0.2516728639602661,0.20612308382987976,0.138274684548378,0.20322979986667633,0.08613809198141098
all,0.41981086134910583,0.23090021312236786,0.33943864703178406,0.31727755069732666,0.22099415957927704,0.21070411801338196,0.1769353151321411,0.42520734667778015,0.31187498569488525,0.2734755277633667,0.29575422406196594
relations,0.184731587767601,0.23818393051624298,0.2268659770488739,0.23637913167476654,0.21782585978507996,0.24941644072532654,0.44345059990882874,0.273697167634964,0.16288773715496063,0.14018437266349792,0.13942402601242065
with,0.2464839518070221,0.15427957475185394,0.25472134351730347,0.2845253646373749,0.26883018016815186,0.16764762997627258,0.31800684332847595,0.4239959120750427,0.2506358027458191,0.19505630433559418,0.2433311939239502
his,0.26976513862609863,0.2219962477684021,0.3546801507472992,0.7171558737754822,0.25624850392341614,0.26740866899490356,0.23569729924201965,0.3715193271636963,0.19575053453445435,0.15160918235778809,0.18075084686279297
family,0.16391263902187347,0.1990606039762497,0.19502942264080048,0.26473504304885864,0.16558422148227692,0.9999998807907104,0.17053751647472382,0.21285007894039154,0.13543915748596191,0.171714648604393,0.15222905576229095
to,0.455847829580307,0.20223848521709442,0.4452643394470215,0.385390967130661,0.2239743024110794,0.21285007894039154,0.21806193888187408,1.0,0.31550586223602295,0.21207500994205475,0.29463258385658264
hide,0.3019925057888031,0.3434287905693054,0.21967408061027527,0.15631790459156036,0.06155183166265488,0.2279004156589508,0.12840870022773743,0.28861480951309204,0.26865747570991516,0.5772144794464111,0.280157208442688
the,0.42745697498321533,0.23541073501110077,0.34736719727516174,0.4571082592010498,0.31148475408554077,0.2394849956035614,0.21061654388904572,0.535392165184021,0.22379513084888458,0.2697983384132385,0.22068053483963013
fact,0.4454877972602844,0.24116426706314087,0.30747947096824646,0.25343039631843567,0.14050669968128204,0.1852474957704544,0.16698315739631653,0.35271596908569336,0.3051956295967102,0.22511087357997894,0.2798655927181244
that,0.6297725439071655,0.29317769408226013,0.47518548369407654,0.36068853735923767,0.17786040902137756,0.2221977561712265,0.18667694926261902,0.5436353087425232,0.45155078172683716,0.33784446120262146,0.32716336846351624
he,0.3114890456199646,0.18159489333629608,0.3292143940925598,1.0000001192092896,0.24635908007621765,0.26473504304885864,0.16462571918964386,0.385390967130661,0.12944276630878448,0.13743840157985687,0.2089974731206894
dropped,0.1258322298526764,0.15274956822395325,0.3167249262332916,0.2275042086839676,0.20160230994224548,0.16268324851989746,0.1577630490064621,0.22398263216018677,0.18485866487026215,0.17705264687538147,0.1272711455821991
out,0.3633197546005249,0.24071615934371948,0.28413498401641846,0.29240235686302185,0.14173586666584015,0.11229555308818817,0.17617863416671753,0.42386990785598755,0.3271571397781372,0.2338285893201828,0.22020699083805084
of,0.33290785551071167,0.17003418505191803,0.2513895630836487,0.38706058263778687,0.24654273688793182,0.1893671154975891,0.14440490305423737,0.41548454761505127,0.16512422263622284,0.16790804266929626,0.1826142966747284
school,0.18774057924747467,0.11429816484451294,0.19696208834648132,0.3274155557155609,0.1745728850364685,0.19613710045814514,0.11625786870718002,0.24496325850486755,0.084539495408535,0.11326286196708679,0.15091250836849213
.,0.3567904531955719,0.25202471017837524,0.35288307070732117,0.38061028718948364,0.2278001755475998,0.24114800989627838,0.20543749630451202,0.4645031690597534,0.24156734347343445,0.24433697760105133,0.4130953550338745
