,what,type,of,professional,is,a,pharmacy,technician,considered,to,be,?
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2665292024612427,0.658733606338501,1.0,0.21975059807300568,0.22603899240493774,0.36109375953674316,0.45503583550453186,0.39883795380592346,0.23916715383529663
pharmacy,0.21638189256191254,0.07205568999052048,0.18226979672908783,0.17879201471805573,0.16101746261119843,0.21975059807300568,1.0,0.3012925684452057,0.13079343736171722,0.1824638396501541,0.16073517501354218,0.1355620175600052
technician,0.14926432073116302,0.13508321344852448,0.09919387847185135,0.29313841462135315,0.16837115585803986,0.22603899240493774,0.3012925684452057,0.9999998807907104,0.10760630667209625,0.20189866423606873,0.1668359339237213,0.16191186010837555
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.20803587138652802,0.5394441485404968,0.539380669593811,0.22082467377185822,0.19130711257457733,0.28591203689575195,0.45010748505592346,0.3481820821762085,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.1869824379682541,0.5823672413825989,0.5829201340675354,0.1938311904668808,0.16273300349712372,0.4028765559196472,0.535392165184021,0.4248143136501312,0.22068053483963013
uk,0.17163191735744476,0.15166042745113373,0.21513383090496063,0.11517760902643204,0.17650434374809265,0.19665123522281647,0.17869573831558228,0.2226514369249344,0.07150597125291824,0.18409153819084167,0.17617523670196533,0.20222434401512146
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.2246137410402298,1.0,0.658733606338501,0.16101746261119843,0.16837115585803986,0.4096149802207947,0.42745086550712585,0.4819129705429077,0.22961433231830597
considered,0.2834889590740204,0.1710023581981659,0.4190242290496826,0.1546269655227661,0.4096149802207947,0.36109375953674316,0.13079343736171722,0.10760630667209625,1.0,0.2954166829586029,0.41927069425582886,0.19909770786762238
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2665292024612427,0.658733606338501,1.0,0.21975059807300568,0.22603899240493774,0.36109375953674316,0.45503583550453186,0.39883795380592346,0.23916715383529663
health,0.21460163593292236,0.06886095553636551,0.28076469898223877,0.22176985442638397,0.1864514946937561,0.21166443824768066,0.32834142446517944,0.28253981471061707,0.2370816022157669,0.29985085129737854,0.2504793405532837,0.16094304621219635
care,0.2973911762237549,0.10162777453660965,0.20533065497875214,0.2419613003730774,0.1715470850467682,0.19697006046772003,0.2922910749912262,0.24350635707378387,0.222468301653862,0.27786314487457275,0.3111850321292877,0.24279968440532684
professional,0.20202119648456573,0.08592664450407028,0.21265500783920288,1.0,0.2246137410402298,0.2665292024612427,0.17879201471805573,0.29313841462135315,0.1546269655227661,0.20276802778244019,0.14581933617591858,0.13074518740177155
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2247244119644165,0.3859752118587494,0.3739250600337982,0.21655313670635223,0.17816412448883057,0.3359341621398926,0.48971283435821533,0.41766801476478577,0.20544172823429108
often,0.3849453330039978,0.29205119609832764,0.3351972997188568,0.20355857908725739,0.3856629431247711,0.3930865228176117,0.16183310747146606,0.168221116065979,0.4088861346244812,0.4351843297481537,0.463177889585495,0.23748154938220978
does,0.38564667105674744,0.20720529556274414,0.3119818866252899,0.1138366311788559,0.4403602182865143,0.38201746344566345,0.14478608965873718,0.15801012516021729,0.24906520545482635,0.4391997456550598,0.28696945309638977,0.338003009557724
not,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.20438502728939056,0.3776007890701294,0.3791346549987793,0.1692313551902771,0.2056116759777069,0.41997629404067993,0.5149973034858704,0.5788898468017578,0.41942933201789856
work,0.3762225806713104,0.2277381420135498,0.23473061621189117,0.18863148987293243,0.22475390136241913,0.266241192817688,0.2666398286819458,0.2753257155418396,0.23064734041690826,0.3482864499092102,0.34449198842048645,0.2621155381202698
under,0.20154598355293274,0.15308783948421478,0.32766106724739075,0.15765558183193207,0.21294879913330078,0.18317826092243195,0.15990279614925385,0.2039872258901596,0.1658862978219986,0.27177539467811584,0.23514987528324127,0.18233340978622437
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.1869824379682541,0.5823672413825989,0.5829201340675354,0.1938311904668808,0.16273300349712372,0.4028765559196472,0.535392165184021,0.4248143136501312,0.22068053483963013
direct,0.26271191239356995,0.23768377304077148,0.2533726394176483,0.0899595245718956,0.20874382555484772,0.27544090151786804,0.14193293452262878,0.16612088680267334,0.2360951006412506,0.3420579433441162,0.2963159680366516,0.18476411700248718
supervision,0.26797887682914734,0.11216505616903305,0.28110307455062866,0.20210814476013184,0.19546939432621002,0.22977367043495178,0.261055052280426,0.3383992612361908,0.17300373315811157,0.2330276221036911,0.21504198014736176,0.1730845719575882
of,0.33290785551071167,0.18112817406654358,1.0,0.21265500783920288,0.4854315221309662,0.5052502155303955,0.18226979672908783,0.09919387847185135,0.4190242290496826,0.41548454761505127,0.33904364705085754,0.1826142966747284
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2665292024612427,0.658733606338501,1.0,0.21975059807300568,0.22603899240493774,0.36109375953674316,0.45503583550453186,0.39883795380592346,0.23916715383529663
pharmacist,0.19447070360183716,0.0678543969988823,0.18185114860534668,0.2117810994386673,0.15192237496376038,0.24351514875888824,0.8203567266464233,0.3798934817314148,0.17428246140480042,0.14544889330863953,0.1711660921573639,0.1397853046655655
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.22679844498634338,0.35393038392066956,0.3206180930137634,0.20144130289554596,0.16734495759010315,0.22818490862846375,0.30882009863853455,0.2349044382572174,0.40561532974243164
if,0.5277165174484253,0.2994624078273773,0.2557544410228729,0.12222517281770706,0.30927813053131104,0.41272827982902527,0.1983371078968048,0.18692447245121002,0.2923738658428192,0.4559597074985504,0.5628611445426941,0.4441644251346588
