,what,state,in,australia,is,the,center,of,dairy,farming,?
victoria,0.1194850504398346,0.23197819292545319,0.20823122560977936,0.5548879504203796,0.1633591204881668,0.2204313427209854,0.03284274414181709,0.2505437433719635,0.23784585297107697,0.2540217339992523,0.12246892601251602
is,0.28837618231773376,0.2627358138561249,0.5394441485404968,0.1734699010848999,1.0,0.5823672413825989,0.24782158434391022,0.4854315221309662,0.23280000686645508,0.2553817927837372,0.22961433231830597
the,0.42745697498321533,0.3097178041934967,0.6662389636039734,0.26828548312187195,0.5823672413825989,1.0,0.29064592719078064,0.733189046382904,0.1809113621711731,0.26529598236083984,0.22068053483963013
centre,0.12324132025241852,0.08747870475053787,0.2765078544616699,0.21029731631278992,0.29804176092147827,0.32783594727516174,0.5607178807258606,0.2769378423690796,0.1866382211446762,0.2679345905780792,0.019365152344107628
of,0.33290785551071167,0.34253445267677307,0.5696388483047485,0.2669609785079956,0.4854315221309662,0.733189046382904,0.24526838958263397,1.0,0.19305698573589325,0.271381139755249,0.1826142966747284
dairy,0.14052648842334747,0.1616017371416092,0.18047009408473969,0.23113279044628143,0.23280000686645508,0.1809113621711731,0.08216925710439682,0.19305698573589325,0.9999999403953552,0.532627284526825,0.14835722744464874
farming,0.2238052934408188,0.21820959448814392,0.2961566150188446,0.2351723462343216,0.2553817927837372,0.26529598236083984,0.17618390917778015,0.271381139755249,0.532627284526825,1.0,0.17990408837795258
in,0.30808621644973755,0.33316072821617126,1.0,0.2697675824165344,0.5394441485404968,0.6662389636039734,0.27253323793411255,0.5696388483047485,0.18047009408473969,0.2961566150188446,0.20430970191955566
australia,0.1913539320230484,0.19653691351413727,0.2697675824165344,1.0,0.1734699010848999,0.26828548312187195,0.08234073966741562,0.2669609785079956,0.23113279044628143,0.2351723462343216,0.15702682733535767
.,0.3567904531955719,0.31380724906921387,0.5591574311256409,0.2899940609931946,0.4569662809371948,0.5934505462646484,0.29649654030799866,0.5352458953857422,0.24739117920398712,0.3119760751724243,0.4130953550338745
