,what,is,the,atomic,number,of,the,element,oxygen,?
oxygen,0.16781960427761078,0.21825239062309265,0.20428593456745148,0.3498596251010895,0.18965746462345123,0.16848602890968323,0.20428593456745148,0.35867807269096375,0.9999999403953552,0.16786395013332367
is,0.28837618231773376,1.0,0.5823672413825989,0.1635025292634964,0.22390379011631012,0.4854315221309662,0.5823672413825989,0.3385811448097229,0.21825239062309265,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2021433413028717,0.2992287278175354,0.5052502155303955,0.5829201340675354,0.3271445333957672,0.21662019193172455,0.23916715383529663
chemical,0.26249468326568604,0.2387559562921524,0.18641819059848785,0.46276310086250305,0.20794881880283356,0.22874756157398224,0.18641819059848785,0.46332550048828125,0.46001601219177246,0.2040288895368576
element,0.24694041907787323,0.3385811448097229,0.2041647583246231,0.46926116943359375,0.2513018548488617,0.21102571487426758,0.2041647583246231,1.0,0.35867807269096375,0.18393386900424957
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.16652131080627441,0.2513769268989563,0.41827285289764404,0.4223487675189972,0.19572675228118896,0.200663760304451,0.2433311939239502
symbol,0.17314639687538147,0.24105875194072723,0.22023849189281464,0.31597644090652466,0.22396087646484375,0.25313764810562134,0.22023849189281464,0.4449707567691803,0.13148684799671173,0.1418723464012146
o,0.1489914506673813,0.18684464693069458,0.19071193039417267,0.14572952687740326,0.13651412725448608,0.16054381430149078,0.19071193039417267,0.12802910804748535,0.2476140707731247,0.23868927359580994
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.19259218871593475,0.28545793890953064,0.5116966962814331,0.5171257257461548,0.16833719611167908,0.22261030972003937,0.20544172823429108
atomic,0.24257957935333252,0.1635025292634964,0.20241498947143555,1.0000001192092896,0.29256096482276917,0.2374633401632309,0.20241498947143555,0.46926116943359375,0.3498596251010895,0.16654692590236664
number,0.23046229779720306,0.22390379011631012,0.35145696997642517,0.29256096482276917,1.0,0.2778518795967102,0.35145696997642517,0.2513018548488617,0.18965746462345123,0.19256845116615295
8,-0.005443718284368515,-0.08846429735422134,0.0063715726137161255,0.0024880440905690193,0.015012498944997787,0.03280399739742279,0.0063715726137161255,0.0035096798092126846,-0.03959163650870323,-0.04056251794099808
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2299385666847229,0.3256329298019409,0.5352458953857422,0.5934505462646484,0.24230757355690002,0.2554275095462799,0.4130953550338745
