,what,is,a,statocyst,?
its,0.30393704771995544,0.4447362422943115,0.4424409866333008,0.29948166012763977,0.15103481709957123
main,0.2344268560409546,0.3009335994720459,0.27217230200767517,0.18977458775043488,0.1665669083595276
component,0.19980107247829437,0.327473908662796,0.3017847537994385,0.4436861276626587,0.14409896731376648
is,0.28837618231773376,1.0,0.658733606338501,0.2843655049800873,0.22961433231830597
a,0.3320399522781372,0.658733606338501,1.0,0.28908175230026245,0.23916715383529663
statocyst,0.2704133987426758,0.2843655049800873,0.28908175230026245,0.9999999403953552,0.24412000179290771
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.30963432788848877,0.31091248989105225
a,0.3320399522781372,0.658733606338501,1.0,0.28908175230026245,0.23916715383529663
balance,0.25451838970184326,0.25354740023612976,0.28219178318977356,0.2645929753780365,0.2381676584482193
sensor,0.2129664123058319,0.16153326630592346,0.19756075739860535,0.4167090654373169,0.12371891736984253
consisting,0.12705351412296295,0.33188143372535706,0.3325510621070862,0.25631624460220337,0.006223649252206087
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.25228452682495117,0.1826142966747284
a,0.3320399522781372,0.658733606338501,1.0,0.28908175230026245,0.23916715383529663
statolith,0.26140064001083374,0.24224597215652466,0.1969776451587677,0.5265646576881409,0.1501501202583313
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.30963432788848877,0.31091248989105225
a,0.3320399522781372,0.658733606338501,1.0,0.28908175230026245,0.23916715383529663
solid,0.2455693930387497,0.22751952707767487,0.22962947189807892,0.3964124321937561,0.2297065705060959
particle,0.31278425455093384,0.26882052421569824,0.2823246121406555,0.4159868359565735,0.22597293555736542
supported,0.16402992606163025,0.1375114768743515,0.21957339346408844,0.12724041938781738,0.11593948304653168
on,0.34226128458976746,0.3635730445384979,0.3848365545272827,0.22615961730480194,0.2714994251728058
four,0.18057085573673248,0.22331103682518005,0.28236961364746094,0.24274106323719025,0.14532537758350372
bundles,0.2000209242105484,0.13724665343761444,0.25319358706474304,0.329374223947525,0.13219405710697174
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.25228452682495117,0.1826142966747284
cilia,0.17923450469970703,0.18093560636043549,0.23250791430473328,0.5168226957321167,0.15204964578151703
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.30963432788848877,0.31091248989105225
called,0.3235960602760315,0.430266410112381,0.4868806302547455,0.33750468492507935,0.18963319063186646
``,0.008517155423760414,0.058766357600688934,0.07272057235240936,0.18709225952625275,0.0685480609536171
balancers,0.2457921802997589,0.2534331679344177,0.26151275634765625,0.372287780046463,0.21077437698841095
'',0.08143015950918198,0.0793738141655922,0.04890415817499161,-0.0981278344988823,0.018684765323996544
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.30963432788848877,0.31091248989105225
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.3019847869873047,0.32716336846351624
sense,0.3673125207424164,0.24388249218463898,0.27587276697158813,0.2985239624977112,0.25268280506134033
its,0.30393704771995544,0.4447362422943115,0.4424409866333008,0.29948166012763977,0.15103481709957123
orientation,0.235154390335083,0.20858392119407654,0.28198209404945374,0.26943889260292053,0.13603468239307404
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.3422413766384125,0.4130953550338745
