,what,provided,for,the,creation,of,new,orders,known,as,``,provisional,elder,?,''
at,0.2838611304759979,0.1761557012796402,0.34237727522850037,0.457212895154953,0.1533563882112503,0.42558613419532776,0.1898733228445053,0.10053422302007675,0.19818158447742462,0.28092536330223083,-0.07642947137355804,0.13879303634166718,0.1863439381122589,0.21978627145290375,0.04379578307271004
the,0.42745697498321533,0.304488867521286,0.4739971458911896,1.0,0.34625571966171265,0.733189046382904,0.3845241069793701,0.26927345991134644,0.3624623417854309,0.48381632566452026,0.029072100296616554,0.28786423802375793,0.16423951089382172,0.22068053483963013,0.041273195296525955
1996,0.1822642683982849,0.04674311727285385,0.10073741525411606,0.10029517859220505,0.14855878055095673,0.08521515130996704,0.050072893500328064,0.11435020714998245,0.0101664112880826,0.0785534605383873,0.091428741812706,0.2237827330827713,0.14568480849266052,0.18022380769252777,-0.03461353853344917
general,0.24928055703639984,0.18039175868034363,0.23497237265110016,0.28634732961654663,0.21685974299907684,0.28352999687194824,0.18503837287425995,0.26085957884788513,0.14575131237506866,0.250458300113678,0.09047812968492508,0.2675260901451111,0.18386445939540863,0.1972234547138214,0.022419413551688194
conference,0.15329721570014954,0.14709535241127014,0.21981438994407654,0.25393402576446533,0.1873699128627777,0.19579021632671356,0.21676157414913177,0.049642741680145264,0.14541715383529663,0.14918358623981476,0.0006965092616155744,0.2303178608417511,0.09450305253267288,0.11172781884670258,-0.10255923867225647
the,0.42745697498321533,0.304488867521286,0.4739971458911896,1.0,0.34625571966171265,0.733189046382904,0.3845241069793701,0.26927345991134644,0.3624623417854309,0.48381632566452026,0.029072100296616554,0.28786423802375793,0.16423951089382172,0.22068053483963013,0.041273195296525955
ordination,0.2000858336687088,0.24117720127105713,0.29668813943862915,0.3129502832889557,0.3243189752101898,0.3229534924030304,0.18795208632946014,0.22933213412761688,0.2565227746963501,0.34142908453941345,0.09959492087364197,0.30169323086738586,0.18994033336639404,0.2011764794588089,-0.014778000302612782
order,0.16634008288383484,0.15986008942127228,0.16561681032180786,0.3284194767475128,0.15855993330478668,0.31287699937820435,0.1788160651922226,0.6980564594268799,0.13902397453784943,0.21579164266586304,0.15392346680164337,0.17830757796764374,0.13917869329452515,0.13725648820400238,0.053128328174352646
of,0.33290785551071167,0.272808313369751,0.4185989499092102,0.733189046382904,0.35750406980514526,1.0,0.343457967042923,0.2505633234977722,0.35814476013183594,0.3886612355709076,0.06780257821083069,0.3027793765068054,0.19130298495292664,0.1826142966747284,0.13035868108272552
transitional,0.24329373240470886,0.2520597279071808,0.3029189109802246,0.32541483640670776,0.1774083524942398,0.3516455292701721,0.20459884405136108,0.16447676718235016,0.2214825302362442,0.3192572295665741,0.07390236854553223,0.3848298490047455,0.15330468118190765,0.14339002966880798,0.07051200419664383
deacon,0.18630772829055786,0.10724875330924988,0.20276455581188202,0.20322346687316895,0.13681483268737793,0.19614163041114807,0.20489828288555145,0.20753227174282074,0.16707439720630646,0.25916042923927307,-0.03488285094499588,0.144300177693367,0.27311161160469055,0.15454089641571045,0.01395195722579956
was,0.22111038863658905,0.2404836267232895,0.3863949179649353,0.48711544275283813,0.26162147521972656,0.4069072902202606,0.2748313844203949,0.2057829052209854,0.35203275084495544,0.3677520453929901,-0.012679691426455975,0.32293611764907837,0.24897032976150513,0.18412111699581146,0.04456103965640068
abolished,0.16060853004455566,0.19379249215126038,0.19406889379024506,0.3050917983055115,0.2948835790157318,0.3066045939922333,0.2026830017566681,0.19897747039794922,0.18710029125213623,0.21803916990756989,0.1074255108833313,0.3800300061702728,0.177827388048172,0.14427442848682404,-0.004897992126643658
.,0.3567904531955719,0.22066283226013184,0.4726039469242096,0.5934505462646484,0.27493008971214294,0.5352458953857422,0.35031336545944214,0.2030671089887619,0.283290296792984,0.515582263469696,0.05720457062125206,0.1821993887424469,0.19490617513656616,0.4130953550338745,-0.07181349396705627
