,what,did,the,the,europeans,think,the,peoples,in,the,tropics,were,in,need,of,?
the,0.42745697498321533,0.34736719727516174,1.0,1.0,0.3299996256828308,0.3102172613143921,1.0,0.3388310670852661,0.6662389636039734,1.0,0.23706603050231934,0.3906462490558624,0.6662389636039734,0.2594960331916809,0.733189046382904,0.22068053483963013
people,0.32444337010383606,0.26765021681785583,0.36838498711586,0.36838498711586,0.40113183856010437,0.309634804725647,0.36838498711586,0.5597565174102783,0.39605680108070374,0.36838498711586,0.20637542009353638,0.35862088203430176,0.39605680108070374,0.23202089965343475,0.3251037895679474,0.23739641904830933
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.733189046382904,0.17975986003875732,0.2625778615474701,0.733189046382904,0.2785113751888275,0.5696388483047485,0.733189046382904,0.23250260949134827,0.34038281440734863,0.5696388483047485,0.24285943806171417,1.0,0.1826142966747284
these,0.4164220690727234,0.38755595684051514,0.49086877703666687,0.49086877703666687,0.305675208568573,0.3914264142513275,0.49086877703666687,0.3348962366580963,0.3791837692260742,0.49086877703666687,0.2718891203403473,0.587685227394104,0.3791837692260742,0.41917291283607483,0.42684608697891235,0.2571668326854706
climates,0.29402872920036316,0.19517265260219574,0.2856043577194214,0.2856043577194214,0.28868597745895386,0.254170686006546,0.2856043577194214,0.2721349895000458,0.25657981634140015,0.2856043577194214,0.5704454183578491,0.19499482214450836,0.25657981634140015,0.2395654320716858,0.25517451763153076,0.1562853455543518
were,0.22298263013362885,0.4162326455116272,0.3906462490558624,0.3906462490558624,0.3747280538082123,0.26015451550483704,0.3906462490558624,0.3020060658454895,0.3815755248069763,0.3906462490558624,0.12605470418930054,1.0000001192092896,0.3815755248069763,0.2786298990249634,0.34038281440734863,0.17890112102031708
believed,0.32626157999038696,0.3807709813117981,0.324635773897171,0.324635773897171,0.3285853862762451,0.4662465453147888,0.324635773897171,0.2860645651817322,0.2605416774749756,0.324635773897171,0.1860746592283249,0.35804519057273865,0.2605416774749756,0.13170090317726135,0.2945859134197235,0.17606885731220245
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.535392165184021,0.3050769567489624,0.3748004138469696,0.535392165184021,0.2922554910182953,0.45010748505592346,0.535392165184021,0.19660168886184692,0.31913647055625916,0.45010748505592346,0.42094892263412476,0.41548454761505127,0.29463258385658264
be,0.3929833769798279,0.22657383978366852,0.4248143136501312,0.4248143136501312,0.1974325329065323,0.4904957115650177,0.4248143136501312,0.1862020343542099,0.3481820821762085,0.4248143136501312,0.23008018732070923,0.4064064621925354,0.3481820821762085,0.5365972518920898,0.33904364705085754,0.3324260413646698
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.6662389636039734,0.22646811604499817,0.23837615549564362,0.6662389636039734,0.2226382941007614,1.0,0.6662389636039734,0.2543765902519226,0.3815755248069763,1.0,0.2129468470811844,0.5696388483047485,0.20430970191955566
need,0.39420950412750244,0.3521409034729004,0.2594960331916809,0.2594960331916809,0.1928509920835495,0.5520720481872559,0.2594960331916809,0.14896348118782043,0.2129468470811844,0.2594960331916809,0.20251667499542236,0.2786298990249634,0.2129468470811844,0.9999999403953552,0.24285943806171417,0.40413710474967957
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.733189046382904,0.17975986003875732,0.2625778615474701,0.733189046382904,0.2785113751888275,0.5696388483047485,0.733189046382904,0.23250260949134827,0.34038281440734863,0.5696388483047485,0.24285943806171417,1.0,0.1826142966747284
guidance,0.36937031149864197,0.2789144814014435,0.27833473682403564,0.27833473682403564,0.08862598240375519,0.3785269260406494,0.27833473682403564,0.13792306184768677,0.14105834066867828,0.27833473682403564,0.13810837268829346,0.19188673794269562,0.14105834066867828,0.37767893075942993,0.25177156925201416,0.28245481848716736
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.5171257257461548,0.24619607627391815,0.30740439891815186,0.5171257257461548,0.26327288150787354,0.4954058527946472,0.5171257257461548,0.2690807580947876,0.42175528407096863,0.4954058527946472,0.3223188817501068,0.5116966962814331,0.20544172823429108
intervention,0.3083153963088989,0.23382987082004547,0.29976826906204224,0.29976826906204224,0.2217239886522293,0.26117974519729614,0.29976826906204224,0.288737028837204,0.22334074974060059,0.29976826906204224,0.060923345386981964,0.16904915869235992,0.22334074974060059,0.30782970786094666,0.24540026485919952,0.20387029647827148
from,0.2737620174884796,0.20248863101005554,0.40150508284568787,0.40150508284568787,0.21283502876758575,0.2481241524219513,0.40150508284568787,0.22571855783462524,0.4274188280105591,0.40150508284568787,0.24544355273246765,0.29991888999938965,0.4274188280105591,0.23362553119659424,0.4249346852302551,0.19969791173934937
the,0.42745697498321533,0.34736719727516174,1.0,1.0,0.3299996256828308,0.3102172613143921,1.0,0.3388310670852661,0.6662389636039734,1.0,0.23706603050231934,0.3906462490558624,0.6662389636039734,0.2594960331916809,0.733189046382904,0.22068053483963013
european,0.15324164927005768,0.2440035194158554,0.3423081040382385,0.3423081040382385,0.692996084690094,0.18531346321105957,0.3423081040382385,0.35508444905281067,0.23319172859191895,0.3423081040382385,0.2153530716896057,0.21272888779640198,0.23319172859191895,0.18418820202350616,0.2507138252258301,0.14560863375663757
empire,0.21723191440105438,0.18850058317184448,0.32532164454460144,0.32532164454460144,0.295022577047348,0.20579831302165985,0.32532164454460144,0.33332541584968567,0.24110576510429382,0.32532164454460144,0.20125246047973633,0.25456157326698303,0.24110576510429382,0.14638130366802216,0.30522286891937256,0.14909450709819794
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.535392165184021,0.3050769567489624,0.3748004138469696,0.535392165184021,0.2922554910182953,0.45010748505592346,0.535392165184021,0.19660168886184692,0.31913647055625916,0.45010748505592346,0.42094892263412476,0.41548454761505127,0.29463258385658264
aid,0.1778782606124878,0.1701076328754425,0.21952909231185913,0.21952909231185913,0.1580808311700821,0.20046833157539368,0.21952909231185913,0.213658407330513,0.1754455417394638,0.21952909231185913,0.13801419734954834,0.16526101529598236,0.1754455417394638,0.27070969343185425,0.20153990387916565,0.08358026295900345
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.6662389636039734,0.22646811604499817,0.23837615549564362,0.6662389636039734,0.2226382941007614,1.0,0.6662389636039734,0.2543765902519226,0.3815755248069763,1.0,0.2129468470811844,0.5696388483047485,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,1.0,1.0,0.3299996256828308,0.3102172613143921,1.0,0.3388310670852661,0.6662389636039734,1.0,0.23706603050231934,0.3906462490558624,0.6662389636039734,0.2594960331916809,0.733189046382904,0.22068053483963013
governing,0.21229864656925201,0.13365083932876587,0.3302684724330902,0.3302684724330902,0.1794857233762741,0.15663953125476837,0.3302684724330902,0.31042933464050293,0.29522937536239624,0.3302684724330902,0.16088446974754333,0.13240261375904083,0.29522937536239624,0.15018577873706818,0.3364465534687042,0.15836504101753235
